Exporter,Importer,Mln t
Guinea,China,27.142903641304347
Australia,China,45.65640190217392
Indonesia,China,16.423222608695653
Brazil,China,1.1710945652173914
Solomon Islands,China,0.0
Malaysia,China,0.7835478804347826
Other,China,0.5827582065217456
Guinea,Spain,3.7303743885869562
Guinea,Ukraine,3.4823897025498187
Guinea,Ireland,3.0281927445652177
Guinea,Germany,2.3728405344202903
Guinea,Other,2.9264149807971034
Jamaica,United States,3.642192173913043
Brazil,Canada,2.7200077717391307
Brazil,Ireland,1.4935514017210145
Other,Not available,0.0
Seaborne,Not available,125.35237526583109
China Portion,Not available,93.52129978260871
