Exporter.Importer Combination,Exporter,Importer,Ranking total,Total,last Char() as code,First Char() as code,Rank
United States_India,United States,India,1.0007481553824835e-05,1.0006625e-05,85,97,247.0
United States_Indonesia,United States,Indonesia,1.1898871581689388e-09,3.3333333333333327e-10,85,97,331.0
United States_Ireland,United States,Ireland,1.33341969459817e-05,1.3333333333333335e-05,85,100,237.0
United States_Israel,United States,Israel,8.824361777767822e-10,0.0,85,108,371.0
"United States_Korea, South",United States,"Korea, South",8.730244130708998e-10,0.0,85,104,375.0
United States_Mexico,United States,Mexico,0.0020820008894950007,0.0020819999999999996,85,111,86.0
United States_Netherlands,United States,Netherlands,1.600089890676601e-05,1.6e-05,85,115,233.0
Brazil_Oman,Brazil,Oman,0.0014011929616518641,0.001401192,66,110,102.0
United States_Nicaragua,United States,Nicaragua,8.565538248356056e-10,0.0,85,97,391.0
United States_Peru,United States,Peru,4.200090361264836e-05,4.2e-05,85,117,199.0
United States_Saudi Arabia,United States,Saudi Arabia,8.565538248356056e-10,0.0,85,97,391.0
United States_Spain,United States,Spain,6.0667553808726804e-05,6.066666666666667e-05,85,110,184.0
United States_Taiwan,United States,Taiwan,8.871420601297233e-10,0.0,85,110,366.0
United States_Turkey,United States,Turkey,1.1113913024413071e-05,1.1113e-05,85,121,244.0
United States_United Kingdom,United States,United Kingdom,4.300088478911895e-05,4.3e-05,85,109,197.0
United States_Venezuela,United States,Venezuela,8.565538248356056e-10,0.0,85,97,391.0
United States_Vietnam,United States,Vietnam,8.847891189532528e-10,0.0,85,109,368.0
Vietnam_China,Vietnam,China,8.538999260667959e-10,0.0,86,97,392.0
Australia_Guinea,Australia,Guinea,9.267800691794971e-10,0.0,65,97,349.0
Brazil_Peru,Brazil,Peru,2.7500982863985265e-05,2.75e-05,66,117,210.0
Brazil_Portugal,Brazil,Portugal,9.55591257990686e-10,0.0,66,108,341.0
Brazil_Qatar,Brazil,Qatar,3.6000973773076165e-05,3.5999999999999994e-05,66,114,201.0
Brazil_Russia,Brazil,Russia,2.000922257924657e-06,2e-06,66,97,285.0
Brazil_Saudi Arabia,Brazil,Saudi Arabia,0.023482990922257925,0.02348299,66,97,40.0
Brazil_Slovenia,Brazil,Slovenia,0.00024466092225792466,0.00024466,66,97,144.0
Brazil_South Africa,Brazil,South Africa,3.5000922257924655e-05,3.5e-05,66,97,203.0
Brazil_Spain,Brazil,Spain,0.004648407961651864,0.004648407,66,110,67.0
Brazil_Turkey,Brazil,Turkey,6.2510783185307175e-06,6.250083333333333e-06,66,121,256.0
Brazil_Ukraine,Brazil,Ukraine,0.0070809176010458025,0.007080916666666666,66,101,62.0
Australia_Indonesia,Australia,Indonesia,5.7717601134025134e-06,5.770833333333334e-06,65,97,259.0
