Exporter.Importer Combination,Exporter,Importer,Ranking total,Total,last Char() as code,First Char() as code,Rank
Indonesia_Russia,Indonesia,Russia,1.6675607386220424e-06,1.6666666666666669e-06,73,97,287.0
Brazil_Bolivia,Brazil,Bolivia,0.0003547709222579246,0.00035476999999999997,66,97,135.0
Iran_Iraq,Iran,Iraq,0.002118420937907572,0.00211842,73,113,84.0
Ireland_China,Ireland,China,0.0,0.0,73,97,399.0
Italy_Canada,Italy,Canada,8.940719553754928e-10,0.0,73,97,360.0
Italy_France,Italy,France,0.0020315842383641924,0.002031583333333333,73,101,87.0
Italy_Germany,Italy,Germany,0.00012300095982538005,0.000123,73,121,165.0
Italy_Russia,Italy,Russia,7.183894071955376e-06,7.1830000000000005e-06,73,97,253.0
Italy_Spain,Italy,Spain,0.00036000092968839373,0.00036,73,110,134.0
Italy_Ukraine,Italy,Ukraine,1.717383641928184e-07,1.7083333333333332e-07,73,101,304.0
Jamaica_China,Jamaica,China,0.021270000890480693,0.02127,74,97,43.0
Jamaica_United States,Jamaica,United States,0.9180320009391293,0.918032,74,115,5.0
Brazil_Canada,Brazil,Canada,0.685591000922258,0.6855910000000001,66,97,8.0
Japan_Brazil,Japan,Brazil,9.202104226098506e-10,0.0,74,108,351.0
"Korea, South_Indonesia","Korea, South",Indonesia,2.1903970318530718e-05,2.1903083333333334e-05,75,97,221.0
Latvia_Germany,Latvia,Germany,0.00033333428007291664,0.0003333333333333333,76,121,137.0
Latvia_Russia,Latvia,Russia,1.6575502483552793e-06,1.6566666666666665e-06,76,97,288.0
Luxembourg_France,Luxembourg,France,1.7084227441337734e-05,1.7083333333333333e-05,76,101,227.0
Luxembourg_Germany,Luxembourg,Germany,0.0010391676134062502,0.0010391666666666668,76,121,110.0
Madagascar_China,Madagascar,China,0.0,0.0,77,97,399.0
Madagascar_France,Madagascar,France,8.906561930556209e-10,0.0,77,101,363.0
Malaysia_Australia,Malaysia,Australia,3.3088026658266604e-07,3.3e-07,77,97,299.0
Malaysia_China,Malaysia,China,0.1974970008802666,0.197497,77,97,16.0
Brazil_China,Brazil,China,0.29518000092225793,0.29518,66,97,14.0
Malaysia_Philippines,Malaysia,Philippines,4.093686496085924e-09,3.166666666666667e-09,77,115,328.0
Mexico_Canada,Mexico,Canada,8.802665826660106e-10,0.0,77,97,373.0
Montenegro_Bosnia & Herzegovina,Montenegro,Bosnia & Herzegovina,0.014586887963599917,0.014586887083333335,77,97,46.0
Montenegro_China,Montenegro,China,8.802665826660106e-10,0.0,77,97,373.0
Montenegro_Croatia,Montenegro,Croatia,6.255880266582666e-06,6.255e-06,77,97,255.0
Montenegro_Czech Republic,Montenegro,Czech Republic,0.0038797510521280548,0.003879750166666667,77,99,71.0
Montenegro_France,Montenegro,France,2.5851723989526388e-05,2.5850833333333333e-05,77,101,212.0
Montenegro_Germany,Montenegro,Germany,4.942604245003672e-09,3.9999999999999994e-09,77,121,326.0
Montenegro_Greece,Montenegro,Greece,0.000584134765656193,0.000584133875,77,101,123.0
Montenegro_India,Montenegro,India,2.6713599915999347e-08,2.5833333333333336e-08,77,97,320.0
Brazil_Colombia,Brazil,Colombia,2.1964922257924657e-05,2.1964e-05,66,97,220.0
Montenegro_Poland,Montenegro,Poland,0.004142124221392124,0.004142123333333333,77,100,69.0
Montenegro_Spain,Montenegro,Spain,2.914032816432244e-09,1.9999999999999997e-09,77,110,330.0
Montenegro_Turkey,Montenegro,Turkey,5.942604245003673e-09,5e-09,77,121,325.0
Netherlands_Australia,Netherlands,Australia,8.421036981276923e-08,8.333333333333333e-08,78,97,313.0
Netherlands_Canada,Netherlands,Canada,8.770364794359073e-10,0.0,78,97,374.0
Netherlands_France,Netherlands,France,0.000723834220626223,0.0007238333333333334,78,101,119.0
Netherlands_Germany,Netherlands,Germany,0.00622550093857494,0.006225499999999999,78,121,65.0
Netherlands_Greece,Netherlands,Greece,2.8342206262230254e-06,2.833333333333333e-06,78,101,275.0
Netherlands_India,Netherlands,India,4.500087703647944e-05,4.5e-05,78,97,196.0
Netherlands_Indonesia,Netherlands,Indonesia,7.19175437031461e-05,7.191666666666666e-05,78,97,179.0
Brazil_Croatia,Brazil,Croatia,9.222579246573526e-10,0.0,66,97,350.0
Netherlands_Russia,Netherlands,Russia,0.0002676508770364794,0.00026765,78,97,141.0
Netherlands_Spain,Netherlands,Spain,9.334243703146104e-06,9.333333333333334e-06,78,110,249.0
Netherlands_Turkey,Netherlands,Turkey,2.8208605241607637e-05,2.8207666666666664e-05,78,121,209.0
Netherlands_Ukraine,Netherlands,Ukraine,2.2508872928896925e-06,2.25e-06,78,101,279.0
Netherlands_United States,Netherlands,United States,9.50009231903256e-05,9.5e-05,78,115,169.0
Niger_France,Niger,France,8.872928896923176e-10,0.0,78,101,365.0
Not Determin Extra EU Trade_Ireland,Not Determin Extra EU Trade,Ireland,8.84728787128215e-10,0.0,78,100,369.0
Pakistan_China,Pakistan,China,0.0,0.0,80,97,399.0
Pakistan_India,Pakistan,India,0.009036667537485197,0.009036666666666667,80,97,56.0
Philippines_China,Philippines,China,0.0,0.0,80,97,399.0
Brazil_Denmark,Brazil,Denmark,0.002209572952560955,0.002209572,66,107,83.0
Poland_India,Poland,India,1.7537485197384626e-08,1.6666666666666667e-08,80,97,323.0
Poland_Spain,Poland,Spain,2.5090331853071794e-07,2.5e-07,80,110,301.0
Russia_Azerbaijan,Russia,Azerbaijan,4.175632778803115e-07,4.166666666666667e-07,82,110,297.0
Russia_Belarus,Russia,Belarus,2.5299213966892936e-07,2.5208333333333334e-07,82,115,300.0
Russia_Finland,Russia,Finland,2.2337055543030755e-06,2.232833333333333e-06,82,100,280.0
Russia_Kazakhstan,Russia,Kazakhstan,1.1667563277880309e-05,1.1666666666666665e-05,82,110,243.0
Russia_Ukraine,Russia,Ukraine,1.3700874659994134e-05,1.3700000000000001e-05,82,101,236.0
Russia_Uzbekistan,Russia,Uzbekistan,8.422994454697812e-08,8.333333333333333e-08,82,110,311.0
Saudi Arabia_China,Saudi Arabia,China,0.1256170008620535,0.125617,83,97,21.0
Sierra Leone_Canada,Sierra Leone,Canada,8.620534704769949e-10,0.0,83,97,385.0
Brazil_France,Brazil,France,6.393437913677856e-08,6.3e-08,66,101,315.0
Sierra Leone_China,Sierra Leone,China,8.620534704769949e-10,0.0,83,97,385.0
Sierra Leone_India,Sierra Leone,India,0.009341667528720137,0.009341666666666667,83,97,55.0
Singapore_Brazil,Singapore,Brazil,8.885594945733804e-10,0.0,83,108,364.0
Singapore_Canada,Singapore,Canada,5.700086205347048e-05,5.7e-05,83,97,185.0
Singapore_India,Singapore,India,0.0015250008620534706,0.001525,83,97,98.0
Singapore_Malaysia,Singapore,Malaysia,2.466953868038103e-07,2.458333333333333e-07,83,97,302.0
Singapore_Turkey,Singapore,Turkey,2.250091988479578e-05,2.25e-05,83,121,218.0
Slovenia_Germany,Slovenia,Germany,4.000919884795778e-06,4e-06,83,121,268.0
Solomon Islands_China,Solomon Islands,China,8.620534704769949e-10,0.0,83,97,385.0
Solomon Islands_India,Solomon Islands,India,0.007713167528720137,0.007713166666666667,83,97,59.0
Australia_France,Australia,France,9.390877614871893e-10,0.0,65,101,344.0
Brazil_Germany,Brazil,Germany,0.0355032994949852,0.0355032985,66,121,32.0
South Africa_Canada,South Africa,Canada,8.620534704769949e-10,0.0,83,97,385.0
Spain_Algeria,Spain,Algeria,8.620534704769949e-10,0.0,83,97,385.0
Spain_Argentina,Spain,Argentina,8.620534704769949e-10,0.0,83,97,385.0
Spain_Australia,Spain,Australia,9.877872013714365e-08,9.791666666666666e-08,83,97,310.0
Spain_Brazil,Spain,Brazil,9.84242218928279e-05,9.842333333333332e-05,83,108,168.0
Spain_Ceuta,Spain,Ceuta,8.620534704769949e-10,0.0,83,97,385.0
Spain_China,Spain,China,0.0,0.0,83,97,399.0
Spain_Cuba,Spain,Cuba,3.325086205347047e-05,3.3249999999999995e-05,83,97,207.0
Spain_France,Spain,France,0.000145459205025358,0.00014545833333333332,83,101,158.0
Spain_Germany,Spain,Germany,2.8417586551462442e-05,2.8416666666666665e-05,83,121,208.0
Brazil_Greece,Brazil,Greece,0.16572258426771247,0.16572258333333334,66,101,18.0
Spain_Italy,Spain,Italy,0.0002974175865514624,0.00029741666666666664,83,121,138.0
Spain_Lebanon,Spain,Lebanon,8.933787716818141e-10,0.0,83,110,362.0
Spain_Mexico,Spain,Mexico,6.375089578841024e-05,6.375e-05,83,111,183.0
Spain_Morocco,Spain,Morocco,3.3422912174356934e-07,3.333333333333333e-07,83,111,298.0
Spain_Netherlands,Spain,Netherlands,9.054269644528983e-10,0.0,83,115,355.0
Spain_Norway,Spain,Norway,9.198847957781997e-10,0.0,83,121,352.0
Spain_Poland,Spain,Poland,4.667535949052806e-06,4.666666666666666e-06,83,100,263.0
Spain_Portugal,Spain,Portugal,1.6667555226161242e-05,1.6666666666666667e-05,83,108,230.0
Spain_Russia,Spain,Russia,4.129419538680381e-05,4.129333333333333e-05,83,97,200.0
Spain_South Africa,Spain,South Africa,5.000086205347048e-05,5e-05,83,97,192.0
Brazil_India,Brazil,India,0.0696803995889246,0.06968039866666667,66,97,25.0
