Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Australasia,0,0,21.6,27.13,32,35.9,44.2,46,46,48.5,51,51,51,51,51,51,51,51,0,0,0,0,0,0,0,0,0
Africa,0,0,13.03,28.44,37.92,47.37,60.48,71.97,91.1,105.98,119.04,118.36,116.46,121.16,129.89,131.79,131.79,131.91,0,0,0,0,0,0,0,0,0
Asia ex-China,0,0,12.3,8.7,9.36,15.58,16,12.1,9.6,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0
Americas,0,0,4.68,3.65,2.54,2.5,2.11,4.65,4.65,4.65,4.3,1.8,1.8,1.8,2.62,4.3,2.42,3.66,0,0,0,0,0,0,0,0,0
Other,0,0,0.44,0.84,0.55,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0
