Years,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Demand from existing and planned merchant refiners,14.85,17.625,20.305,24.41,24.96,33.35,37.22,39.6,41.4,43.8,46.12,47.7,48.2,49.6,52.2,52.5,53.25,53.25,,65.93446093,66.09460195,66.22117057,66.34773919,66.44760765,66.5474761,66.62617371,66.70487131
Most likely uptake of imports BX by inland refineries,0,0,0,0,0,0,1.515,4.84,9.915,14.33,18.07,18.425,18.33,18.1,18,19.5,19.845,20.73,,87.80024283,91.64956141,94.06105065,96.47253989,98.65658502,100.8406301,100.9598821,101.079134
