Name,Name1,Name3,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Vietnam Others,Vietnam,Asia ex-China,0,0.013071895,0.04349139,0.165278556,0.277977871,0.09182142,0.4591071,0.4591071,0.4591071,0.4591071,0.4591071,0.4591071,0.4591071,0.4591071,0.4591071,0.4591071,0.4591071,0.4591071,3,3,3,3,3,3,3,3,3
SMB Malapouya,Guinea,Africa,0,0,2.798366013,1.379310345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rundi,Guinea,Africa,0,0,0,0,0,0,0,1.34784,3.3696,3.3696,3.3696,3.3696,3.744,3.744,3.744,3.744,3.744,3.744,0,0,0,0,0,0,0,0,0
Metro Blend,Australia,Australasia,0,0,0,0,0,0.356069258,0.568388726,1.234702577,1.995545506,1.987289993,1.978843269,1.97024137,1.9615024,1.952635325,1.943643092,1.934523589,1.925269259,1.916103049,3.07,2.99,2.25,0,0,0,0,0,0
Dabiss N,Guinea,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMRUN HT,Australia,Australasia,0,0,0,0,0,5.88995858,5.1006729,5.2806729,5.5806729,6.1081429,6.2081429,6.2081429,6.2081429,6.6081429,6.8081429,6.9081429,6.9081429,6.9081429,-3,-3,-3,-3,-3,-3,-3,-3,-3
Metro BH1 Xinfa,Australia,Australasia,0,0,0,0,0.571692955,0.729665545,0.75520384,0.75520384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dian Dian,Guinea,Africa,0,0,0,0,0,0,0,0,0,0.8208,1.2312,1.2312,1.2312,1.2312,1.2312,1.2312,1.2312,1.2312,6,6,6,6,6,6,6,6,6
Dynamic,Guinea,Africa,0,0,0,0,0,0,0,1.24659,1.66212,2.49318,2.7702,2.7702,2.7702,2.7702,3.078,3.078,3.078,3.402,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
Other,Other,Other,0,0.057674659,0.166528262,0.316981132,0.206713208,0.226415094,0.188679245,0.188679245,0.188679245,0.188679245,0.188679245,0.188679245,0.188679245,0.188679245,0.188679245,0.188679245,0.188679245,0.188679245,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
GDM,Guinea,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashapura Guinea,Guinea,Africa,0,0,0,0,0.0747,0,0,0,0.85905,1.68075,1.68075,1.68075,1.68075,1.8675,1.8675,1.8675,1.8675,1.8675,0,0,0,0,0,0,0,0,0
SMB Kaboye,Guinea,Africa,0,0,0,3.058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMB Dabiss S,Guinea,Africa,0,0,0,2.187,2.3740675,3.594034542,4.588188737,3.594550299,4.960013567,4.960013567,6.67035,6.67035,6.67035,6.67035,6.67035,6.67035,6.67035,3.483229836,0,0,0,0,0,0,0,0,0
Weiqiao Self Supply,Guinea,Africa,0,0,0,0,11,12.02696613,12.03346126,13.0270997,13.58170485,13.58170485,13.67615559,13.7186484,13.7186484,13.7186484,13.7186484,13.7186484,13.7186484,13.60507016,0,0,0,0,0,0,0,0,0
AGB2A,Guinea,Africa,0,0,0,0,0,0,1.30725,1.30725,1.68075,1.68075,2.241,3.02535,3.02535,3.02535,3.02535,3.3615,3.3615,3.3615,9,9,9,9,9,9,9,9,9
Mokanji,Guinea,Africa,0,0,0,0,0,0.0405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0,0,0,0,0,0,0,0,0
SMB Santou-Houda,Guinea,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPIC,Guinea,Africa,0,0,0,0,0,0.7056,2.3814,2.3814,2.3814,2.3814,2.646,2.646,2.646,2.646,2.646,2.646,0,0,0,0,0,0,0,0,0,,
