output_lebel
Nominal Domestic Demand - No Bx Shortage
Demand Already Curtailed Due To Import Competition / Inland Bauxite Scarcity
Import Demand - Outright Depletion Of Resources
Forecast Domestic Actual
Import Demand - Economic Depletion Of Resources
Import Demand - Exsiting Inland Converted & Blending Consumption
Forecast Domestic Demand
Continuing Domestic Demand
