Mine,Calculated Index Price Equivalent,Total Alumina,LT Avail. Alumina,Total Silica,LT R.Silica,Quartz / HT Silica,Mono-hydrate / HT Alumina,Moisture,Processing,Processing Penalties
SMB Generic,,0.5,0.45,0.05,0.05,,,0.1,LT,
West Kalimantan Generic,,0.5,0.45,0.05,0.05,,,0.1,LT,
Weipa/Amrun Generic,,0.5,0.45,0.05,0.05,,,0.1,LT,
Gove,,0.5,0.45,0.05,0.05,,,0.1,LT,
Alufer Bel Air,,0.5,0.45,0.05,0.05,,,0.1,LT,
Central Kalimantan Generic,,0.5,0.45,0.05,0.05,,,0.1,LT,
CBG LT,,0.5,0.45,0.05,0.05,,,0.1,LT,
Huntly,,0.5,0.45,0.05,0.05,,,0.1,LT,
Turkey,,0.5,0.45,0.05,0.05,,,0.1,LT,
Bauxite Hills,,0.5,0.45,0.05,0.05,,,0.1,LT,
Chalco Boffa,,0.5,0.45,0.05,0.05,,,0.1,LT,
Rennell Island,,0.5,0.45,0.05,0.05,,,0.1,LT,
Discovery Bay,,0.5,0.45,0.05,0.05,,,0.1,LT,
MRN,,0.5,0.45,0.05,0.05,,,0.1,LT,
