data_engine_id,ref,smelter_id,ch_smelter_id,smelter_short_name_id,group_id,continent_id,country_id,technology_id,province_id,ownership_id,average_cell_life_day,Headcount_(workshop),Latitude,Longitude,Cells_Below_300,Cells_300,Cells_350,Cells_400,Cells_420,Cells_500,Cells_600,Operating_cells_Below_300,Operating_cells_300,Operating_cells_350,Operating_cells_400,Operating_cells_420,Operating_cells_500,Operating_cells_600,creation_date,updation_date
11,11,smelter_11,ch_smelter_11,smelter_short_name_11,group_3,continent_1,country_1,tech_10,province_7,ownership_2,2000,541,35.66,110.68,0,520,0,0,0,0,0,0,520,0,0,0,0,0,,
12,12,smelter_12,ch_smelter_12,smelter_short_name_12,group_3,continent_1,country_1,tech_10,province_8,ownership_2,2000,462,23.26,103.15,272,172,0,0,0,0,0,272,172,0,0,0,0,0,,
13,13,smelter_13,ch_smelter_13,smelter_short_name_13,group_3,continent_1,country_1,tech_10,province_8,ownership_2,2000,328,23.41,102.52,0,0,0,0,288,0,0,0,0,0,0,288,0,0,,
14,14,smelter_14,ch_smelter_14,smelter_short_name_14,group_3,continent_1,country_1,tech_10,province_8,ownership_2,2000,328,24.45,104.14,0,0,0,0,288,0,0,0,0,0,0,288,0,0,,
15,15,smelter_15,ch_smelter_15,smelter_short_name_15,group_3,continent_1,country_1,tech_10,province_8,ownership_2,2000,468,24.55,102.58,202,248,0,0,0,0,0,202,248,0,0,0,0,0,,
16,16,smelter_16,ch_smelter_16,smelter_short_name_16,group_3,continent_1,country_1,tech_10,province_8,ownership_2,2000,515,25.39,104.2,246,0,240,0,0,0,0,246,0,240,0,0,0,0,,
17,17,smelter_17,ch_smelter_17,smelter_short_name_17,group_3,continent_1,country_1,tech_10,province_8,ownership_2,2000,289,27.29,103.42,0,0,0,258,0,0,0,0,0,0,258,0,0,0,,
18,18,smelter_18,ch_smelter_18,smelter_short_name_18,group_5,continent_1,country_1,tech_10,province_9,ownership_1,2000,337,29.2,106.38,0,0,0,296,0,0,0,0,0,0,0,296,0,0,,
19,19,smelter_19,ch_smelter_19,smelter_short_name_19,group_6,continent_1,country_1,tech_10,province_9,ownership_3,1500,266,29.47,107.27,130,126,0,0,0,0,0,130,126,0,0,0,0,0,,
20,20,smelter_20,ch_smelter_20,smelter_short_name_20,group_7,continent_1,country_1,tech_10,province_9,ownership_3,1500,108,29.45,108.74,0,0,0,96,0,0,0,0,0,0,96,0,0,0,,
21,21,smelter_21,ch_smelter_21,smelter_short_name_21,group_8,continent_1,country_1,tech_10,province_10,ownership_3,1500,458,29.2,111.58,176,264,0,0,0,0,0,176,264,0,0,0,0,0,,
