Years,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Metro Blend,2.808442397,2.808442397,2.808442397,2.808442397,2.808442397,2.808442397,2.691819752,2.69700579,2.706026991,2.71726825,2.728866952,2.740780943,2.752991789,2.765493347,2.778287856,2.791384933,2.804802483,2.818220034,0,0,0,0,0,0,0,0,0
Dabiss N,3.060912152,3.060912152,3.060912152,3.060912152,3.060912152,3.060912152,3.060912152,3.060912152,3.060912152,3.060912152,3.060912152,3.060912152,3.060912152,3.060912152,3.060912152,3.060912152,3.060912152,3.060912152,0,0,0,0,0,0,0,0,0
AMRUN HT,2.588192665,2.588192665,2.588192665,2.588192665,2.588192665,2.588192665,2.588192665,2.588192665,2.588192665,2.408912978,2.408912978,2.408912978,2.408912978,2.408912978,2.408912978,2.408912978,2.408912978,2.408912978,0,0,0,0,0,0,0,0,0
Metro BH1 Xinfa,2.740981827,2.740981827,2.740981827,2.740981827,2.740981827,2.740981827,2.740981827,2.740981827,2.740981827,2.740981827,2.740981827,2.740981827,2.740981827,2.740981827,2.740981827,2.740981827,2.740981827,2.740981827,0,0,0,0,0,0,0,0,0
Dian Dian,2.436647173,2.436647173,2.436647173,2.436647173,2.436647173,2.436647173,2.436647173,2.436647173,2.436647173,2.436647173,2.436647173,2.436647173,2.436647173,2.436647173,2.436647173,2.436647173,2.436647173,2.436647173,0,0,0,0,0,0,0,0,0
Dynamic,2.645502646,2.645502646,2.645502646,2.645502646,2.645502646,2.923976608,2.923976608,2.923976608,2.923976608,2.923976608,2.923976608,2.923976608,2.923976608,2.923976608,2.923976608,2.923976608,2.923976608,2.645502646,0,0,0,0,0,0,0,0,0
Other,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,0,0,0,0,0,0,0,0,0
GDM,2.670940171,2.670940171,2.670940171,2.670940171,2.670940171,2.670940171,2.670940171,2.670940171,2.670940171,2.670940171,2.670940171,2.670940171,2.670940171,2.670940171,2.670940171,2.670940171,2.670940171,2.670940171,0,0,0,0,0,0,0,0,0
Ashapura Guinea,2.677376171,2.677376171,2.677376171,2.677376171,2.677376171,2.677376171,2.677376171,2.677376171,2.677376171,2.677376171,2.677376171,2.677376171,2.677376171,2.677376171,2.677376171,2.677376171,2.677376171,2.677376171,0,0,0,0,0,0,0,0,0
SMB Kaboye,3.06,3.06,3.06,2.975,2.886002886,2.886002886,2.886002886,2.886002886,2.886002886,2.886002886,2.886002886,2.886002886,2.886002886,2.886002886,2.886002886,2.886002886,2.886002886,2.886002886,0,0,0,0,0,0,0,0,0
SMB Dabiss S,2.74,2.74,2.74,2.743484225,2.743484225,2.743484225,2.743484225,2.743484225,2.743484225,2.743484225,2.743484225,2.743484225,2.743484225,2.743484225,2.743484225,2.743484225,2.743484225,2.743484225,0,0,0,0,0,0,0,0,0
Weiqiao Self Supply,3.06,3.06,3.06,2.86,2.718343933,2.71967176,2.718451148,2.720360539,2.687137563,2.687137563,2.642711646,2.618267624,2.618267624,2.618267624,2.618267624,2.618267624,2.618267624,2.649292761,0,0,0,0,0,0,0,0,0
AGB2A,2.677376171,2.677376171,2.677376171,2.677376171,2.677376171,2.677376171,2.677376171,2.677376171,2.677376171,2.677376171,2.677376171,2.677376171,2.677376171,2.677376171,2.677376171,2.677376171,2.677376171,2.677376171,0,0,0,0,0,0,0,0,0
Mokanji,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,0,0,0,0,0,0,0,0,0
SMB Santou-Houda,2.614379085,2.614379085,2.614379085,2.614379085,2.614379085,2.614379085,2.614379085,2.614379085,2.614379085,2.614379085,2.614379085,2.614379085,2.614379085,2.614379085,2.614379085,2.614379085,2.614379085,2.614379085,0,0,0,0,0,0,0,0,0
SPIC,2.83446712,2.83446712,2.83446712,2.83446712,2.83446712,2.83446712,2.83446712,2.83446712,2.83446712,2.83446712,2.83446712,2.83446712,2.83446712,2.83446712,2.83446712,2.83446712,2.83446712,2.83446712,0,0,0,0,0,0,0,0,0
