,province,refinery,drawdowntechfactorinputs1_id,factorx,Bauxite Consumption,bayerconstant
415,Shanxi,Qizheng Chemical Added LT,94.0,1.0,0.1,1.0
416,Shanxi,SPIC - Wuchuan,99.0,1.0,0.1,1.23
417,Shanxi,Kaisheng,104.0,1.0,0.1,1.23
418,Shanxi,Huajin,109.0,1.0,0.1,1.23
419,Shanxi,Chalco Zhengzhou domestic,114.0,1.0,0.1,1.23
420,Shanxi,Chalco Zhengzhou import,119.0,2.0,0.1,1.0
421,Shanxi,Chalco Zhongzhou Dom. Sinter,124.0,1.0,0.1,1.23
422,Shanxi,Chalco Zhongzhou Dom. Bayer,129.0,2.0,0.1,1.23
423,Shanxi,Bosai Wanzhou,14.0,1.0,0.1,1.0
424,Shanxi,Chalco Zhongzhou LT Amt,134.0,2.0,0.1,1.0
425,Shanxi,Kaiman,139.0,1.0,0.1,1.23
426,Shanxi,Kaiman Import,144.0,1.0,0.1,1.0
427,Shanxi,East Hope Mianchi,149.0,1.0,0.1,1.23
428,Shanxi,East Hope Mianchi Added LT,154.0,1.0,0.1,1.0
429,Shanxi,Huiyuan Lushan,159.0,1.0,0.1,1.23
430,Shanxi,Jingxin,164.0,1.0,0.1,1.23
431,Shanxi,Shenhuo,169.0,1.0,0.1,1.23
432,Shanxi,Wanji,174.0,1.0,0.1,1.23
433,Shanxi,Wanji import,179.0,1.0,0.1,1.0
434,Shanxi,Shuijiang,19.0,1.0,0.1,1.23
435,Shanxi,Weilai,184.0,1.0,0.1,1.23
436,Shanxi,Yifeng Gongyi (Yulian Xinya),189.0,1.0,0.1,1.23
437,Shanxi,Yima Yixiang,194.0,1.0,0.1,1.23
438,Shanxi,Zhongmei,199.0,1.0,0.1,1.23
439,Shanxi,Shaoxing,204.0,1.0,0.1,1.23
440,Shanxi,Zhongchao,209.0,1.0,0.1,1.23
441,Shanxi,Jialu Xianfeng,214.0,1.0,0.1,1.23
442,Shanxi,Jinshi,219.0,1.0,0.1,1.23
443,Shanxi,Huixiang,224.0,1.0,0.1,1.23
444,Shanxi,Xinwang L-B,229.0,2.0,0.1,1.0
445,Shanxi,Tuoyuan,24.0,1.0,0.1,1.23
446,Shanxi,Xinwang H-B,234.0,2.0,0.1,1.23
447,Shanxi,Datang Tuoketuo Fly Ash,239.0,2.0,0.1,1.0
448,Shanxi,Mengxi Fly Ash,244.0,2.0,0.1,1.0
449,Shanxi,Mengxi import,249.0,1.0,0.1,1.0
450,Shanxi,Qihui H-B,254.0,1.0,0.1,1.0
451,Shanxi,Qihui L-B,259.0,1.0,0.1,1.0
452,Shanxi,Jinjiang Lianyungang,264.0,1.0,0.1,1.0
453,Shanxi,Chalco Lianyungang,269.0,1.0,0.1,1.0
454,Shanxi,Chalco Shandong L-B,274.0,2.0,0.1,1.0
455,Shanxi,Chalco Shandong sinter,279.0,1.0,0.1,1.23
456,Shanxi,Chalco Pingguo,29.0,1.0,0.1,1.23
457,Shanxi,Chalco Shandong sinter import,284.0,1.0,0.1,1.0
458,Shanxi,Chiping Xinfa L-B,289.0,2.0,0.1,1.0
459,Shanxi,Chiping Xinfa H-B,294.0,2.0,0.1,1.0
460,Shanxi,Lubei,299.0,2.0,0.1,1.0
461,Shanxi,Nanshan Donghai H-B,304.0,2.0,0.1,1.0
462,Shanxi,Nanshan Donghai L-B,309.0,2.0,0.1,1.0
463,Shanxi,Bochuang,314.0,2.0,0.1,1.0
464,Shanxi,Nanhan,319.0,2.0,0.1,1.0
465,Shanxi,Weiqiao - Binzhou L-B,324.0,2.0,0.1,1.0
466,Shanxi,Weiqiao - Binzhou H-B,329.0,2.0,0.1,1.0
467,Shanxi,Weiqiao-Wudi-Zhanhua L-B,334.0,2.0,0.1,1.0
468,Shanxi,Weiqiao-Wudi-Zhanhua H-B,339.0,2.0,0.1,1.0
469,Shanxi,Aokaida,344.0,1.0,0.1,1.23
470,Shanxi,Chalco Shanxi,354.0,1.0,0.1,1.23
471,Shanxi,Chalco Shanxi import,359.0,2.0,0.1,1.0
472,Shanxi,SPIC Shanxi,364.0,1.0,0.1,1.23
473,Shanxi,SPIC Shanxi import,369.0,2.0,0.1,1.0
474,Shanxi,Dongxu Tianyuan,374.0,1.0,0.1,1.23
475,Shanxi,Dongxu Tianyuan import,379.0,1.0,0.1,1.0
476,Shanxi,East Hope Lingshi,384.0,1.0,0.1,1.23
477,Shanxi,East Hope Lingshi Import,389.0,1.0,0.1,1.0
478,Shanxi,Huaqing,394.0,1.0,0.1,1.23
479,Shanxi,Qiangjin Aluminium,399.0,1.0,0.1,1.23
480,Shanxi,Senze,404.0,0.4,0.1,1.23
481,Shanxi,Taixing,409.0,1.0,0.1,1.23
482,Shanxi,Wusheng,414.0,1.0,0.1,1.23
483,Shanxi,Xinfa - Jiaokou,419.0,1.0,0.1,1.23
484,Shanxi,Xinfa - Xiaoyi,424.0,1.0,0.1,1.23
485,Shanxi,Xingan Chemical,429.0,1.0,0.1,1.23
486,Shanxi,Huayin,39.0,1.0,0.1,1.23
487,Shanxi,Xingan Chemical import,434.0,1.0,0.1,1.0
488,Shanxi,Yangquan Zhaofeng,439.0,1.0,0.1,1.23
489,Shanxi,Gangyuan Jiaohua,444.0,1.0,0.1,1.23
490,Shanxi,Tiantong,459.0,1.0,0.1,1.23
491,Shanxi,Fusheng,464.0,1.0,0.1,1.23
492,Shanxi,YMG - Wenshan,469.0,1.0,0.1,1.23
493,Shanxi,Guangxi - blending,474.0,2.0,0.1,1.0
494,Shanxi,Guizhou - blending,479.0,2.0,0.1,1.0
