,province,refinery,drawdowntechfactorinputs1_id,factorx,Bauxite Consumption,bayerconstant
40,Other,Yifeng Gongyi (Yulian Xinya),190.0,1.0,0.2,1.23
41,Other,Yima Yixiang,195.0,1.0,0.2,1.23
42,Other,Zhongmei,200.0,1.0,0.2,1.23
43,Other,Shaoxing,205.0,1.0,0.2,1.23
44,Other,Zhongchao,210.0,1.0,0.2,1.23
45,Other,Jialu Xianfeng,215.0,1.0,0.2,1.23
46,Other,Jinshi,220.0,1.0,0.2,1.23
47,Other,Huixiang,225.0,1.0,0.2,1.23
48,Other,Xinwang L-B,230.0,10.0,0.1,1.0
49,Other,Tuoyuan,25.0,1.0,0.2,1.23
50,Other,Xinwang H-B,235.0,10.0,0.1,1.23
51,Other,Datang Tuoketuo Fly Ash,240.0,10.0,0.1,1.0
52,Other,Mengxi Fly Ash,245.0,10.0,0.1,1.0
53,Other,Mengxi import,250.0,1.0,0.2,1.0
54,Other,Qihui H-B,255.0,1.0,0.1,1.0
55,Other,Qihui L-B,260.0,1.0,0.1,1.0
56,Other,Jinjiang Lianyungang,265.0,1.0,0.2,1.0
57,Other,Chalco Lianyungang,270.0,1.0,0.2,1.0
58,Other,Chalco Shandong L-B,275.0,10.0,0.1,1.0
59,Other,Chalco Shandong sinter,280.0,1.0,0.2,1.23
60,Other,Chalco Pingguo,30.0,1.0,0.2,1.23
61,Other,Chalco Shandong sinter import,285.0,1.0,0.2,1.0
62,Other,Chiping Xinfa L-B,290.0,10.0,0.1,1.0
63,Other,Chiping Xinfa H-B,295.0,10.0,0.1,1.0
64,Other,Lubei,300.0,10.0,0.1,1.0
65,Other,Nanshan Donghai H-B,305.0,10.0,0.1,1.0
66,Other,Nanshan Donghai L-B,310.0,10.0,0.1,1.0
67,Other,Bochuang,315.0,10.0,0.1,1.0
68,Other,Nanhan,320.0,10.0,0.1,1.0
69,Other,Weiqiao - Binzhou L-B,325.0,10.0,0.1,1.0
70,Other,Weiqiao - Binzhou H-B,330.0,10.0,0.1,1.0
71,Other,Weiqiao-Wudi-Zhanhua L-B,335.0,10.0,0.1,1.0
72,Other,Weiqiao-Wudi-Zhanhua H-B,340.0,10.0,0.1,1.0
73,Other,Aokaida,345.0,1.0,0.2,1.23
74,Other,Chalco Shanxi,355.0,1.0,0.2,1.23
75,Other,Chalco Shanxi import,360.0,10.0,0.1,1.0
76,Other,SPIC Shanxi,365.0,1.0,0.2,1.23
77,Other,SPIC Shanxi import,370.0,10.0,0.1,1.0
78,Other,Dongxu Tianyuan,375.0,1.0,0.2,1.23
