,refinery,caustic_id,causticPrice,sodiumCarbonate,bayer,bayer mud sinter,sinter,sourcing factor,switch,Comment
0,Bosai Xianfeng domestic,1.0,2855.0,1220.0,0.0,1.0,0.0,1.0,0.0,
1,Jinjiang Tiandong,9.0,2867.1,1272.0,1.0,0.0,0.0,3.0,0.0,
2,Henan - blending,97.0,1902.7,1359.0,1.0,0.0,0.0,3.0,0.0,
3,Shanxi - blending,98.0,1902.7,1359.0,1.0,0.0,0.0,3.0,0.0,
4,Other - blending,99.0,1902.7,1359.0,1.0,0.0,0.0,3.0,0.0,
5,Xinfa Jingxi,10.0,2867.1,1272.0,1.0,0.0,0.0,3.0,0.0,
6,Chalco Huaxing,70.0,1902.7,1240.0,1.0,0.0,0.0,4.0,0.0,
7,Tiangui,12.0,2933.0,1359.0,1.0,0.0,0.0,3.0,0.0,
8,Jinjiang Longzhou,7.0,2867.1,1272.0,1.0,0.0,0.0,3.0,0.0,
9,Huasheng,11.0,1902.7,1359.0,1.0,0.0,0.0,3.0,0.0,
10,Chalco Xinghua,90.0,1902.7,1240.0,1.0,0.0,0.0,4.0,0.0,
11,Chalco Xinghua import,91.0,1902.7,1240.0,1.0,0.0,0.0,4.0,0.0,
12,Chalco Guizhou,13.0,2933.0,1359.0,0.0,0.8,0.2,3.0,0.0,
13,Chalco Zunyi,14.0,2933.0,1359.0,1.0,0.0,0.0,3.0,0.0,
14,Xian,15.0,2933.0,1359.0,1.0,0.0,0.0,3.0,0.0,
15,Huafei,16.0,2933.0,1359.0,1.0,0.0,0.0,3.0,0.0,
16,Bosai Xianfeng import,2.0,2855.0,1220.0,1.0,0.0,0.0,3.0,0.0,
17,Qingzhen Guanglv,17.0,2933.0,1359.0,1.0,0.0,0.0,3.0,0.0,
18,Qizheng Chemical,18.0,2933.0,1359.0,1.0,0.0,0.0,3.0,0.0,
19,Qizheng Chemical Added LT,19.0,2933.0,1359.0,1.0,0.0,0.0,3.0,0.0,
20,SPIC - Wuchuan,20.0,2933.0,1359.0,1.0,0.0,0.0,3.0,0.0,
21,Kaisheng,21.0,2933.0,1359.0,1.0,0.0,0.0,3.0,0.0,
22,Huajin,22.0,2933.0,1359.0,1.0,0.0,0.0,3.0,0.0,
23,Chalco Zhengzhou domestic,23.0,2208.3,1250.0,0.3,0.7,0.0,3.0,0.0,
24,Chalco Zhengzhou import,24.0,2208.3,1250.0,1.0,0.0,0.0,3.0,0.0,
25,Chalco Zhongzhou Dom. Sinter,25.0,2208.3,1250.0,0.56,0.0,0.44,3.0,0.0,
26,Chalco Zhongzhou Dom. Bayer,26.0,2208.3,1250.0,1.0,0.0,0.0,3.0,0.0,
27,Bosai Wanzhou,3.0,2933.0,1359.0,1.0,0.0,0.0,3.0,0.0,
28,Chalco Zhongzhou LT Amt,27.0,2208.3,1250.0,1.0,0.0,0.0,3.0,0.0,
29,Kaiman,28.0,2208.3,1250.0,1.0,0.0,0.0,4.0,0.0,
30,Kaiman Import,29.0,2208.3,1250.0,1.0,0.0,0.0,4.0,0.0,
31,East Hope Mianchi,30.0,2208.3,1250.0,1.0,0.0,0.0,4.0,0.0,
32,East Hope Mianchi Added LT,31.0,2208.3,1250.0,1.0,0.0,0.0,4.0,0.0,
33,Huiyuan Lushan,32.0,2208.3,1250.0,1.0,0.0,0.0,4.0,0.0,
34,Jingxin,33.0,2208.3,1250.0,1.0,0.0,0.0,4.0,0.0,
35,Shenhuo,34.0,2208.3,1250.0,0.0,0.0,1.0,4.0,0.0,
36,Wanji,35.0,2208.3,1250.0,1.0,0.0,0.0,4.0,0.0,
37,Wanji import,36.0,2933.0,1359.0,1.0,0.0,0.0,3.0,0.0,
38,Shuijiang,4.0,2855.0,1220.0,0.0,1.0,0.0,3.0,0.0,
39,Weilai,37.0,2208.3,1250.0,1.0,0.0,0.0,4.0,0.0,
40,Yifeng Gongyi (Yulian Xinya),38.0,2208.3,1250.0,1.0,0.0,0.0,4.0,0.0,
41,Yima Yixiang,39.0,2208.3,1250.0,1.0,0.0,0.0,4.0,0.0,
42,Zhongmei,40.0,2208.3,1250.0,1.0,0.0,0.0,4.0,0.0,
43,Shaoxing,41.0,2208.3,1250.0,1.0,0.0,0.0,4.0,0.0,
44,Zhongchao,42.0,2208.3,1250.0,1.0,0.0,0.0,4.0,0.0,
45,Jialu Xianfeng,43.0,2500.0,1400.0,1.0,0.0,0.0,4.0,0.0,
46,Jinshi,44.0,2500.0,1400.0,1.0,0.0,0.0,4.0,0.0,
47,Huixiang,45.0,2500.0,1400.0,1.0,0.0,0.0,4.0,0.0,
48,Xinwang L-B,46.0,1712.5,1175.0,1.0,0.0,0.0,3.0,0.0,
49,Tuoyuan,5.0,2855.0,1220.0,1.0,0.0,0.0,3.0,0.0,
50,Xinwang H-B,47.0,1712.5,1175.0,1.0,0.0,0.0,3.0,0.0,
51,Datang Tuoketuo Fly Ash,48.0,1712.5,1175.0,1.0,0.0,0.0,3.0,1.0,
52,Mengxi Fly Ash,49.0,1712.5,1175.0,1.0,0.0,0.0,3.0,1.0,
53,Mengxi import,50.0,2933.0,1359.0,1.0,0.0,0.0,3.0,0.0,
54,Qihui H-B,51.0,2855.0,1220.0,1.0,0.0,0.0,3.0,0.0,
55,Qihui L-B,52.0,2855.0,1220.0,1.0,0.0,0.0,3.0,0.0,
56,Jinjiang Lianyungang,53.0,2933.0,1359.0,1.0,0.0,0.0,3.0,0.0,
57,Chalco Lianyungang,54.0,2933.0,1359.0,1.0,0.0,0.0,3.0,0.0,
58,Chalco Shandong L-B,55.0,1902.7,1359.0,1.0,0.0,0.0,3.0,0.0,
59,Chalco Shandong sinter,56.0,1902.7,1359.0,0.0,0.0,1.0,4.0,0.0,
60,Chalco Pingguo,6.0,2867.1,1272.0,1.0,0.0,0.0,3.0,0.0,
61,Chalco Shandong sinter import,57.0,1902.7,1359.0,0.0,0.0,1.0,4.0,0.0,
62,Chiping Xinfa L-B,58.0,1902.7,1359.0,1.0,0.0,0.0,3.0,0.0,
63,Chiping Xinfa H-B,59.0,1902.7,1359.0,1.0,0.0,0.0,3.0,0.0,
64,Lubei,60.0,1902.7,1359.0,1.0,0.0,0.0,3.0,1.0,
65,Nanshan Donghai H-B,61.0,1902.7,1359.0,1.0,0.0,0.0,3.0,0.0,
66,Nanshan Donghai L-B,62.0,1902.7,1359.0,1.0,0.0,0.0,3.0,0.0,
67,Bochuang,63.0,1902.7,1359.0,1.0,0.0,0.0,3.0,1.0,
68,Nanhan,64.0,1902.7,1359.0,1.0,0.0,0.0,3.0,1.0,
69,Weiqiao - Binzhou L-B,65.0,1902.7,1359.0,1.0,0.0,0.0,3.0,0.0,
70,Weiqiao - Binzhou H-B,66.0,1902.7,1359.0,1.0,0.0,0.0,3.0,0.0,
71,Weiqiao-Wudi-Zhanhua L-B,67.0,1902.7,1359.0,1.0,0.0,0.0,3.0,0.0,
72,Weiqiao-Wudi-Zhanhua H-B,68.0,1902.7,1359.0,1.0,0.0,0.0,3.0,0.0,
73,Aokaida,69.0,1902.7,1240.0,1.0,0.0,0.0,4.0,0.0,
74,Chalco Shanxi,71.0,1902.7,1240.0,0.48,0.44,0.08,4.0,0.0,
75,Chalco Shanxi import,72.0,1902.7,1359.0,1.0,0.0,0.0,3.0,0.0,
76,SPIC Shanxi,73.0,1902.7,1240.0,1.0,0.0,0.0,4.0,0.0,
77,SPIC Shanxi import,74.0,1902.7,1359.0,1.0,0.0,0.0,3.0,0.0,
78,Dongxu Tianyuan,75.0,1902.7,1240.0,1.0,0.0,0.0,4.0,0.0,
79,Dongxu Tianyuan import,76.0,1902.7,1240.0,1.0,0.0,0.0,4.0,0.0,
80,East Hope Lingshi,77.0,1902.7,1240.0,1.0,0.0,0.0,4.0,0.0,
81,East Hope Lingshi Import,78.0,2933.0,1359.0,1.0,0.0,0.0,3.0,0.0,
82,Huaqing,79.0,1902.7,1240.0,1.0,0.0,0.0,4.0,0.0,
83,Qiangjin Aluminium,80.0,1902.7,1240.0,1.0,0.0,0.0,4.0,0.0,
84,Senze,81.0,1902.7,1240.0,0.55,0.0,0.45,4.0,0.0,
85,Taixing,82.0,1902.7,1240.0,1.0,0.0,0.0,4.0,0.0,
86,Wusheng,83.0,1902.7,1240.0,1.0,0.0,0.0,4.0,0.0,
87,Xinfa - Jiaokou,84.0,1902.7,1240.0,1.0,0.0,0.0,4.0,0.0,
88,Xinfa - Xiaoyi,85.0,1902.7,1240.0,1.0,0.0,0.0,4.0,0.0,
89,Xingan Chemical,86.0,1902.7,1240.0,1.0,0.0,0.0,4.0,0.0,
90,Huayin,8.0,2867.1,1272.0,1.0,0.0,0.0,3.0,0.0,
91,Xingan Chemical import,87.0,1902.7,1240.0,1.0,0.0,0.0,4.0,0.0,
92,Yangquan Zhaofeng,88.0,1902.7,1240.0,1.0,0.0,0.0,4.0,0.0,
93,Gangyuan Jiaohua,89.0,1902.7,1240.0,1.0,0.0,0.0,4.0,0.0,
94,Tiantong,92.0,1902.7,1240.0,1.0,0.0,0.0,4.0,0.0,
95,Fusheng,93.0,1902.7,1240.0,1.0,0.0,0.0,4.0,0.0,
96,YMG - Wenshan,94.0,3017.1,1200.0,1.0,0.0,0.0,4.0,0.0,
97,Guangxi - blending,95.0,1902.7,1359.0,1.0,0.0,0.0,3.0,0.0,
98,Guizhou - blending,96.0,1902.7,1359.0,1.0,0.0,0.0,3.0,0.0,
