output_lebel
H2O%
Country Of Origin
Company Name
Usd Price
Specifications
Total Alumina %
Aa%
Tonnage (Dmt)
Declared Quantity
Insurance
Contract Date
Unit Of Legal Quantity
Producing Country
Other Charges
Working H2O_6
Origin
Net Weight
Nature Of Business
Al2O3%
Sio2%
Reactive Silica Check
Gross Weight
Date Of Declaration
Rmb Gross Amount
Trading Country
Price Of Trading Currency
Total Silica %
Usd Gross Amount
Customs
Currency Of Insurance
Number Of Cargo
Declared Price (Us$Dmt)
Port Of Loading
Available Alumina Check
Destination
Freight Rate
Specs And Description
Rmb Price
Transportation Method
Metric Tons
Legal Quantity
Port Of Declaration
Data Index Key
Unit Of Declared Quantity
Fob/Cif Gross Usd
Fob/Cif Usd Price
Gross Amount Of Trading Currency
Customer
Recepient Company Name
Recepient Location
H2O From Gross Weight & Net Weight
Declared Price Usd/Dmt
Method Of Packaging
Moisture %
Name Of Vessel
H2O
Currency Of Other Charges
Legal Unit Of Measurement
Chinese Port
Trade Type
Currency Of Freight Rate
