Calculated Index Price Equivalent,Total Alumina,LT Avail. Alumina,Total Silica,LT R.Silica,Quartz / HT Silica,Mono-hydrate / HT Alumina,Moisture,Processing,Processing Penalties
48.38315847894586,0.5,0.45,0.05,0.05,0.0,0.0,0.1,LT,0.0
51.11517938924374,0.5,0.45,0.05,0.05,0.0,0.0,0.1,LT,0.0
62.03922740563947,0.5,0.45,0.05,0.05,0.0,0.0,0.1,LT,0.0
52.13270375419812,0.5,0.45,0.05,0.05,0.0,0.0,0.1,LT,0.0
49.34762263676903,0.5,0.45,0.05,0.05,0.0,0.0,0.1,LT,0.0
48.260567089778505,0.5,0.45,0.05,0.05,0.0,0.0,0.1,LT,0.0
45.6283054190922,0.5,0.45,0.05,0.05,0.0,0.0,0.1,LT,0.0
62.226681741096655,0.5,0.45,0.05,0.05,0.0,0.0,0.1,LT,0.0
103.41175339487525,0.5,0.45,0.05,0.05,0.0,0.0,0.1,LT,0.0
67.27248730957943,0.5,0.45,0.05,0.05,0.0,0.0,0.1,LT,0.0
54.46617319240162,0.5,0.45,0.05,0.05,0.0,0.0,0.1,LT,0.0
43.685203541248804,0.5,0.45,0.05,0.05,0.0,0.0,0.1,LT,0.0
43.66313933438386,0.5,0.45,0.05,0.05,0.0,0.0,0.1,LT,0.0
45.822290928807895,0.5,0.45,0.05,0.05,0.0,0.0,0.1,LT,0.0
