Reactive Alumina,Reactive Silica,Available Alumina,Tonnes per Tonne,Bauxite Cost Incl. Processing Penalties,Caustic Use t.NAOH / t.AA,Caustic cost,Thermal Energy Cost,Lime Cost,Mud make,Mud Disposal Cost,Total Cost
0.41300000000000003,0.013,0.4,2.717391304347826,136.27717391304347,0.06679347826086957,17.69807143835702,51.05236142938986,1.2374677742767115,1.8201847826086959,7.82090281842751,214.08597737349456
0.475,0.035,0.43999999999999995,2.4703557312252964,130.78353871192746,0.11281620553359686,27.10394988794724,50.374164429055966,1.2210288298473715,1.6191719367588933,6.8647764418833805,216.3474583006614
0.53,0.08999999999999998,0.41930000000000006,2.5923122388245416,129.6156119412271,0.1749848608965252,42.039890266265246,55.971293810062186,7.461842849067271,1.9872970997210668,8.425510598026005,243.51414946464777
0.46699999999999997,0.042,0.425,2.557544757033248,128.26086956521738,0.1316751918158568,31.634797355420655,50.374164429055966,1.2210288298473715,1.725219948849105,7.3143864422658496,218.80524662180724
0.42200000000000004,0.017,0.405,2.6838432635534084,134.5947396672034,0.07606280193236716,18.273991419590754,50.374164429055966,1.2210288298473715,1.7959060654857757,7.614073200194075,212.07799754589158
0.475,0.035,0.43999999999999995,2.4703557312252964,123.8883399209486,0.11281620553359686,27.10394988794724,50.374164429055966,1.2210288298473715,1.6191719367588933,6.8647764418833805,209.45225950968256
0.452,0.019,0.433,2.5102921980118484,125.89115373029418,0.0779259965860026,18.721621565320017,50.374164429055966,1.2210288298473715,1.624218194597851,6.886170977661891,203.0941395321794
0.341,0.011,0.33,3.2938076416337285,165.18445322793147,0.06760869565217392,16.24290313859464,50.374164429055966,1.2210288298473715,2.3974163372859025,10.16428633671242,243.18683596214186
0.562,0.082,0.46114000000000005,2.357107433185432,236.41787554849878,0.15096968571272326,36.27027497337897,55.971293810062186,7.461842849067271,1.7280771188981552,7.326499938799415,343.44778711980666
0.513,0.095,0.39615,2.7438003830345337,137.60158920918184,0.1913966218329684,45.98279495704442,55.971293810062186,7.461842849067271,2.155197004867502,9.137353044944188,256.15487387029987
0.385,0.013999999999999999,0.371,2.9298019453884914,146.92956756123283,0.07191550451189499,17.27760848929077,50.374164429055966,1.2210288298473715,2.0377174499003865,8.639276921567497,224.44164623099445
0.48,0.011,0.46647,2.3301745487150947,116.85825361806198,0.05037915202151963,12.103527195673173,55.971293810062186,7.461842849067271,1.6005537007366142,6.7858410149941255,199.18075848785872
0.49,0.015,0.47154999999999997,2.305071618575189,115.59934167154572,0.055745644567176705,13.392820204098419,55.971293810062186,7.461842849067271,1.5808172631423658,6.702164767420998,199.1274633021946
0.545,0.055,0.49000000000000005,2.2182786157941434,111.24667258207627,0.1448047914818101,34.78916697556207,50.374164429055966,1.2210288298473715,1.3990834072759535,5.931670748767469,203.5627035653091
