Reactive Alumina,Reactive Silica,Available Alumina,Tonnes per Tonne,Bauxite Cost Incl. Processing Penalties,Caustic Use t.NAOH / t.AA,Caustic cost,Thermal Energy Cost,Lime Cost,Mud make,Mud Disposal Cost,Total Cost
0.5,0.05,0.45,2.4154589371980677,0,0.14369565217391306,38.07461422539948,51.05236142938986,1.2374677742767115,1.5951545893719807,6.854001386588287,97.21844481565432
0.5,0.05,0.45,2.4154589371980677,0,0.14369565217391306,34.52269766755967,50.374164429055966,1.2210288298473715,1.5951545893719807,6.762950491967132,92.88084141843014
0.5,0.05,0.45,2.4154589371980677,0,0.14369565217391306,34.52269766755967,50.374164429055966,1.2210288298473715,1.7791545893719807,7.543052244369619,93.66094317083262
0.5,0.05,0.45,2.4154589371980677,0,0.14369565217391306,34.52269766755967,50.374164429055966,1.2210288298473715,1.5951545893719807,6.762950491967132,92.88084141843014
0.5,0.05,0.45,2.4154589371980677,0,0.14369565217391306,34.52269766755967,50.374164429055966,1.2210288298473715,1.5951545893719807,6.762950491967132,92.88084141843014
0.5,0.05,0.45,2.4154589371980677,0,0.14369565217391306,34.52269766755967,50.374164429055966,1.2210288298473715,1.5951545893719807,6.762950491967132,92.88084141843014
0.5,0.05,0.45,2.4154589371980677,0,0.14369565217391306,34.52269766755967,50.374164429055966,1.2210288298473715,1.5951545893719807,6.762950491967132,92.88084141843014
0.5,0.05,0.45,2.4154589371980677,0,0.14369565217391306,34.52269766755967,50.374164429055966,1.2210288298473715,1.5951545893719807,6.762950491967132,92.88084141843014
0.5,0.05,0.45,2.4154589371980677,0,0.14369565217391306,34.52269766755967,50.374164429055966,1.2210288298473715,1.7791545893719807,7.543052244369619,93.66094317083262
0.5,0.05,0.45,2.4154589371980677,0,0.14369565217391306,34.52269766755967,50.374164429055966,1.2210288298473715,1.7791545893719807,7.543052244369619,93.66094317083262
0.5,0.05,0.45,2.4154589371980677,0,0.14369565217391306,34.52269766755967,50.374164429055966,1.2210288298473715,1.5951545893719807,6.762950491967132,92.88084141843014
0.5,0.05,0.45,2.4154589371980677,0,0.14369565217391306,34.52269766755967,50.374164429055966,1.2210288298473715,1.7791545893719807,7.543052244369619,93.66094317083262
0.5,0.05,0.45,2.4154589371980677,0,0.14369565217391306,34.52269766755967,50.374164429055966,1.2210288298473715,1.7791545893719807,7.543052244369619,93.66094317083262
0.5,0.05,0.45,2.4154589371980677,0,0.14369565217391306,34.52269766755967,50.374164429055966,1.2210288298473715,1.5951545893719807,6.762950491967132,92.88084141843014
