,index,Label regardless,Linear order,Rank,Name,Prodn / Capacity,Series 1,Series 2,Series 3,Series 4,Series 5,Series 6,Series 7,Series 8,Series 9,Series 10,Total Cost,Rank Cost Proxy,Associated Text,Cumulative Prodn / Capacity
32,28,-,29.0,33,GDM,0.0,46.73237702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.73237702,129.70834808,0,160.989172257
33,30,-,31.0,34,SMB Santou-Houda,0.0,47.50551135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.50551135,131.70834808,0,160.989172257
34,32,-,33.0,35,MRN,0.0,47.78133815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.78133815,133.70834808,0,160.989172257
35,34,-,35.0,36,Aurum Xinfa-Fiji §,0.0,0.0,48.37500407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.37500407,135.70834808,0,160.989172257
36,35,-,36.0,37,Awaso §,0.0,0.0,49.49918761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.49918761,136.70834808,0,160.989172257
37,36,-,37.0,38,Gujarat & Maharashtra,0.0,49.66662188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.66662188,137.70834808,0,160.989172257
38,37,-,38.0,39,AMR,0.0,50.00286218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.00286218,138.70834808,0,160.989172257
39,38,-,39.0,40,AMR §,0.0,0.0,50.00286218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.00286218,139.70834808,0,160.989172257
40,39,-,40.0,41,SMB Kaboye,0.0,51.38632167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.38632167,140.70834808,0,160.989172257
41,40,-,41.0,42,SMB Kaboye §,0.0,0.0,51.38632167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.38632167,141.70834808,0,160.989172257
42,41,-,42.0,43,Kuantan & Johor,0.0,51.59333104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.59333104,142.70834808,0,160.989172257
43,42,-,43.0,44,Rundi,0.0,51.90709735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.90709735,143.70834808,0,160.989172257
44,43,-,44.0,45,Discovery Bay,0.0,52.02479945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.02479945,144.70834808,0,160.989172257
45,44,-,45.0,46,SMB Dabiss S,0.0,52.31608248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.31608248,145.70834808,0,160.989172257
46,46,-,47.0,47,Dabiss N,0.0,52.55354986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.55354986,147.70834808,0,160.989172257
47,47,-,48.0,48,Ashapura Guinea,0.0,54.98061112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.98061112,148.70834808,0,160.989172257
48,48,-,49.0,49,Ashapura Guinea §,0.0,0.0,54.98061112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.98061112,149.70834808,0,160.989172257
49,49,-,50.0,50,Aurukun,0.0,57.06558465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.06558465,150.70834808,0,160.989172257
50,50,-,51.0,51,Metallica,0.0,62.26113509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.26113509,151.70834808,0,160.989172257
51,51,-,52.0,52,Dom. Rep.,0.0,66.9091472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.9091472,152.70834808,0,160.989172257
52,52,-,53.0,53,Mirai,0.0,74.25698773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.25698773,153.70834808,0,160.989172257
53,53,-,54.0,54,Rondon do Para,0.0,84.70834808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.70834808,154.70834808,0,160.989172257
