owner,bauxite,ownership,technology,category,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2005,2006,2007,2008,2009,2010,2011,2012,2013
Not Available,Domestic,Not Available ,Not Available,Guangxi,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not Available,Domestic,Not Available ,Not Available,Guizhou,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not Available,Domestic,Not Available ,Not Available,Henan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Not Available,Domestic,Not Available ,Not Available,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not Available,Domestic,Not Available ,Not Available,Shanxi,137067.54900015565,206351.1460385208,268857.5274407607,334785.8179441255,372121.3524676442,414953.7751521115,477517.55643400404,584098.7535733386,611369.1723545868,672579.152671352,795452.6023117809,822818.6833097269,970215.5376500572,974539.0300952772,868393.5689843106,756568.51848651,789504.1115625157,748872.1354326848,714457.2516297026,669104.5977193171,670398.3842860234,502723.21077060146,491664.0822706758,325831.4164818237,319903.347295183,321149.3238537451,284185.8976514863
nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
