bauxite,owner,ownership,technology,category,province,refinery,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Domestic,Chalco,Chalco,H-B,Guangxi,Guangxi,Chalco Pingguo,263758.72972900164,261709.9629822095,259733.50486128288,256975.50344529146,252541.40046305212,248750.87855357816,244274.44675331895,238657.87901562767,233018.9570534061,227360.63338560925,221685.00253398204,215993.6336811167,210287.74910811425,204797.10582130586,199065.44925567522,193321.7078003401,187566.45383419163,181800.17782976423,176023.30425117578,170236.20347837787,164439.20093361306,158632.5841893779,152816.60858886468,146991.50174950802,141857.5513581648,136716.82012791067,131569.42116119695
Domestic,Chalco,Chalco,H-B,Guizhou,Guangxi,Chalco Pingguo,263758.72972900164,261709.9629822095,259733.50486128288,256975.50344529146,252541.40046305212,248750.87855357816,244274.44675331895,238657.87901562767,233018.9570534061,227360.63338560925,221685.00253398204,215993.6336811167,210287.74910811425,204797.10582130586,199065.44925567522,193321.7078003401,187566.45383419163,181800.17782976423,176023.30425117578,170236.20347837787,164439.20093361306,158632.5841893779,152816.60858886468,146991.50174950802,141857.5513581648,136716.82012791067,131569.42116119695
Domestic,Chalco,Chalco,H-B,Henan,Guangxi,Chalco Pingguo,263758.72972900164,261709.9629822095,259733.50486128288,256975.50344529146,252541.40046305212,248750.87855357816,244274.44675331895,238657.87901562767,233018.9570534061,227360.63338560925,221685.00253398204,215993.6336811167,210287.74910811425,204797.10582130586,199065.44925567522,193321.7078003401,187566.45383419163,181800.17782976423,176023.30425117578,170236.20347837787,164439.20093361306,158632.5841893779,152816.60858886468,146991.50174950802,141857.5513581648,136716.82012791067,131569.42116119695
Domestic,Chalco,Chalco,H-B,Other,Guangxi,Chalco Pingguo,263758.72972900164,227360.63338560925,221685.00253398204,215993.6336811167,210287.74910811425,204797.10582130586,199065.44925567522,193321.7078003401,187566.45383419163,181800.17782976423,176023.30425117578,170236.20347837787,164439.20093361306,158632.5841893779,152816.60858886468,146991.50174950802,141857.5513581648,136716.82012791067,131569.42116119695,263758.72972900164,261709.9629822095,259733.50486128288,256975.50344529146,252541.40046305212,204797.10582130586,199065.44925567522,193321.7078003401
Domestic,Chalco,Chalco,H-B,Shanxi,Guangxi,Chalco Pingguo,187566.45383419163,181800.17782976423,176023.30425117578,170236.20347837787,164439.20093361306,158632.5841893779,152816.60858886468,146991.50174950802,141857.5513581648,136716.82012791067,131569.42116119695,43786.7778244952,43786.7778244952,43786.7778244952,43786.7778244952,43786.7778244952,43239.14977693513,41783.14424030901,39989.88407475087,38165.993586442746,36319.503929622886,33988.010924470735,31369.443805793617,28723.36259055125,26052.238575999723,23357.75680133784,20641.103739286453
Domestic,Chalco,Chalco,H-B,Guangxi,Guizhou,Chalco Zunyi,17903.122259615207,15144.401978727295,12365.334617536135,9566.148695488344,7310.7745525173095,5042.55121440376,3331.692199768122,3331.692199768122,3331.692199768122,3331.692199768122,3331.692199768122,43786.7778244952,43786.7778244952,43786.7778244952,43786.7778244952,43786.7778244952,43239.14977693513,41783.14424030901,39989.88407475087,38165.993586442746,36319.503929622886,33988.010924470735,31369.443805793617,28723.36259055125,26052.238575999723,23357.75680133784,20641.103739286453
Domestic,Chalco,Chalco,H-B,Guizhou,Guizhou,Chalco Zunyi,17903.122259615207,15144.401978727295,12365.334617536135,9566.148695488344,7310.7745525173095,5042.55121440376,3331.692199768122,3331.692199768122,43239.14977693513,41783.14424030901,39989.88407475087,38165.993586442746,36319.503929622886,33988.010924470735,31369.443805793617,28723.36259055125,26052.238575999723,23357.75680133784,20641.103739286453,17903.122259615207,15144.401978727295,12365.334617536135,9566.148695488344,7310.7745525173095,5042.55121440376,3331.692199768122,3331.692199768122
Domestic,Chalco,Chalco,H-B,Henan,Guizhou,Chalco Zunyi,3331.692199768122,3331.692199768122,3331.692199768122,43786.7778244952,43786.7778244952,43786.7778244952,43786.7778244952,43786.7778244952,43239.14977693513,41783.14424030901,39989.88407475087,38165.993586442746,36319.503929622886,33988.010924470735,31369.443805793617,28723.36259055125,26052.238575999723,23357.75680133784,20641.103739286453,17903.122259615207,15144.401978727295,12365.334617536135,9566.148695488344,7310.7745525173095,5042.55121440376,3331.692199768122,3331.692199768122
Domestic,Chalco,Chalco,H-B,Other,Guizhou,Chalco Zunyi,3331.692199768122,3331.692199768122,3331.692199768122,43786.7778244952,43786.7778244952,43786.7778244952,43786.7778244952,43786.7778244952,43239.14977693513,41783.14424030901,39989.88407475087,38165.993586442746,36319.503929622886,33988.010924470735,31369.443805793617,28723.36259055125,26052.238575999723,23357.75680133784,20641.103739286453,17903.122259615207,15144.401978727295,12365.334617536135,9566.148695488344,7310.7745525173095,5042.55121440376,3331.692199768122,3331.692199768122
Domestic,Chalco,Chalco,H-B,Shanxi,Guizhou,Chalco Zunyi,3331.692199768122,3331.692199768122,3331.692199768122,80737.55177987367,76418.65597231641,72607.65638361138,68972.80332283376,66506.36962238181,63294.98067263537,60026.81931432312,56289.1718744328,52530.553229917474,48751.823921511066,44953.63504273865,43045.05785279529,39822.73985701572,36587.320993161935,34151.039542719205,31707.51941637368,29256.793234992285,26798.8830547511,24333.801047294917,22273.59186953944,20208.399424458752,18138.215988759388,16063.029749468817,14398.865840241071
Domestic,Chalco,Chalco,H-B,Guangxi,Henan,Chalco Zhengzhou domestic,12731.477940219873,11060.854246713076,9386.981314572133,80737.55177987367,76418.65597231641,72607.65638361138,68972.80332283376,66506.36962238181,63294.98067263537,60026.81931432312,56289.1718744328,52530.553229917474,48751.823921511066,44953.63504273865,43045.05785279529,39822.73985701572,36587.320993161935,34151.039542719205,31707.51941637368,29256.793234992285,26798.8830547511,24333.801047294917,22273.59186953944,20208.399424458752,18138.215988759388,16063.029749468817,14398.865840241071
Domestic,Chalco,Chalco,H-B,Guizhou,Henan,Chalco Zhengzhou domestic,12731.477940219873,11060.854246713076,9386.981314572133,80737.55177987367,76418.65597231641,72607.65638361138,68972.80332283376,66506.36962238181,63294.98067263537,60026.81931432312,56289.1718744328,52530.553229917474,48751.823921511066,44953.63504273865,43045.05785279529,39822.73985701572,36587.320993161935,34151.039542719205,31707.51941637368,29256.793234992285,26798.8830547511,24333.801047294917,22273.59186953944,20208.399424458752,18138.215988759388,16063.029749468817,14398.865840241071
Domestic,Chalco,Chalco,H-B,Henan,Henan,Chalco Zhengzhou domestic,12731.477940219873,11060.854246713076,9386.981314572133,80737.55177987367,76418.65597231641,72607.65638361138,68972.80332283376,66506.36962238181,63294.98067263537,60026.81931432312,56289.1718744328,52530.553229917474,48751.823921511066,44953.63504273865,43045.05785279529,39822.73985701572,36587.320993161935,34151.039542719205,31707.51941637368,29256.793234992285,26798.8830547511,24333.801047294917,22273.59186953944,20208.399424458752,18138.215988759388,16063.029749468817,14398.865840241071
Domestic,Chalco,Chalco,H-B,Other,Henan,Chalco Zhengzhou domestic,12731.477940219873,11060.854246713076,9386.981314572133,80737.55177987367,76418.65597231641,72607.65638361138,68972.80332283376,66506.36962238181,63294.98067263537,60026.81931432312,56289.1718744328,52530.553229917474,48751.823921511066,44953.63504273865,43045.05785279529,39822.73985701572,36587.320993161935,34151.039542719205,31707.51941637368,29256.793234992285,26798.8830547511,24333.801047294917,22273.59186953944,20208.399424458752,18138.215988759388,16063.029749468817,14398.865840241071
Domestic,Chalco,Chalco,H-B,Shanxi,Henan,Chalco Zhengzhou domestic,12731.477940219873,11060.854246713076,9386.981314572133,30314.382096899193,30314.382096899193,30314.382096899193,30314.382096899193,30314.382096899193,30314.382096899193,30314.382096899193,30314.382096899193,30314.382096899193,29291.25510959299,27357.06417343204,23823.85929600871,19494.20379163845,15036.317513328382,12508.302894223823,9701.411447246552,6481.38518602384,3207.68129970784,3207.68129970784,3207.68129970784,3207.68129970784,3207.68129970784,3207.68129970784,3207.68129970784
Domestic,Chalco,Chalco,H-B,Guangxi,Shanxi,Chalco Huaxing,3207.68129970784,3207.68129970784,3207.68129970784,30314.382096899193,30314.382096899193,30314.382096899193,30314.382096899193,30314.382096899193,30314.382096899193,30314.382096899193,30314.382096899193,30314.382096899193,29291.25510959299,27357.06417343204,23823.85929600871,19494.20379163845,15036.317513328382,12508.302894223823,9701.411447246552,3207.68129970784,3207.68129970784,3207.68129970784,30314.382096899193,30314.382096899193,30314.382096899193,30314.382096899193,30314.382096899193
