bauxite,owner,ownership,technology,category,province,refinery,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Domestic,Chalco,Chalco,H-B,Guangxi,Guangxi,Chalco Pingguo,2.082228422541574,2.1795390923320657,2.1960645788073685,2.206401132793174,2.217051491119661,2.2297187702787897,2.2382159001295894,2.246627095076536,2.255568784888608,2.2633294671187403,2.27025234065088,2.276547541146128,2.282353829200996,2.2877680361701467,2.292662626252238,2.2974965821340483,2.302101586459405,2.306510401770975,2.3107494314353563,2.3148403091191825,2.3188010179059315,2.3226466976940507,2.326390240205284,2.3300427357426665,2.3336138142469136,2.336696013751878,2.3397268030516867
Domestic,Chalco,Chalco,H-B,Guizhou,Guangxi,Chalco Pingguo,2.082228422541574,2.1795390923320657,2.1960645788073685,2.206401132793174,2.217051491119661,2.2297187702787897,2.2382159001295894,2.246627095076536,2.255568784888608,2.2633294671187403,2.27025234065088,2.276547541146128,2.282353829200996,2.2877680361701467,2.292662626252238,2.2974965821340483,2.302101586459405,2.306510401770975,2.3107494314353563,2.3148403091191825,2.3188010179059315,2.3226466976940507,2.326390240205284,2.3300427357426665,2.2382159001295894,2.246627095076536,2.255568784888608
Domestic,Chalco,Chalco,H-B,Henan,Guangxi,Chalco Pingguo,2.2633294671187403,2.27025234065088,2.276547541146128,2.282353829200996,2.2877680361701467,2.292662626252238,2.2974965821340483,2.302101586459405,2.306510401770975,2.3107494314353563,2.3148403091191825,2.3188010179059315,2.3226466976940507,2.326390240205284,2.3300427357426665,2.3336138142469136,2.336696013751878,2.3397268030516867,2.082228422541574,2.1795390923320657,2.1960645788073685,2.206401132793174,2.217051491119661,2.2297187702787897,2.2382159001295894,2.246627095076536,2.255568784888608
Domestic,Chalco,Chalco,H-B,Other,Guangxi,Chalco Pingguo,2.2633294671187403,2.27025234065088,2.276547541146128,2.282353829200996,2.2877680361701467,2.292662626252238,2.2974965821340483,2.302101586459405,2.306510401770975,2.3107494314353563,2.3148403091191825,2.3188010179059315,2.3226466976940507,2.326390240205284,2.3300427357426665,2.3336138142469136,2.336696013751878,2.3397268030516867,2.082228422541574,2.1795390923320657,2.1960645788073685,2.206401132793174,2.217051491119661,2.2297187702787897,2.2382159001295894,2.246627095076536,2.255568784888608
Domestic,Chalco,Chalco,H-B,Shanxi,Guangxi,Chalco Pingguo,2.2633294671187403,2.27025234065088,2.276547541146128,2.282353829200996,2.2877680361701467,2.292662626252238,2.2974965821340483,2.302101586459405,2.306510401770975,2.3107494314353563,2.3148403091191825,2.3188010179059315,2.3226466976940507,2.326390240205284,2.3300427357426665,2.3336138142469136,2.336696013751878,2.3397268030516867,2.281783531500264,2.281783531500264,2.281783531500264,2.281783531500264,2.281783531500264,2.281783531500264,2.4266758943768654,2.4906391188307593,2.5331812337612747
Domestic,Chalco,Chalco,H-B,Guangxi,Guizhou,Chalco Zunyi,2.5645689678053656,2.5905477835023816,2.618567118677125,2.6460812152423627,2.671124014551537,2.6944817746618748,2.7166530620513893,2.737981479671244,2.758720280887914,2.7790673611911583,2.7991859220477906,2.8192176787137924,2.8352791726419375,2.8514316910593966,0.0,0.0,0.0,0.0,2.281783531500264,2.281783531500264,2.281783531500264,2.281783531500264,2.281783531500264,2.281783531500264,2.4266758943768654,2.4906391188307593,2.5331812337612747
Domestic,Chalco,Chalco,H-B,Guizhou,Guizhou,Chalco Zunyi,2.5645689678053656,2.5905477835023816,2.618567118677125,2.6460812152423627,2.671124014551537,2.6944817746618748,2.7166530620513893,2.737981479671244,2.758720280887914,2.7790673611911583,2.7991859220477906,2.8192176787137924,2.8352791726419375,2.8514316910593966,0.0,0.0,0.0,0.0,2.281783531500264,2.281783531500264,2.281783531500264,2.281783531500264,2.281783531500264,2.281783531500264,2.4266758943768654,2.4906391188307593,2.5331812337612747
Domestic,Chalco,Chalco,H-B,Henan,Guizhou,Chalco Zunyi,2.5645689678053656,2.5905477835023816,2.618567118677125,2.6460812152423627,2.671124014551537,2.6944817746618748,2.7166530620513893,2.737981479671244,2.758720280887914,2.7790673611911583,2.7991859220477906,2.8192176787137924,2.8352791726419375,2.8514316910593966,0.0,0.0,0.0,0.0,2.281783531500264,2.281783531500264,2.281783531500264,2.281783531500264,2.281783531500264,2.281783531500264,2.4266758943768654,2.4906391188307593,2.5331812337612747
Domestic,Chalco,Chalco,H-B,Other,Guizhou,Chalco Zunyi,2.5645689678053656,2.5905477835023816,2.618567118677125,2.6460812152423627,2.671124014551537,2.6944817746618748,2.7166530620513893,2.737981479671244,2.758720280887914,2.281783531500264,2.281783531500264,2.281783531500264,2.281783531500264,2.281783531500264,2.281783531500264,2.4266758943768654,2.4906391188307593,2.5331812337612747,2.5645689678053656,2.5905477835023816,2.618567118677125,2.6460812152423627,2.671124014551537,2.6944817746618748,2.7166530620513893,2.737981479671244,2.758720280887914
Domestic,Chalco,Chalco,H-B,Shanxi,Guizhou,Chalco Zunyi,2.7790673611911583,2.7991859220477906,2.8192176787137924,2.8352791726419375,2.8514316910593966,0.0,0.0,0.0,0.0,1.8107530449260143,1.8777807858944584,1.905499794352516,1.9232026776601188,1.9374970152804012,1.9462963331796632,1.9569828492887795,1.9671828631001664,1.978220339218592,2.0882796168834945,2.0923411651761814,1.8107530449260143,1.8777807858944584,1.905499794352516,1.9232026776601188,1.9374970152804012,1.9462963331796632,1.9569828492887795
