Mine,Reactive Alumina,Reactive Silica,Available Alumina,Tonnes per Tonne,Bauxite Cost Incl. Processing Penalties,Caustic Use t.NAOH / t.AA,Caustic cost,Thermal Energy Cost,Lime Cost,Mud make,Mud Disposal Cost,Total Cost
SMB Generic,,,,,0,,,52.69114137479914,1.290330288711402,,,
West Kalimantan Generic,,,,,0,,,52.69114137479914,1.290330288711402,,,
Weipa/Amrun Generic,,,,,0,,,52.69114137479914,1.290330288711402,,,
Gove,,,,,0,,,50.374164429055966,1.2210288298473715,,,
Alufer Bel Air,,,,,0,,,50.374164429055966,1.2210288298473715,,,
Central Kalimantan Generic,,,,,0,,,50.374164429055966,1.2210288298473715,,,
CBG LT,,,,,0,,,50.374164429055966,1.2210288298473715,,,
Huntly,,,,,0,,,50.374164429055966,1.2210288298473715,,,
Turkey,,,,,0,,,50.374164429055966,1.2210288298473715,,,
Bauxite Hills,,,,,0,,,50.374164429055966,1.2210288298473715,,,
Chalco Boffa,,,,,0,,,50.374164429055966,1.2210288298473715,,,
Rennell Island,,,,,0,,,50.374164429055966,1.2210288298473715,,,
Discovery Bay,,,,,0,,,50.374164429055966,1.2210288298473715,,,
MRN,,,,,0,,,50.374164429055966,1.2210288298473715,,,
