Year,Quarter,Worsley
2016,Q1,1172.0930232558098
2016,Q2,1116.27906976744
2016,Q3,1124.41860465116
2016,Q4,1131.39534883721
2017,Q1,1120.93023255814
2017,Q2,1148.83720930233
2017,Q3,1095.3488372093
2017,Q4,1073.25581395349
2018,Q1,1067.44186046512
2018,Q2,1140.6976744186
2018,Q3,993.0232558139529
2018,Q4,1223.25581395349
2019,Q1,1038.3720930232598
2019,Q2,1158.13953488372
2019,Q3,1106.97674418605
2019,Q4,1140.6976744186
2020,Q1,1088.3720930232598
