Month,Date,Australia (FOB WA),CMAAX,Frieght,USD:RMB,Unnamed: 6,Import Inducement Value,Unnamed: 8,VAT,Unnamed: 10,Port Handling (RMB/t)
2011-01-01 00:00:00.000,40547.0,372.0,418.999722541525,25.0,6.6215,,20.0,,0.17,,80.0
2011-01-01 00:00:00.000,40548.0,374.0,418.965446666423,25.0,6.6295,,20.0,,0.16,,90.0
2011-01-01 00:00:00.000,40549.0,374.0,419.399607751051,25.0,6.6322,,20.0,,0.13,,100.0
2011-01-01 00:00:00.000,40550.0,374.0,418.259934903902,25.0,6.6341,,20.0,,,,40.0
2011-01-01 00:00:00.000,40553.0,378.0,417.99693347763696,25.0,6.6349,,20.0,,,,35.0
2011-01-01 00:00:00.000,40554.0,378.0,419.399607751051,25.0,6.6216,,20.0,,,,
2011-01-01 00:00:00.000,40555.0,385.0,418.308638871729,25.0,6.6128,,20.0,,,,
2011-01-01 00:00:00.000,40556.0,386.0,418.724246063852,25.0,6.5997,,20.0,,,,
2011-01-01 00:00:00.000,40557.0,386.0,420.1593896491511,25.0,6.5896,,20.0,,,,
2011-01-01 00:00:00.000,40560.0,382.0,420.3113460287711,25.0,6.5897,,20.0,,,,
2011-01-01 00:00:00.000,40561.0,382.0,420.3113460287711,25.0,6.5891,,20.0,,,,
2011-01-01 00:00:00.000,40562.0,382.0,419.56844817285094,25.0,6.5885,,20.0,,,,
2011-01-01 00:00:00.000,40563.0,381.0,419.3046350137889,25.0,6.5883,,20.0,,,,
2011-01-01 00:00:00.000,40564.0,381.0,418.965446666423,25.0,6.5886,,20.0,,,,
2011-01-01 00:00:00.000,40567.0,381.0,421.6314670767189,25.0,6.5883,,20.0,,,,
2011-01-01 00:00:00.000,40568.0,381.0,422.43873534345,25.0,6.5881,,20.0,,,,
2011-01-01 00:00:00.000,40569.0,381.0,422.43873534345,25.0,6.5878,,20.0,,,,
2011-01-01 00:00:00.000,40570.0,380.0,421.39403523356293,25.0,6.5876,,20.0,,,,
2011-01-01 00:00:00.000,40571.0,380.0,420.412650281851,25.0,6.593,,20.0,,,,
2011-01-01 00:00:00.000,40574.0,381.5,420.412650281851,25.0,6.5891,,20.0,,,,
2011-02-01 00:00:00.000,40575.0,382.0,420.412650281851,25.0,6.5891,,20.0,,,,
2011-02-01 00:00:00.000,40576.0,382.0,420.412650281851,25.0,6.5891,,20.0,,,,
2011-02-01 00:00:00.000,40577.0,382.0,420.412650281851,25.0,6.5891,,20.0,,,,
2011-02-01 00:00:00.000,40578.0,382.0,420.412650281851,25.0,6.5891,,20.0,,,,
2011-02-01 00:00:00.000,40581.0,382.0,420.412650281851,25.0,6.5891,,20.0,,,,
2011-02-01 00:00:00.000,40582.0,385.0,420.412650281851,25.0,6.5891,,20.0,,,,
2011-02-01 00:00:00.000,40583.0,385.0,420.412650281851,25.0,6.585,,20.0,,,,
2011-02-01 00:00:00.000,40584.0,390.0,420.649026872371,25.0,6.5849,,20.0,,,,
2011-02-01 00:00:00.000,40585.0,390.0,419.906129016451,25.0,6.5952,,20.0,,,,
2011-02-01 00:00:00.000,40586.0,395.0,419.906129016451,25.0,6.5952,,20.0,,,,
2011-02-01 00:00:00.000,40587.0,395.0,419.906129016451,25.0,6.5952,,20.0,,,,
2011-02-01 00:00:00.000,40588.0,395.0,420.64288722066897,25.0,6.5985,,20.0,,,,
2011-02-01 00:00:00.000,40589.0,395.0,422.43873534345,25.0,6.5929,,20.0,,,,
2011-02-01 00:00:00.000,40590.0,395.0,422.13482258421,25.0,6.5855,,20.0,,,,
2011-02-01 00:00:00.000,40591.0,395.0,420.9191715472509,25.0,6.58,,20.0,,,,
2011-02-01 00:00:00.000,40592.0,394.0,421.29906249630096,25.0,6.5781,,20.0,,,,
2011-02-01 00:00:00.000,40595.0,394.0,421.37504068611094,25.0,6.5705,,20.0,,,,
2011-02-01 00:00:00.000,40596.0,396.0,423.5784081906,25.0,6.5772,,20.0,,,,
