No.,Refinery Key,Supplyinh Mines Keys,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,Q1 2017,Q1 2018,Q1 2019,Q1 2020,Q2 2017,Q2 2018,Q2 2019,Q2 2020,Q3 2017,Q3 2018,Q3 2019,Q3 2020,Q4 2017,Q4 2018,Q4 2019,Q4 2020
11.0,R_011,M_021,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,R_012,M_023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,R_013,M_023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,R_014,M_019,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,R_015,M_021,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,,,,,,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
Not available,Not available,M_017,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,,,,,,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,R_016,M_022,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Not available,Not available,M_018,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,R_017,M_017,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,0.9,0.9,1.0,1.0,0.9,0.9,1.0,1.0,0.9,0.9,1.0,1.0,0.9,0.9,1.0,1.0
Not available,Not available,M_031,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,R_018,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.0,R_019,M_030,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Not available,Not available,M_031,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,,,,,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,R_020,M_031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,M_027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,R_021,M_029,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Not available,Not available,M_030,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,R_022,M_035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
