No.,Refinery Key,Supplyinh Mines Keys,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,Q1 2017,Q1 2018,Q1 2019,Q1 2020,Q2 2017,Q2 2018,Q2 2019,Q2 2020,Q3 2017,Q3 2018,Q3 2019,Q3 2020,Q4 2017,Q4 2018,Q4 2019,Q4 2020
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.0,R_043,M_068,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,R_044,M_068,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,R_045,M_031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,R_046,M_071,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,R_047,M_074,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,R_048,M_083,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,R_049,M_080,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,R_050,M_077,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,R_051,M_077,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,R_052,M_077,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.0,R_053,M_082,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,R_054,M_031,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,,,,,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Not available,Not available,M_017,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.0,R_055,M_085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.0,R_056,M_086,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.0,R_057,M_031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,M_033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.0,R_059,M_080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,M_050,0.23,0.23,0.23,0.23,0.23,,,,,,,,,,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23
Not available,Not available,M_051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,M_034,0.77,0.77,0.77,0.77,0.77,,,,,,,,,,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77
Not available,Not available,M_017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.0,R_059,M_031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0,R_060,M_017,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Not available,Not available,M_050,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,0.5,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Not available,Not available,M_067,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,0.5,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.0,R_061,M_067,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.0,R_062,M_017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Not available,Not available,M_067,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.0,R_063,M_067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,M_031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.0,R_064,M_087,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.0,R_065,M_089,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.0,R_066,M_088,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.0,R_067,M_017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.0,R_068,M_001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0
Not available,Not available,M_012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.0,R_069,M_063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.0,R_070,M_031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0
Not available,Not available,M_033,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.0,R_071,M_033,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.0,R_072,M_040,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.0,R_073,M_049,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.0,R_074,M_004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75.0,R_075,M_047,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76.0,R_076,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.0,R_077,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78.0,R_078,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.0,R_079,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80.0,R_080,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.0,R_081,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.0,R_082,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.0,R_083,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84.0,R_084,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.0,R_085,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86.0,R_086,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87.0,R_087,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88.0,R_088,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89.0,R_089,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90.0,R_090,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91.0,R_091,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92.0,R_092,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93.0,R_093,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94.0,R_094,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95.0,R_095,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
