Year,Quarter,Alumina
2016,Q1,
2016,Q2,275.0
2016,Q3,292.0
2016,Q4,
2017,Q1,313.0
2017,Q2,303.0
2017,Q3,269.0
2017,Q4,287.0
2018,Q1,351.0
2018,Q2,325.0
2018,Q3,348.0
2018,Q4,375.0
2019,Q1,452.0
2019,Q2,450.0
2019,Q3,450.0
2019,Q4,430.0
2020,Q1,465.0
