Key,Refinery Name,Country,Q1 2017,Q1 2018,Q1 2019,Q1 2020,Q1 2021,Q1 2022,Q2 2017,Q2 2018,Q2 2019,Q2 2020,Q2 2021,Q2 2022,Q3 2017,Q3 2018,Q3 2019,Q3 2020,Q3 2021,Q3 2022,Q4 2017,Q4 2018,Q4 2019,Q4 2020,Q4 2021
R_015,Sao Luis (Alumar),Brazil,890.0,871.220000000001,859.0,936.0,,,930.0,869.1499999999969,864.0,,,,937.4499999999989,851.3700000000018,990.0,,,,933.8700000000018,919.4444444444445,966.0,,
R_016,Votorantim CBA (Aluminio),Brazil,195.65217391304347,200.0,200.0,200.0,,,197.8260869565217,202.22222222222226,200.0,,,,200.0,204.44444444444446,200.0,,,,200.0,204.44444444444446,200.0,,
R_017,Arvida,Canada,367.0,361.516,373.0,373.0,,,367.0,365.248,336.0,,,,351.1070000000001,363.453,360.0,,,,365.214,354.0,345.0,,
R_018,Orbite,Canada,,0.0,,,,,,,,,,,,,,,,,,,,,
R_019,Gardanne,France,151.6304347826087,155.0,155.0,150.0,,,153.31521739130434,156.72222222222226,156.72222222222226,,,,155.0,158.44444444444446,155.0,,,,155.0,152.0,150.0,,
R_020,Stade,Germany,243.58695652173915,249.0,249.0,240.0,,,246.29347826086956,251.76666666666665,240.0,,,,249.0,254.53333333333333,240.0,,,,249.0,245.0,240.0,,
R_021,Distomon,Greece,195.65217391304347,200.0,200.0,200.0,,,197.8260869565217,202.22222222222226,202.22222222222226,,,,200.0,204.44444444444446,200.0,,,,200.0,200.0,200.0,,
R_022,Friguia,Guinea,,0.0,76.0,112.0,,,,22.0,78.0,,,,,79.0,88.0,,,,,81.0,126.0,,
R_023,Sangaredi,Guinea,,0.0,,,,,,,,,,,,,,,,,,,,,
R_024,Ajka,Hungary,24.456521739130434,25.0,25.0,25.0,,,24.72826086956521,25.27777777777777,25.27777777777777,,,,25.0,25.555555555555557,25.0,,,,25.0,25.555555555555557,25.0,,
R_025,Aditya,India,,0.0,,,,,,,,,,,,,,,,,0.0,,,,
R_026,Anrak,India,,0.0,,,,,,,,,,,,,,,,,0.0,,,,
R_027,Belgaum,India,79.12806539509536,79.56403269754769,80.0,80.0,,,78.91008174386921,70.0,80.0,,,,77.60217983651226,75.0,80.0,,,,80.27265917602995,82.0,80.0,,
R_028,Damanjodi,India,513.586956521739,525.0,561.0,540.0,,,519.2934782608695,526.8072727272728,540.0,,,,525.0,532.5963636363637,540.0,,,,525.0,532.5963636363637,540.0,,
R_029,Jindal,India,,0.0,,,,,,,,,,,,,,,,,,,,,
R_030,Muri,India,79.12806539509536,79.56403269754769,80.0,80.0,,,78.91008174386921,75.0,60.0,,,,77.60217983651226,75.0,80.0,,,,79.99775280898876,82.0,80.0,,
R_031,Renukoot,India,200.78746594005446,201.89373297002723,200.0,200.0,,,200.2343324250681,195.0,200.0,,,,196.91553133514984,195.0,200.0,,,,198.0,205.0,200.0,,
R_032,RSB,India,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
