Year,Month,Date,Country of Origin,Regency,Province,Price Type,Declared Price USD/tonne,Aa%,SiO2%,Fe2O3%,H2O%,Contract Date,Tonnage,Customer,Importing Port,Freight Rate US$/dmt,Insurance Rate US$/dmt
2011,month_7,2011-07-22,Indonesia,,,FOB,24.0,49.5,14.0,,,,94866.3,Weiqiao,Binzhou,,
2011,month_7,2011-07-22,Indonesia,,,FOB,24.0,49.5,14.0,,,,125622.0,Weiqiao,Binzhou,,
2011,month_7,2011-07-22,Indonesia,,,FOB,28.0,40.75,,,,,38076.19,Xinfa,Liaocheng,,
2011,month_7,2011-07-25,Indonesia,,,FOB,33.0,50.0,9.0,,,,40179.16,Weiqiao,Cangzhou,,
2011,month_7,2011-07-25,Indonesia,,,FOB,37.0,50.0,9.0,,,,108864.81,Weiqiao,Cangzhou,,
2011,month_7,2011-07-26,Australia,,,FOB,32.74374991516749,53.17,,,,,53045.68,Xinfa,Liaocheng,,
2011,month_7,2011-07-26,Australia,,,CIF,63.6189400876604,52.4,7.769999999999999,,,,62146.196,Nanshan,Longkou,,
2011,month_7,2011-07-26,Indonesia,,,FOB,37.0,50.0,,,13.57,,125977.86,Chalco Shandong,Zibo,,
2011,month_7,2011-07-27,Indonesia,,,C&F,56.0349999049661,51.14,10.1,10.67,14.06,,40564.453,Lubei,Cangzhou,,
2011,month_7,2011-07-27,Indonesia,,,FOB,24.5,47.52,11.54,18.74,10.71,,50002.4,Lubei,Cangzhou,,
2011,month_7,2011-07-27,Indonesia,,,FOB,24.0,47.5,13.5,,,,110663.49,Weiqiao,Binzhou,,
2011,month_7,2011-07-28,Indonesia,,,FOB,,49.0,13.5,,,,94125.23,Weiqiao,Binzhou,,
2011,month_7,2011-07-28,Indonesia,,,FOB,,49.0,13.5,,,,27256.23,Weiqiao,Binzhou,,
2011,month_7,2011-07-28,Indonesia,,,FOB,24.0,47.0,13.5,,,,28138.11,Weiqiao,Binzhou,,
2011,month_7,2011-07-28,Indonesia,,,FOB,32.99999991345389,50.0,9.0,,,,46218.168,Weiqiao,Binzhou,,
2011,month_7,2011-07-29,Australia,,,CIF,47.3222750865592,54.04,,,,,72115.41,Xinfa,Liaocheng,,
2011,month_7,2011-07-29,Indonesia,,,FOB,28.0,40.75,,,,,103539.64,Xinfa,Liaocheng,,
2011,month_8,2011-08-01,Australia,,,CIF,54.598219143133704,54.1,,,,,51504.42,Xinfa,Liaocheng,,
2011,month_8,2011-08-01,Indonesia,,,FOB,37.0,51.0,,,14.14,,61839.81,Chalco Shandong,Zibo,,
2011,month_8,2011-08-01,Indonesia,,,FOB,31.500002449001602,49.38,7.36,11.37,10.0,,24499.78,Nanshan,Longkou,,
2011,month_8,2011-08-02,Indonesia,,,FOB,24.0,47.0,14.0,,,,96331.69,Weiqiao,Binzhou,,
2011,month_8,2011-08-02,Indonesia,,,FOB,,44.52,11.86,,,,97584.89000000001,Weiqiao,Binzhou,,
2011,month_8,2011-08-02,Indonesia,,,FOB,,44.52,11.86,,,,31131.07,Weiqiao,Binzhou,,
2011,month_8,2011-08-02,Indonesia,,,FOB,24.000000021842695,49.5,14.0,,,,91563.722,Weiqiao,Binzhou,,
2011,month_8,2011-08-02,Indonesia,,,FOB,23.999999934326695,49.5,14.0,,,,30453.778,Weiqiao,Binzhou,,
2011,month_8,2011-08-03,Australia,,,CIF,47.3222749076421,52.48,,,,,52607.85,Xinfa,Liaocheng,,
2011,month_8,2011-08-03,Indonesia,,,FOB,24.0,41.2,,,,,37500.4,Bosai,Nantong,,
2011,month_8,2011-08-04,Australia,,,CIF,16.0844735888889,53.17,,,,,900000.0,Xinfa,Liaocheng,,
2011,month_8,2011-08-04,Australia,,,CIF,16.0844735888889,53.17,,,,,900000.0,Xinfa,Liaocheng,,
2011,month_8,2011-08-04,Australia,,,CIF,16.0844735937521,53.17,,,,,800920.11,Xinfa,Liaocheng,,
2011,month_8,2011-08-04,Indonesia,,,FOB,26.0,51.06,,12.35,,,26637.3,Chalco Zhongzhou,Rizhao,,
2011,month_8,2011-08-04,Indonesia,,,FOB,26.0,49.0,,12.85,,,22159.8,Chalco Zhongzhou,Rizhao,,
2011,month_8,2011-08-05,Australia,,,FOB,32.743749943627,52.92,,,,,59869.06,Xinfa,Liaocheng,,
2011,month_8,2011-08-05,India,,,CIF,52.0,51.0,,,0.7,,126448.62,Chalco Shandong,Zibo,,
2011,month_8,2011-08-09,Australia,,,CIF,60.5108571060418,,,,,,54325.25,Nanshan,Longkou,,
2011,month_8,2011-08-09,Australia,,,CIF,63.5318307087755,52.83,7.62,,,,56244.522,Nanshan,Longkou,,
2011,month_8,2011-08-09,Indonesia,,,FOB,22.5000310574438,49.6,16.58,10.4,,,32198.4,Dalian Jinyang Im&Ex,Huangpu Xingang,,
2011,month_8,2011-08-09,Indonesia,,,C&F,45.0,49.0,12.0,14.84,,,51845.03,Lubei,Cangzhou,,
2011,month_8,2011-08-09,Indonesia,,,FOB,37.0,51.0,,,13.78,,86220.0,Chalco Shandong,Zibo,,
2011,month_8,2011-08-09,Indonesia,,,FOB,37.0,51.0,,,13.78,,37427.07,Chalco Shandong,Zibo,,
2011,month_8,2011-08-09,Indonesia,,,FOB,32.0,48.0,,,10.0,,36540.0,Chalco Shandong,Zibo,,
2011,month_8,2011-08-09,Indonesia,,,FOB,37.0,50.0,,,14.37,,34252.0,Chalco Shandong,Zibo,,
2011,month_8,2011-08-09,Indonesia,,,FOB,25.5,40.0,,,9.2,,45400.0,Chalco Shandong,Zibo,,
2011,month_8,2011-08-10,Australia,,,CIF,47.32227493134499,53.1,,,,,71334.9,Xinfa,Liaocheng,,
2011,month_8,2011-08-10,Indonesia,,,FOB,25.5,40.5,2.8,32.65,9.2,,98926.6,Chalco Shandong,Longkou,,
2011,month_8,2011-08-10,Indonesia,,,FOB,37.0000008894268,50.07,3.17,10.95,14.37,,89945.57,Chalco Shandong,Longkou,,
2011,month_8,2011-08-12,Indonesia,,,FOB,37.0,51.0,,,13.78,,37427.07,Chalco Shandong,Zibo,,
2011,month_8,2011-08-12,Indonesia,,,FOB,37.0,51.0,,,13.78,,86220.0,Chalco Shandong,Zibo,,
2011,month_8,2011-08-15,Australia,,,FOB,32.74375002998009,54.17,,,,,54202.66,Xinfa,Liaocheng,,
2011,month_8,2011-08-15,Indonesia,,,FOB,24.0,47.0,14.0,,,,25453.61,Weiqiao,Binzhou,,
2011,month_8,2011-08-15,Indonesia,,,FOB,33.5000023732429,48.35,6.95,18.21,,,56884.19,Nanshan,Longkou,,
2011,month_8,2011-08-16,Indonesia,,,C&F,45.0,49.0,12.0,14.84,,,23188.57,Wudi Xinlong Trading,Cangzhou,,
2011,month_8,2011-08-16,Indonesia,,,C&F,45.0,49.0,12.0,14.84,,,46709.11,Wudi Xinlong Trading,Cangzhou,,
2011,month_8,2011-08-16,Indonesia,,,FOB,24.0,47.0,14.0,,,,92409.59,Weiqiao,Binzhou,,
2011,month_8,2011-08-16,Indonesia,,,FOB,34.0,44.63,12.86,,,,86513.58,Weiqiao,Binzhou,,
2011,month_8,2011-08-16,Indonesia,,,FOB,34.0,44.63,12.86,,,,11359.69,Weiqiao,Binzhou,,
2011,month_8,2011-08-17,Indonesia,,,FOB,37.0,50.0,,,14.82,,72062.28,Chalco Shandong,Zibo,,
2011,month_8,2011-08-18,Australia,,,CIF,51.896325058472904,54.21,,,,,61451.59,Xinfa,Liaocheng,,
2011,month_8,2011-08-18,Australia,,,FOB,38.7988248584536,49.89,,,,,52138.4,Xinfa,Liaocheng,,
2011,month_8,2011-08-18,Indonesia,,,FOB,24.5,49.32,11.08,14.67,10.85,,57947.5,Lubei,Cangzhou,,
2011,month_8,2011-08-18,Indonesia,,,FOB,24.0,47.5,13.5,,,,28454.105,Weiqiao,Binzhou,,
2011,month_8,2011-08-18,Indonesia,,,FOB,24.0,47.5,13.5,,,,96334.535,Weiqiao,Binzhou,,
2011,month_8,2011-08-18,Indonesia,,,FOB,24.0,49.5,14.0,,,,155212.2,Weiqiao,Binzhou,,
2011,month_8,2011-08-18,Indonesia,,,FOB,28.0,41.0,,,,,42469.01,Xinfa,Liaocheng,,
2011,month_8,2011-08-19,Australia,,,CIF,63.3449074074074,53.25,7.65,11.26,,,52801.632,Nanshan,Longkou,,
2011,month_8,2011-08-19,Indonesia,,,FOB,37.0,51.0,,,14.89,,85110.0,Chalco Shandong,Zibo,,
2011,month_8,2011-08-19,Indonesia,,,FOB,37.0,51.0,,,14.89,,40031.58,Chalco Shandong,Zibo,,
2011,month_8,2011-08-19,Indonesia,,,FOB,28.0,41.0,,,,,89762.11,Xinfa,Liaocheng,,
2011,month_8,2011-08-19,Indonesia,,,FOB,33.5,50.81,7.269999999999999,12.14,,,31050.0,Nanshan,Longkou,,
2011,month_8,2011-08-22,Indonesia,,,C&F,44.7861772658723,47.9,,,,,54386.78,Xinfa,Liaocheng,,
2011,month_8,2011-08-24,Australia,,,CIF,63.1046912026483,53.14,7.34,,,,55060.252,Nanshan,Longkou,,
2011,month_8,2011-08-24,Indonesia,,,FOB,21.912,40.6,,,,,38800.0,Bosai,Nantong,,
2011,month_8,2011-08-24,Indonesia,,,FOB,24.5000001742345,49.0,13.5,,,,28696.95,Weiqiao,Binzhou,,
2011,month_8,2011-08-24,Indonesia,,,FOB,24.5,49.0,13.5,,,,100213.56,Weiqiao,Binzhou,,
2011,month_8,2011-08-24,Indonesia,,,FOB,23.9999996281325,49.5,14.0,,,,32269.558,Weiqiao,Binzhou,,
2011,month_8,2011-08-24,Indonesia,,,FOB,24.000000110416497,49.5,14.0,,,,108679.442,Weiqiao,Binzhou,,
2011,month_8,2011-08-24,Indonesia,,,FOB,26.299999916393695,44.21,,,,,47843.28,Xinfa,Liaocheng,,
2011,month_8,2011-08-24,Indonesia,,,FOB,26.300000059679103,44.21,,,,,33512.56,Xinfa,Liaocheng,,
2011,month_8,2011-08-24,Indonesia,,,C&F,46.3023029531345,49.26,,,,,50955.01,Xinfa,Liaocheng,,
2011,month_8,2011-08-24,Indonesia,,,FOB,33.5,,,,,,65520.0,Nanshan,Longkou,,
2011,month_8,2011-08-26,Australia,,,CIF,61.086021904347895,49.49,,,,,48511.83,Xinfa,Liaocheng,,
2011,month_8,2011-08-26,Indonesia,,,FOB,26.0,51.06,,,,,39602.7,Chalco Shandong,Fangcheng,,
2011,month_8,2011-08-26,Indonesia,,,FOB,26.0,49.0,,,,,45340.2,Chalco Shandong,Fangcheng,,
2011,month_8,2011-08-26,Indonesia,,,FOB,37.0,51.0,,,13.85,,54447.66,Chalco Shandong,Zibo,,
2011,month_8,2011-08-29,Australia,,,FOB,32.7437499271987,54.83,,,,,61812.08,Xinfa,Liaocheng,,
2011,month_8,2011-08-29,Australia,,,CIF,51.896324960104295,54.3,,,,,60357.44,Xinfa,Liaocheng,,
2011,month_8,2011-08-29,Australia,,,CIF,63.4612918015516,53.16,7.389999999999999,12.26,,,75346.63499999998,Nanshan,Longkou,,
2011,month_8,2011-08-29,Indonesia,,,FOB,24.5,49.02,11.3,16.1,11.45,,66412.5,Wudi Xinlong Trading,Cangzhou,,
2011,month_8,2011-08-29,Indonesia,,,FOB,24.0,47.0,14.0,,,,33235.02,Weiqiao,Binzhou,,
2011,month_8,2011-08-29,Indonesia,,,FOB,24.0,47.0,14.0,,,,112650.545,Weiqiao,Binzhou,,
2011,month_8,2011-08-31,Australia,,,CIF,54.48562435260139,52.99,,,,,54052.87,Xinfa,Liaocheng,,
2011,month_8,2011-08-31,Australia,,,CIF,63.3412399073749,53.22,7.75,12.3,,,62525.606,Nanshan,Longkou,,
2011,month_8,2011-08-31,Indonesia,,,FOB,24.000000434119602,49.5,14.0,,,,32249.174,Weiqiao,Binzhou,,
2011,month_9,2011-09-01,Indonesia,,,FOB,24.5,42.0,,,,,32940.0,Bosai,Nantong,,
2011,month_9,2011-09-01,Indonesia,,,CIF,41.835312852608,46.59,,,11.59,,48327.39,Qinghai Huanghe Non-ferrous (Xinwang),Tangshan,,
2011,month_9,2011-09-02,Indonesia,,,FOB,23.999999876216602,49.5,14.0,,,,113100.826,Weiqiao,Binzhou,,
2011,month_9,2011-09-02,Indonesia,,,FOB,29.096599929887695,49.32,,,,,79443.94999999998,Xinfa,Liaocheng,,
2011,month_9,2011-09-05,Australia,,,CIF,51.8963249710999,54.08,,,,,54082.84,Xinfa,Liaocheng,,
2011,month_9,2011-09-05,Australia,,,FOB,32.74375,52.76,,,,,59993.6,Xinfa,Liaocheng,,
2011,month_9,2011-09-05,Australia,,,CIF,63.203915022634106,51.86,6.99,14.79,,,60400.366,Nanshan,Longkou,,
2011,month_9,2011-09-05,Australia,,,CIF,63.203915022634106,51.86,6.99,14.79,,,60400.366,Nanshan,Longkou,,
2011,month_9,2011-09-05,Indonesia,,,FOB,24.0,40.2,,,,,15470.0,Bosai,Nantong,,
2011,month_9,2011-09-05,Indonesia,,,FOB,17.5,37.95,,,,,20874.8,Bosai,Nantong,,
2011,month_9,2011-09-05,Indonesia,,,FOB,19.0,38.5,,,,,55936.8,Xinfa,Liaocheng,,
2011,month_9,2011-09-05,Indonesia,,,FOB,19.0,38.5,,,,,72937.19999999998,Xinfa,Liaocheng,,
2011,month_9,2011-09-06,Indonesia,,,C&F,44.499999851472595,44.13,6.36,22.68,13.85,,33663.81,Wudi Xinlong Trading,Cangzhou,,
2011,month_9,2011-09-06,Indonesia,,,C&F,44.500000117187206,45.87,9.68,18.010000000000005,12.79,,42666.79,Wudi Xinlong Trading,Cangzhou,,
2011,month_9,2011-09-07,Indonesia,,,FOB,33.9999999817736,44.55,11.01,,,,109731.148,Weiqiao,Binzhou,,
2011,month_9,2011-09-07,Indonesia,,,FOB,37.0,50.89,9.25,,,,155884.97,Weiqiao,Binzhou,,
2011,month_9,2011-09-07,Indonesia,,,FOB,34.0,44.55,11.01,,,,49152.655,Weiqiao,Binzhou,,
2011,month_9,2011-09-08,Indonesia,,,FOB,26.299999925113905,45.2,,,,,53414.48,Xinfa,Liaocheng,,
2011,month_9,2011-09-13,Australia,,,CIF,51.8963250482402,53.99,,,,,71765.84,Xinfa,Liaocheng,,
2011,month_9,2011-09-13,Australia,,,FOB,38.7988250309147,53.8,,,,,49887.27,Xinfa,Liaocheng,,
2011,month_9,2011-09-13,Australia,,,CIF,63.4925286953777,53.24,8.16,11.31,,,62104.95,Nanshan,Longkou,,
2011,month_9,2011-09-13,Indonesia,,,FOB,25.5,46.19,13.02,14.69,,,71570.9,Lubei,Cangzhou,,
2011,month_9,2011-09-13,Indonesia,,,FOB,36.99999972695469,51.0,,,13.95,,65923.124,Chalco Shandong,Zibo,,
2011,month_9,2011-09-13,Indonesia,,,FOB,25.5,40.0,,,8.699999999999998,,36520.0,Chalco Shandong,Zibo,,
2011,month_9,2011-09-13,Indonesia,,,FOB,25.499999948105305,40.0,,,8.699999999999998,,96348.89000000001,Chalco Shandong,Zibo,,
2011,month_9,2011-09-14,Australia,,,CIF,62.757350655328906,49.3,,,,,63433.8,Xinfa,Liaocheng,,
2011,month_9,2011-09-14,Indonesia,,,FOB,24.5000001571069,49.0,13.5,,,,31825.47,Weiqiao,Binzhou,,
2011,month_9,2011-09-14,Indonesia,,,FOB,24.0,49.5,14.0,,,,13455.0,Weiqiao,Binzhou,,
2011,month_9,2011-09-14,Indonesia,,,FOB,24.4999999539009,49.0,13.5,,,,108462.03,Weiqiao,Binzhou,,
2011,month_9,2011-09-14,Indonesia,,,FOB,24.0,49.5,14.0,,,,94185.0,Weiqiao,Binzhou,,
2011,month_9,2011-09-14,Indonesia,,,FOB,24.0,49.5,14.0,,,,82499.67,Weiqiao,Binzhou,,
2011,month_9,2011-09-14,Indonesia,,,FOB,23.9382000137115,43.36,,,,,53677.52,Xinfa,Liaocheng,,
2011,month_9,2011-09-15,Indonesia,,,FOB,22.0,48.65,,,8.9,,17400.1,Xiamen Huilin (Lubei),Zhangzhou,,
2011,month_9,2011-09-15,Indonesia,,,FOB,37.0,50.7,4.64,11.29,13.95,,86050.0,Chalco Shandong,Longkou,,
2011,month_9,2011-09-15,Indonesia,,,FOB,29.418999951995897,47.49,,,,,73743.66,Xinfa,Liaocheng,,
2011,month_9,2011-09-16,Indonesia,,,FOB,30.0,48.73,,14.53,,,141300.0,Chalco Zhongzhou,Rizhao,,
2011,month_9,2011-09-19,Australia,,,CIF,62.6925717025552,51.62,7.72,15.4,,,53842.607,Nanshan,Longkou,,
2011,month_9,2011-09-19,Indonesia,,,FOB,24.0,47.0,13.5,,,,108017.0,Weiqiao,Binzhou,,
2011,month_9,2011-09-19,Indonesia,,,FOB,24.0,47.0,13.5,,,,34807.5,Weiqiao,Binzhou,,
2011,month_9,2011-09-20,Australia,,,CIF,54.112824956088104,51.95,,,,,71176.54,Xinfa,Liaocheng,,
2011,month_9,2011-09-20,Indonesia,,,CIF,41.910899127258,47.14,,,12.01,,63755.38,Qinghai Huanghe Non-ferrous (Xinwang),Tangshan,,
2011,month_9,2011-09-22,Australia,,,CIF,62.6408323199216,53.95,7.95,,,,53795.18,Nanshan,Longkou,,
2011,month_9,2011-09-22,Indonesia,,,FOB,37.0,50.0,,,14.61,,67893.61,Chalco Shandong,Zibo,,
2011,month_9,2011-09-22,Indonesia,,,FOB,37.0,50.0,,,14.61,,72581.5,Chalco Shandong,Zibo,,
2011,month_9,2011-09-23,Australia,,,CIF,60.212131563518604,52.19,,,,,53045.1,Xinfa,Liaocheng,,
2011,month_9,2011-09-23,Australia,,,CIF,62.8514576287881,49.0,,,,,60914.0,Xinfa,Liaocheng,,
2011,month_9,2011-09-26,Australia,,,FOB,32.7437499706493,54.14,,,,,59623.72,Xinfa,Liaocheng,,
2011,month_9,2011-09-26,Australia,,,CIF,64.8652819469072,54.22,7.8,10.24,13.1,,55675.092,Nanshan,Longkou,,
2011,month_9,2011-09-26,Indonesia,,,FOB,37.0,50.0,,,15.02,,66379.1,Chalco Shandong,Zibo,,
2011,month_9,2011-09-26,Indonesia,,,FOB,37.0,50.07,3.21,11.88,15.02,,84980.0,Chalco Shandong,Longkou,,
2011,month_9,2011-09-26,Indonesia,,,FOB,33.5,48.55,6.65,18.15,,,56126.92,Nanshan,Longkou,,
2011,month_9,2011-09-27,Australia,,,CIF,54.1128248546678,52.88,,,,,52500.4,Xinfa,Liaocheng,,
2011,month_9,2011-09-27,Indonesia,,,FOB,37.0,50.06,9.9,,,,138165.35,Weiqiao,Binzhou,,
2011,month_9,2011-09-27,Indonesia,,,FOB,34.0000000215542,44.53,9.170000000000002,,,,92789.482,Weiqiao,Binzhou,,
2011,month_9,2011-09-28,Indonesia,,,FOB,25.5,40.0,,,9.0,,56611.1,Chalco Shandong,Zibo,,
2011,month_9,2011-09-28,Indonesia,,,FOB,37.0,50.0,,,14.89,,78644.17999999998,Chalco Shandong,Zibo,,
2011,month_9,2011-09-28,Indonesia,,,FOB,24.0,47.0,14.0,,,,32135.74,Weiqiao,Binzhou,,
2011,month_9,2011-09-28,Indonesia,,,FOB,34.0000001107493,44.53,9.170000000000002,,,,36117.624,Weiqiao,Binzhou,,
2011,month_9,2011-09-28,Indonesia,,,FOB,24.0,47.0,14.0,,,,112684.39,Weiqiao,Binzhou,,
2011,month_9,2011-09-28,Indonesia,,,C&F,46.7529457995075,47.96,,,,,48682.03,Xinfa,Liaocheng,,
2011,month_9,2011-09-29,Australia,,,CIF,54.112824880304096,54.83,,,,,52309.65,Xinfa,Liaocheng,,
2011,month_9,2011-09-29,Indonesia,,,FOB,25.5,40.95,2.7,32.15,9.0,,91000.0,Chalco Shandong,Longkou,,
2011,month_9,2011-09-29,Indonesia,,,FOB,24.0000000379252,49.5,13.5,,,,105470.899,Weiqiao,Binzhou,,
2011,month_9,2011-09-29,Indonesia,,,FOB,24.0000001827413,49.5,13.5,,,,32833.301,Weiqiao,Binzhou,,
2011,month_9,2011-09-30,Indonesia,,,FOB,33.5,48.59,6.25,18.6,,,65520.0,Nanshan,Longkou,,
2011,month_10,2011-10-08,Australia,,,FOB,32.7437501358144,54.2,,,,,59364.09,Xinfa,Liaocheng,,
2011,month_10,2011-10-08,Australia,,,CIF,60.7603523498026,49.14,,,,,50377.21,Xinfa,Liaocheng,,
2011,month_10,2011-10-08,Indonesia,,,FOB,37.0,50.02,12.38,10.64,13.24,,86760.0,Chalco Shandong,Longkou,,
2011,month_10,2011-10-08,Indonesia,,,FOB,37.0,51.0,,,13.58,,80655.99,Chalco Shandong,Zibo,,
2011,month_10,2011-10-09,Australia,,,CIF,54.112825045829894,54.17,,,,,50365.59,Xinfa,Liaocheng,,
2011,month_10,2011-10-09,Australia,,,CIF,62.435239202206795,53.91,7.55,,,,53926.76,Nanshan,Longkou,,
2011,month_10,2011-10-09,Indonesia,,,FOB,29.0,46.08,,,,,73444.0,"Shenzhen Ou'kai Industrial Development Co.,Ltd",Lianyungang,,
2011,month_10,2011-10-09,Indonesia,,,FOB,22.0,48.26,,,9.08,,23002.76,Xiamen Huilin (Lubei),Shishi,,
