Province,2017.0,2018.0,2019.0,2020.0,Q1 2017,Q1 2018,Q1 2019,Q1 2020,Q2 2017,Q2 2018,Q2 2019,Q2 2020,Q3 2017,Q3 2018,Q3 2019,Q3 2020,Q4 2017,Q4 2018,Q4 2019,Q4 2020
Chongqing,,,,,363.927459584512,365.714879498649,374.0,391.0,344.7617758477629,349.00019237331094,549.0,,355.5958794374811,383.11111403721907,537.0,,355.144486498325,383.20540862887003,553.0,
Guangxi,,,,,4848.81744697191,4383.833839817449,4623.0,4817.0,5056.53512643381,4634.6176062572495,4524.0,,5081.93461486689,4772.3860458811105,4428.0,,4899.922800483501,4706.32232711094,4714.0,
Guizhou,,,,,2509.52238479444,2379.5224390337094,2572.0,2520.0,2530.0893268406203,2620.1784827587694,2611.0,,2549.13135857222,2794.2979454573297,2557.0,,2728.1957303561694,2631.7388854213896,2525.0,
Henan,,,,,7660.770128183539,6894.4271649243,6197.0,2877.0,7796.8276650865,7800.17194986625,5750.0,,8062.178897055612,7627.22698879812,4882.0,,7097.33511767776,7391.099653495821,3626.0,
Inner Mongolia,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
Shandong,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
Shanxi,,,,,12187.9891737495,12570.0737776987,12576.0,6633.0,12422.6053171829,13411.100042236001,11698.0,,12232.4322068242,13205.6507760144,9865.0,,12296.0769463104,13868.0893807104,8802.0,
Yunnan,,,,,703.048790301119,907.392761886802,909.0,729.0,639.389077613405,972.395484857431,908.0,,707.7980621417302,1053.79716825494,932.0,,726.4482605460249,1025.8392072644501,969.0,
