Year,Quarter,Alumina
2016,Q1,
2016,Q2,
2016,Q3,
2016,Q4,
2017,Q1,524.0
2017,Q2,526.0
2017,Q3,525.0
2017,Q4,525.0
2018,Q1,525.0
2018,Q2,530.666666666667
2018,Q3,530.666666666667
2018,Q4,530.666666666667
2019,Q1,561.0
2019,Q2,540.25
2019,Q3,540.25
2019,Q4,540.25
2020,Q1,540.25
