Year,Quarter,Alumina (Including Utkal)
2016,Q1,
2016,Q2,
2016,Q3,
2016,Q4,708.0
2017,Q1,726.0
2017,Q2,724.0
2017,Q3,712.0
2017,Q4,734.0
2018,Q1,711.0
2018,Q2,695.0
2018,Q3,700.0
2018,Q4,749.0
2019,Q1,749.0
2019,Q2,720.0
2019,Q3,720.0
2019,Q4,720.0
2020,Q1,720.0
