Year,Quarter,Paragominas
2016,Q1,2682.0
2016,Q2,2609.0
2016,Q3,2777.0
2016,Q4,3063.0
2017,Q1,2400.0
2017,Q2,2943.0
2017,Q3,3043.0
2017,Q4,3049.0
2018,Q1,2326.0
2018,Q2,1348.0
2018,Q3,1286.0
2018,Q4,1254.0
2019,Q1,1361.0
2019,Q2,1624.0
2019,Q3,2152.0
2019,Q4,2222.28
2020,Q1,2585.0
