Date,Year,Quarter,"Bauxite Import Prices, US$/t",Australia,Brazil,Dominican Republic,Fiji,Ghana,Guinea,Guyana,India,Indonesia,Jamaica,Malaysia,Montenegro,Sierra Leone,Solomon Islands,Turkey,Vietnam,Laos,Saudi Arabia,Thailand,Other
2011-03-01 00:00:00.000,2011,Q1,Customs,55.21018494772329,,,,,,,,43.27402281206809,,,,,,,,,,,
2011-04-01 00:00:00.000,2011,Q2,Customs,54.4023800459487,,,,,,,,43.7199758404271,,37.923940064056794,,,,,,,,,
2011-05-01 00:00:00.000,2011,Q2,Customs,55.369161952064104,,,,,,,50.0450103239343,44.62037181389629,,,,,,,,,,,
2011-06-01 00:00:00.000,2011,Q2,Customs,54.866914434078396,,,,,,,,43.28467782668991,,,,,,,,,,,
2011-07-01 00:00:00.000,2011,Q3,Customs,56.06836917557779,,,,,,,,43.163799521759,,38.55978065914721,,,,,,,,,
2011-08-01 00:00:00.000,2011,Q3,Customs,54.866621807177204,,,,,,,51.999996618992604,43.224231714532,,,,,,,,,,,
2011-09-01 00:00:00.000,2011,Q3,Customs,57.2287307896338,,,,,,,,43.7871726920809,,,,,,,,,,,
2011-10-01 00:00:00.000,2011,Q4,Customs,56.52249711023521,,,,,,,,43.6838462166424,,,,,,,,,,,
2011-11-01 00:00:00.000,2011,Q4,Customs,55.2118477169213,,,,,,,,44.757145391681995,,,,,,,,,,,
2011-12-01 00:00:00.000,2011,Q4,Customs,56.610822980666505,,,,,,,55.9256408013297,43.742191874773596,,,,,,,,,,,
2012-01-01 00:00:00.000,2012,Q1,Customs,54.721107927114204,,,,,,,,43.1806026791843,,47.2215151462301,,,,,,,,,
2012-02-01 00:00:00.000,2012,Q1,Customs,54.474732179135195,,,,,,,,43.3567007424499,,38.7225656696993,,,,,,,,,
2012-03-01 00:00:00.000,2012,Q1,Customs,53.7481072547342,,,,,,,48.900008271460706,43.4586876485918,,,,,,,,,,,
2012-04-01 00:00:00.000,2012,Q2,Customs,53.5886845593269,,,,,,,48.6000009629984,43.04617749566871,,,,,,,,,,,
2012-05-01 00:00:00.000,2012,Q2,Customs,55.6266551104282,,,,,,,,43.05568916378979,,,,,,,,,,,
2012-06-01 00:00:00.000,2012,Q2,Customs,53.091747931336606,,,,,,,48.599994107669495,40.0250498092602,,40.860897803604395,,,,,,,,,
2012-07-01 00:00:00.000,2012,Q3,Customs,53.08591988645221,,,55.45464523827229,,,,48.6,47.215321268036796,,,,,,,,,,,
2012-08-01 00:00:00.000,2012,Q3,Customs,52.5513773361368,,,54.356145202311296,,,,,48.677679248939896,64.0000092464918,,,,,,,,,,
2012-09-01 00:00:00.000,2012,Q3,Customs,52.3645448819349,,,55.343428285266505,,,75.9999933528134,51.0688302237269,49.3368218426354,,,,,,,,,,,
2012-10-01 00:00:00.000,2012,Q4,Customs,52.8701571432168,,,,,,68.50001931471401,54.0479439835179,52.355177145392894,,40.8267652769511,,,,,,,,,
2012-11-01 00:00:00.000,2012,Q4,Customs,52.9003706016012,80.59849902814771,,56.337398652839404,,,79.4400153958914,53.2862807416206,50.767791761099204,,,,,,,,,,,
2012-12-01 00:00:00.000,2012,Q4,Customs,54.4878983216993,82.4721985304802,,,,79.9799925536137,78.0774059100399,53.262901897732604,49.2636537804607,,,,,,,,,,,
2013-01-01 00:00:00.000,2013,Q1,Customs,59.399201872372295,80.7042070832393,,,74.7787811634349,77.29382510808479,81.6881044488393,53.48559160335521,49.749085225602705,,0.0,,,,,,,,,
2013-02-01 00:00:00.000,2013,Q1,Customs,55.4519146909791,,,56.180091872698405,74.7756599389018,73.49999812452259,,55.388723693471604,44.9365533449203,,0.0,,,,,,,,,
2013-03-01 00:00:00.000,2013,Q1,Customs,55.144408081279494,,,,,,,56.603915552285606,49.654991914009706,,0.0,,,,,,,,,
2013-04-01 00:00:00.000,2013,Q2,Customs,58.2245829864694,,,57.442185154218905,,71.76624436126312,,56.6262973097782,50.08059825016561,,0.0,,,,,,,,,
2013-05-01 00:00:00.000,2013,Q2,Customs,58.658355312390206,,,,71.595422842197,71.0005408674516,,57.3910247876325,51.1422178246492,,41.2341026251091,,,,,,,,,
2013-06-01 00:00:00.000,2013,Q2,Customs,59.6461354989282,83.4457232347023,,56.0234888659832,,71.5224192099251,,57.406700212213295,49.6391949103811,,43.1289954205086,,,,,,,,,
2013-07-01 00:00:00.000,2013,Q3,Customs,59.5060833625432,84.8159550171414,,,75.02060673325931,71.5365238868903,,60.644104670501896,54.1264726414554,,,,,,,,,,,
2013-08-01 00:00:00.000,2013,Q3,Customs,57.1807286076507,85.9148062798621,,56.4171560831339,76.0792133672557,71.1103544427598,,63.3941400230641,52.536236254103,,,,,,,,,,,
2013-09-01 00:00:00.000,2013,Q3,Customs,58.7047503628728,,,,75.02061909621371,,,60.5561298821004,51.669807209531605,,,,,,,,,,,
2013-10-01 00:00:00.000,2013,Q4,Customs,56.8110776267165,81.48818402417139,59.9999990050702,56.5581639254249,75.9606495859213,70.87399366537902,,59.7853746761253,49.7417236912722,,44.0,,,,,,,,,
2013-11-01 00:00:00.000,2013,Q4,Customs,57.21858142149771,81.8571713792817,,56.4870313829995,74.6712652802032,,,55.74108612177729,51.7994095068655,,,,,,,,,,,
2013-12-01 00:00:00.000,2013,Q4,Customs,56.796777296250106,81.91216805839,,56.868976861482295,79.33395930024992,,,60.4194915715378,52.0317042891935,,,,,,,,,,,
2014-01-01 00:00:00.000,2014,Q1,Customs,55.6505849982214,,62.099999852726405,,85.7524858076725,70.4957752492316,,58.19604512330871,49.4840847102291,,,,,,,,,,,
2014-02-01 00:00:00.000,2014,Q1,Customs,55.945534117192004,,61.000001448083104,,,,,57.79999516519239,51.15064632173429,,,,,,,,,,,
2014-03-01 00:00:00.000,2014,Q1,Customs,56.70447695590239,76.5984809489494,60.9999972124736,,84.8099423923285,,,53.0425262116104,52.9784735818692,,45.999998353722496,,,,,,,,,
2014-04-01 00:00:00.000,2014,Q2,Customs,56.636412680293894,80.96049618320609,60.999996581662295,,86.06234379363458,89.13999887887638,,57.3249702203693,,,,,,,,,,,,
2014-05-01 00:00:00.000,2014,Q2,Customs,59.8966595119488,86.50930477528091,59.99999689602429,,94.6238237022991,,,56.647749409201204,52.4397154036,,56.379528430236206,,,,,,,,,
2014-06-01 00:00:00.000,2014,Q2,Customs,56.26188180714129,85.4286012938293,60.000001389442396,50.600544886906206,94.2957597934693,,80.3399245520277,56.2790305543007,,,68.1330817653331,,,,,,,,,
2014-07-01 00:00:00.000,2014,Q3,Customs,58.134597301681204,85.63680653779662,59.9999986007799,56.2571707251046,93.8525177460812,,,57.04612671972011,,,55.433899825406,,,,,,,,,
2014-08-01 00:00:00.000,2014,Q3,Customs,58.3513491468437,83.9416017407173,60.0000027903409,,93.3576214772548,,,55.3613508169543,,,52.7686492295905,,,,,,,,,
2014-09-01 00:00:00.000,2014,Q3,Customs,60.796019728193905,,,51.6153193701315,88.6642201464755,,,59.1913158346731,,,50.941431202724296,,,,,,,,,
2014-10-01 00:00:00.000,2014,Q4,Customs,60.543584070759,,65.5354904787023,51.6162422232971,,,,60.1251154696952,,,49.62699775492,,,,,,,,,
2014-11-01 00:00:00.000,2014,Q4,Customs,60.5960992174862,,65.6036319189803,51.655397216146206,60.0211975377728,,,61.440255433995105,,,51.232911705510794,,,,,20.4140529352713,,,85.9154285714286,
2014-12-01 00:00:00.000,2014,Q4,Customs,60.0106163788408,,,,74.5828312155749,,,62.7205770151543,,,48.6706819004721,,,,,19.398729374010696,,,,
2015-01-01 00:00:00.000,2015,Q1,Customs,61.571852740847504,,,51.0313854103005,60.019347353154494,,,60.0379673072385,,,46.9855082531533,,,68.0000019593825,,27.7118036183948,,,,
2015-02-01 00:00:00.000,2015,Q1,Customs,57.6423158820865,,,,60.01650985663079,,,60.51074566052521,,,47.3767618612542,,,,,,,,,
2015-03-01 00:00:00.000,2015,Q1,Customs,57.3895146183047,77.3714769810462,,51.031394512527505,60.016526946107795,,,61.55973145271171,,,46.8035459770868,,,68.1992047213927,,,,,,
2015-04-01 00:00:00.000,2015,Q2,Customs,56.4959099576006,73.2931307307134,,,57.748194158495295,,69.62924183086328,60.518635349928104,,,46.6572933055616,,,68.2579019370325,,,,,,
2015-05-01 00:00:00.000,2015,Q2,Customs,56.8582767582831,,54.518179036286895,45.46599337989839,55.0151186712138,,,58.8143009350614,,,47.3013571822947,,,,,,,,,
2015-06-01 00:00:00.000,2015,Q2,Customs,55.366609116129,,53.9160776475978,,60.0150958635411,,,59.300353129472,,,46.194547846085904,,,68.5761212738913,,,,,,
2015-07-01 00:00:00.000,2015,Q3,Customs,55.356534729597904,79.2693987115247,57.8338028169014,,60.015047021943595,,,60.4317270721873,,,46.2958800228942,79.0834906614919,,68.50987371413632,,21.264270233018,,,,
2015-08-01 00:00:00.000,2015,Q3,Customs,53.21715502252089,73.51646675941359,57.549315907698606,,90.96405923360192,71.0669725535997,,63.294555294594794,,,45.6492551023985,,,,,24.9383512710009,,,,
2015-09-01 00:00:00.000,2015,Q3,Customs,53.3501518942348,74.07144130790918,57.848444909244606,,95.5496865976477,,,63.4313378581586,,,45.965941250415405,,,,,26.0986350194352,,,,
2015-10-01 00:00:00.000,2015,Q4,Customs,53.4999025955722,71.03680442155509,57.0547384492097,,89.8733805326783,,,59.8151305290621,,,45.1202066744438,,,,,20.435972834601696,,,,
2015-11-01 00:00:00.000,2015,Q4,Customs,51.9013339484034,71.7342474594718,,,82.5328728541931,57.257568436995705,,58.7363707113171,,,45.702251253371,,,,,20.474200180097498,,,,
2015-12-01 00:00:00.000,2015,Q4,Customs,49.521011513805895,71.13380202984409,,,84.3573109835236,64.6045224280876,,58.243180562108705,,,44.04826538910069,,,67.34999041729121,,31.268633768734002,,,,
2016-01-01 00:00:00.000,2016,Q1,Customs,46.4003243648322,70.4044088981299,58.606453243958796,,80.31288505282339,60.574039365863705,,58.34863256094461,,,45.04552819586921,,,,,,,,,
2016-02-01 00:00:00.000,2016,Q1,Customs,47.137218905755795,68.0475695903246,,,78.74136962106621,56.909953495234205,,56.4199919068149,,,41.728725353939694,,,,49.920368615647604,,,,,
2016-03-01 00:00:00.000,2016,Q1,Customs,44.2843281550826,61.2894352252471,58.01057510819079,,68.5000081519524,50.305044440458204,,56.4798352494839,,,40.646406841796995,,,,,,,,,
2016-04-01 00:00:00.000,2016,Q2,Customs,46.83263952020229,44.58210860354209,,,79.5438068173785,54.5759684743553,,55.917874634075396,,,39.2248719471649,,,,,,,,,
2016-05-01 00:00:00.000,2016,Q2,Customs,44.0859242017919,49.81205223649879,,,83.6466644564777,54.5712685873686,,56.9860408284307,,,32.675576715763604,,,,,47.9709835280315,,,,
2016-06-01 00:00:00.000,2016,Q2,Customs,43.2757066106499,51.484451591297706,,,73.3928420002494,55.6384222637609,,44.10000934841539,,,37.9781637284066,67.5227182544182,,,,,,,,
2016-07-01 00:00:00.000,2016,Q3,Customs,43.18192261963161,56.39105124196071,,,77.2622089721749,54.74255996913671,,0.0,,,32.7871285359718,,,,,,,,,
2016-08-01 00:00:00.000,2016,Q3,Customs,45.2839993000244,56.917667359601204,,,81.2295256013313,53.8396843644166,,39.5000030166337,,,40.9199686235942,68.48107855265161,,,,,,,,
2016-09-01 00:00:00.000,2016,Q3,Customs,45.118109576554296,59.632602807358,,45.47350939343921,80.74761560769291,54.3553364374765,,34.9000018866868,,,39.919470744189,69.8281863877223,,42.4142084897277,,,,,,
2016-10-01 00:00:00.000,2016,Q4,Customs,44.2726905993251,53.353192396424596,,,80.9048148148148,56.9332597680435,,37.531202201262005,,,37.7439107240683,,,52.6748797967885,,,,,,
