Province,2017.0,2018.0,2019.0,2020.0,Q1 2017,Q1 2018,Q1 2019,Q1 2020,Q2 2017,Q2 2018,Q2 2019,Q2 2020,Q3 2017,Q3 2018,Q3 2019,Q3 2020,Q4 2017,Q4 2018,Q4 2019,Q4 2020
Chongqing,,,,,44.3138856162107,115.0,120.0,450.0,70.149466364722,120.0,180.0,,68.4214475618405,125.0,350.0,,101.123379343421,120.0,450.0,
Guangxi,,,,,,5.0,150.0,350.0,,5.0,100.0,,,5.0,270.0,,,150.0,200.0,
Guizhou,,,,,,,,60.0,,,,,,,130.0,,,,90.0,
Henan,,,,,120.0,320.0,950.0,2800.0,130.0,350.0,1400.0,,125.0,550.0,2400.0,,120.0,650.0,2500.0,
Inner Mongolia,,,,,274.614967400654,300.0,420.0,420.0,273.705417523708,300.0,420.0,,279.455772791417,300.0,420.0,,306.3971524086289,420.0,420.0,
Shanxi,,,,,,,600.0,3080.0,,50.0,850.0,,,650.0,2300.0,,,1150.0,3100.0,
Yunnan,,,,,,200.0,0.0,0.0,,150.0,0.0,,,150.0,0.0,,,50.0,0.0,
Shandong,,,,,15884.083161845801,15534.154633337099,15570.0,17570.0,16424.4059432555,15732.5504602147,16873.0,,16339.828823862099,15873.999621617,17535.0,,15711.1848811784,16040.0,17870.0,
