Date,Year,Quarter,"Imports by Source, kt Aa",Australia,India,Vietnam,Other,Total Import,Unnamed: 9,"Export, kt Aa - Total",Unnamed: 11,"Production, Mt Aa",Production - Shandong,Production - Henan,Production - Shanxi,Production - Guizhou,Production - Guangxi,Production - Chongqing,Production - Other
1995-01-01 00:00:00.000,1995,Q1,0.0,0.0,0.0,0.0,0.0,210.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-02-01 00:00:00.000,1995,Q1,0.0,0.0,0.0,0.0,0.0,60.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-03-01 00:00:00.000,1995,Q1,0.0,0.0,0.0,0.0,0.0,10.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-04-01 00:00:00.000,1995,Q2,0.0,0.0,0.0,0.0,0.0,70.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-05-01 00:00:00.000,1995,Q2,0.0,0.0,0.0,0.0,0.0,33.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-06-01 00:00:00.000,1995,Q2,0.0,0.0,0.0,0.0,0.0,24.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-07-01 00:00:00.000,1995,Q3,0.0,0.0,0.0,0.0,0.0,143.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-08-01 00:00:00.000,1995,Q3,0.0,0.0,0.0,0.0,0.0,130.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-09-01 00:00:00.000,1995,Q3,0.0,0.0,0.0,0.0,0.0,100.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-10-01 00:00:00.000,1995,Q4,0.0,0.0,0.0,0.0,0.0,190.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-11-01 00:00:00.000,1995,Q4,0.0,0.0,0.0,0.0,0.0,20.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-12-01 00:00:00.000,1995,Q4,0.0,0.0,0.0,0.0,0.0,191.891,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-01-01 00:00:00.000,1996,Q1,0.0,0.0,0.0,0.0,0.0,79.577,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-02-01 00:00:00.000,1996,Q1,0.0,0.0,0.0,0.0,0.0,66.307,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-03-01 00:00:00.000,1996,Q1,0.0,0.0,0.0,0.0,0.0,123.116,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-04-01 00:00:00.000,1996,Q2,0.0,0.0,0.0,0.0,0.0,80.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-05-01 00:00:00.000,1996,Q2,0.0,0.0,0.0,0.0,0.0,80.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-06-01 00:00:00.000,1996,Q2,0.0,0.0,0.0,0.0,0.0,40.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-07-01 00:00:00.000,1996,Q3,0.0,0.0,0.0,0.0,0.0,129.6,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-08-01 00:00:00.000,1996,Q3,0.0,0.0,0.0,0.0,0.0,122.8,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-09-01 00:00:00.000,1996,Q3,0.0,0.0,0.0,0.0,0.0,93.34,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-10-01 00:00:00.000,1996,Q4,0.0,0.0,0.0,0.0,0.0,50.53,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-11-01 00:00:00.000,1996,Q4,0.0,0.0,0.0,0.0,0.0,119.2,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-12-01 00:00:00.000,1996,Q4,0.0,0.0,0.0,0.0,0.0,169.53,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997-01-01 00:00:00.000,1997,Q1,0.0,0.0,0.0,0.0,0.0,90.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997-02-01 00:00:00.000,1997,Q1,0.0,0.0,0.0,0.0,0.0,-0.48,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997-03-01 00:00:00.000,1997,Q1,0.0,0.0,0.0,0.0,0.0,220.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997-04-01 00:00:00.000,1997,Q2,0.0,0.0,0.0,0.0,0.0,70.207,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997-05-01 00:00:00.000,1997,Q2,0.0,0.0,0.0,0.0,0.0,31.68,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997-06-01 00:00:00.000,1997,Q2,0.0,0.0,0.0,0.0,0.0,52.197,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997-07-01 00:00:00.000,1997,Q3,0.0,0.0,0.0,0.0,0.0,73.93099999999998,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997-08-01 00:00:00.000,1997,Q3,0.0,0.0,0.0,0.0,0.0,65.33,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997-09-01 00:00:00.000,1997,Q3,0.0,0.0,0.0,0.0,0.0,178.695,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997-10-01 00:00:00.000,1997,Q4,0.0,0.0,0.0,0.0,0.0,69.918,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997-11-01 00:00:00.000,1997,Q4,0.0,0.0,0.0,0.0,0.0,69.784,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997-12-01 00:00:00.000,1997,Q4,0.0,0.0,0.0,0.0,0.0,159.317,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-01-01 00:00:00.000,1998,Q1,0.0,0.0,0.0,0.0,0.0,140.573,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-02-01 00:00:00.000,1998,Q1,0.0,0.0,0.0,0.0,0.0,124.434,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-03-01 00:00:00.000,1998,Q1,0.0,0.0,0.0,0.0,0.0,147.683,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-04-01 00:00:00.000,1998,Q2,0.0,0.0,0.0,0.0,0.0,86.08799999999998,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-05-01 00:00:00.000,1998,Q2,0.0,0.0,0.0,0.0,0.0,88.748,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-01 00:00:00.000,1998,Q2,0.0,0.0,0.0,0.0,0.0,94.832,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-07-01 00:00:00.000,1998,Q3,0.0,0.0,0.0,0.0,0.0,181.868,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-08-01 00:00:00.000,1998,Q3,0.0,0.0,0.0,0.0,0.0,67.709,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-09-01 00:00:00.000,1998,Q3,0.0,0.0,0.0,0.0,0.0,206.885,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-10-01 00:00:00.000,1998,Q4,0.0,0.0,0.0,0.0,0.0,114.73899999999999,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-01 00:00:00.000,1998,Q4,0.0,0.0,0.0,0.0,0.0,113.84899999999999,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-12-01 00:00:00.000,1998,Q4,0.0,0.0,0.0,0.0,0.0,179.15,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-01-01 00:00:00.000,1999,Q1,0.0,0.0,0.0,0.0,0.0,204.709,,0.0,,CNIA,,,,,,,0.306444
1999-02-01 00:00:00.000,1999,Q1,0.0,0.0,0.0,0.0,0.0,58.853,,0.0,,CNIA,,,,,,,0.282955
1999-03-01 00:00:00.000,1999,Q1,0.0,0.0,0.0,0.0,0.0,142.158,,0.0,,CNIA,,,,,,,0.305092
1999-04-01 00:00:00.000,1999,Q2,0.0,0.0,0.0,0.0,0.0,136.547,,0.0,,CNIA,,,,,,,0.312931
1999-05-01 00:00:00.000,1999,Q2,0.0,0.0,0.0,0.0,0.0,161.046,,0.0,,CNIA,,,,,,,0.334665
1999-06-01 00:00:00.000,1999,Q2,0.0,0.0,0.0,0.0,0.0,119.174,,0.0,,CNIA,,,,,,,0.31999
1999-07-01 00:00:00.000,1999,Q3,0.0,0.0,0.0,0.0,0.0,95.09,,0.0,,CNIA,,,,,,,0.329768
1999-08-01 00:00:00.000,1999,Q3,0.0,0.0,0.0,0.0,0.0,148.41,,0.0,,CNIA,,,,,,,0.332624
1999-09-01 00:00:00.000,1999,Q3,0.0,0.0,0.0,0.0,0.0,244.69,,0.0,,CNIA,,,,,,,0.320609
1999-10-01 00:00:00.000,1999,Q4,0.0,0.0,0.0,0.0,0.0,38.98,,0.0,,CNIA,,,,,,,0.331762
1999-11-01 00:00:00.000,1999,Q4,0.0,0.0,0.0,0.0,0.0,68.148,,0.0,,CNIA,,,,,,,0.325011
1999-12-01 00:00:00.000,1999,Q4,0.0,0.0,0.0,0.0,0.0,190.975,,0.0,,CNIA,,,,,,,0.319149
2000-01-01 00:00:00.000,2000,Q1,0.0,0.0,0.0,0.0,0.0,135.093,,0.0,,CNIA,,,,,,,0.346353
2000-02-01 00:00:00.000,2000,Q1,0.0,0.0,0.0,0.0,0.0,112.1038,,0.0,,CNIA,,,,,,,0.339272
2000-03-01 00:00:00.000,2000,Q1,0.0,0.0,0.0,0.0,0.0,109.7094,,0.0,,CNIA,,,,,,,0.358367
2000-04-01 00:00:00.000,2000,Q2,0.0,0.0,0.0,0.0,0.0,99.459,,0.0,,CNIA,,,,,,,0.350655
2000-05-01 00:00:00.000,2000,Q2,0.0,0.0,0.0,0.0,0.0,155.4357,,0.0,,CNIA,,,,,,,0.358629
2000-06-01 00:00:00.000,2000,Q2,0.0,0.0,0.0,0.0,0.0,127.236,,0.0,,CNIA,,,,,,,0.369358
2000-07-01 00:00:00.000,2000,Q3,0.0,0.0,0.0,0.0,0.0,218.7,,0.0,,CNIA,,,,,,,0.359865
2000-08-01 00:00:00.000,2000,Q3,0.0,0.0,0.0,0.0,0.0,119.85700000000001,,0.0,,CNIA,,,,,,,0.365228
2000-09-01 00:00:00.000,2000,Q3,0.0,0.0,0.0,0.0,0.0,231.987,,0.0,,CNIA,,,,,,,0.370256
2000-10-01 00:00:00.000,2000,Q4,0.0,0.0,0.0,0.0,0.0,139.0,,0.0,,CNIA,,,,,,,0.36477
2000-11-01 00:00:00.000,2000,Q4,0.0,0.0,0.0,0.0,0.0,218.7,,0.0,,CNIA,,,,,,,0.367571
2000-12-01 00:00:00.000,2000,Q4,0.0,0.0,0.0,0.0,0.0,204.5,,0.0,,CNIA,,,,,,,0.357833
2001-01-01 00:00:00.000,2001,Q1,0.0,0.0,0.0,0.0,0.0,170.0,,0.0,,CNIA,,,,,,,0.385482
2001-02-01 00:00:00.000,2001,Q1,0.0,0.0,0.0,0.0,0.0,200.0,,0.0,,CNIA,,,,,,,0.357467
2001-03-01 00:00:00.000,2001,Q1,0.0,0.0,0.0,0.0,0.0,399.579,,0.0,,CNIA,,,,,,,0.406517
2001-04-01 00:00:00.000,2001,Q2,0.0,0.0,0.0,0.0,0.0,330.0,,0.0,,CNIA,,,,,,,0.382661
2001-05-01 00:00:00.000,2001,Q2,0.0,0.0,0.0,0.0,0.0,247.418,,0.0,,CNIA,,,,,,,0.408911
2001-06-01 00:00:00.000,2001,Q2,0.0,0.0,0.0,0.0,0.0,227.016,,0.0,,CNIA,,,,,,,0.384619
2001-07-01 00:00:00.000,2001,Q3,0.0,0.0,0.0,0.0,0.0,246.5,,0.0,,CNIA,,,,,,,0.3965
2001-08-01 00:00:00.000,2001,Q3,0.0,0.0,0.0,0.0,0.0,340.0,,0.0,,CNIA,,,,,,,0.399311
2001-09-01 00:00:00.000,2001,Q3,0.0,0.0,0.0,0.0,0.0,370.0,,0.0,,CNIA,,,,,,,0.389093
2001-10-01 00:00:00.000,2001,Q4,0.0,0.0,0.0,0.0,0.0,180.0,,0.0,,CNIA,,,,,,,0.394437
2001-11-01 00:00:00.000,2001,Q4,0.0,0.0,0.0,0.0,0.0,310.0,,0.0,,CNIA,,,,,,,0.396599
2001-12-01 00:00:00.000,2001,Q4,0.0,0.0,0.0,0.0,0.0,320.0,,0.0,,CNIA,,,,,,,0.390067
2002-01-01 00:00:00.000,2002,Q1,0.0,0.0,0.0,0.0,0.0,320.0,,0.0,,CNIA,,,,,,,0.432498
2002-02-01 00:00:00.000,2002,Q1,0.0,0.0,0.0,0.0,0.0,338.935,,0.0,,CNIA,,,,,,,0.39796
2002-03-01 00:00:00.000,2002,Q1,0.0,0.0,0.0,0.0,0.0,423.473,,0.0,,CNIA,,,,,,,0.43411400000000006
2002-04-01 00:00:00.000,2002,Q2,0.0,0.0,0.0,0.0,0.0,195.493,,0.0,,CNIA,,,,,,,0.440239
2002-05-01 00:00:00.000,2002,Q2,0.0,0.0,0.0,0.0,0.0,335.0,,0.0,,CNIA,,,,,,,0.45868
2002-06-01 00:00:00.000,2002,Q2,0.0,0.0,0.0,0.0,0.0,380.0,,0.0,,CNIA,,,,,,,0.459788
2002-07-01 00:00:00.000,2002,Q3,0.0,0.0,0.0,0.0,0.0,364.552,,0.0,,CNIA,,,,,,,0.466986
2002-08-01 00:00:00.000,2002,Q3,0.0,0.0,0.0,0.0,0.0,488.531,,0.0,,CNIA,,,,,,,0.459492
2002-09-01 00:00:00.000,2002,Q3,0.0,0.0,0.0,0.0,0.0,343.551,,0.0,,CNIA,,,,,,,0.4428
2002-10-01 00:00:00.000,2002,Q4,0.0,0.0,0.0,0.0,0.0,356.842,,0.0,,CNIA,,,,,,,0.484115
2002-11-01 00:00:00.000,2002,Q4,0.0,0.0,0.0,0.0,0.0,492.30300000000005,,0.0,,CNIA,,,,,,,0.4926
2002-12-01 00:00:00.000,2002,Q4,0.0,0.0,0.0,0.0,0.0,517.526,,0.0,,CNIA,,,,,,,0.466462
2003-01-01 00:00:00.000,2003,Q1,0.0,0.0,0.0,0.0,0.0,292.585,,0.0,,CNIA,,,,,,,0.4795
2003-02-01 00:00:00.000,2003,Q1,0.0,0.0,0.0,0.0,0.0,338.61300000000006,,0.0,,CNIA,,,,,,,0.4477
2003-03-01 00:00:00.000,2003,Q1,0.0,0.0,0.0,0.0,0.0,371.418,,0.0,,CNIA,,,,,,,0.4921
2003-04-01 00:00:00.000,2003,Q2,0.0,0.0,0.0,0.0,0.0,585.834,,0.0,,CNIA,,,,,,,0.499
2003-05-01 00:00:00.000,2003,Q2,0.0,0.0,0.0,0.0,0.0,527.132,,0.0,,CNIA,,,,,,,0.514
2003-06-01 00:00:00.000,2003,Q2,0.0,0.0,0.0,0.0,0.0,398.158,,0.0,,CNIA,,,,,,,0.490058
2003-07-01 00:00:00.000,2003,Q3,0.0,0.0,0.0,0.0,0.0,614.8920000000002,,0.0,,CNIA,,,,,,,0.554824
2003-08-01 00:00:00.000,2003,Q3,0.0,0.0,0.0,0.0,0.0,417.823,,0.0,,CNIA,,,,,,,0.558194
2003-09-01 00:00:00.000,2003,Q3,0.0,0.0,0.0,0.0,0.0,635.7240000000002,,0.0,,CNIA,,,,,,,0.528652
2003-10-01 00:00:00.000,2003,Q4,0.0,0.0,0.0,0.0,0.0,482.597,,0.0,,CNIA,,,,,,,0.541964
2003-11-01 00:00:00.000,2003,Q4,0.0,0.0,0.0,0.0,0.0,433.093,,0.0,,CNIA,,,,,,,0.5299
2003-12-01 00:00:00.000,2003,Q4,0.0,0.0,0.0,0.0,0.0,450.08,,0.0,,CNIA,,,,,,,0.543756
2004-01-01 00:00:00.000,2004,Q1,0.0,0.0,0.0,0.0,0.0,434.434,,0.0,,CNIA,,,,,,,0.5496
2004-02-01 00:00:00.000,2004,Q1,0.0,0.0,0.0,0.0,0.0,353.408,,0.0,,CNIA,,,,,,,0.535
2004-03-01 00:00:00.000,2004,Q1,0.0,0.0,0.0,0.0,0.0,412.085,,0.0,,CNIA,,,,,,,0.5847
2004-04-01 00:00:00.000,2004,Q2,0.0,0.0,0.0,0.0,0.0,635.673,,0.0,,CNIA,,,,,,,0.576
2004-05-01 00:00:00.000,2004,Q2,0.0,0.0,0.0,0.0,0.0,458.779,,0.0,,CNIA,,,,,,,0.6034
2004-06-01 00:00:00.000,2004,Q2,0.0,0.0,0.0,0.0,0.0,547.384,,0.0,,CNIA,,,,,,,0.5696
2004-07-01 00:00:00.000,2004,Q3,0.0,0.0,0.0,0.0,0.0,519.014,,0.0,,CNIA,0.088318,0.22486,0.118,0.07209899999999998,0.083744,0.0,0.0
2004-08-01 00:00:00.000,2004,Q3,0.0,0.0,0.0,0.0,0.0,526.967453,,0.0,,CNIA,0.088752,0.223697,0.118,0.072687,0.07798299999999998,0.0,0.0
2004-09-01 00:00:00.000,2004,Q3,0.0,0.0,0.0,0.0,0.0,534.318,,0.0,,CNIA,0.087303,0.223333,0.1025,0.070168,0.079601,0.0,0.0
