Factor,Value
AA extraction efficiency:,0.9
LT quartz attack,0.0
LT DSP Al2O3:SiO2,1.0
LT DSP NaOH:SiO2,0.9
HT-B quartz attack,0.5
HT-B DSP Al2O3:SiO2,1.0
HT-B DSP NaOH:SiO2,0.9
HT-D quartz attack,1.0
HT-D DSP Al2O3:SiO2,1.23
HT-D DSP NaOH:SiO2,0.6
