Key,Name,Country,2017.0,2018.0,2019.0,2020.0,Q1 2017,Q1 2018,Q1 2019,Q1 2020,Q2 2017,Q2 2018,Q2 2019,Q2 2020,Q3 2017,Q3 2018,Q3 2019,Q3 2020,Q4 2017,Q4 2018,Q4 2019,Q4 2020
M_036,Alufer (Bel Air),Guinea,,,,,0.0,0.0,935.0,1350.0,0.0,0.0,1200.0,0.0,0.0,500.0,1000.0,0.0,0.0,947.0,750.0,0.0
M_037,GDM,Guinea,,,,,0.0,585.3602305475499,464.2892254134031,0.0,0.0,553.42939481268,509.970875543951,0.0,0.0,507.20461095100893,346.31300957354205,0.0,0.0,515.086526606379,220.37543603133201,0.0
M_038,Henan-Chine,Guinea,,,,,0.0,1463.40057636888,1319.00348128808,0.0,0.0,1383.5734870317,1448.78089643168,0.0,0.0,1268.01152737752,983.843777197563,0.0,0.0,1287.71631651595,626.066579634465,0.0
M_039,AMR,Guinea,,,,,0.0,2341.4409221901997,1556.42410791993,0.0,0.0,2213.71757925072,1709.5614577893803,0.0,0.0,2028.81844380403,1160.93565709312,0.0,0.0,2060.34610642552,738.7585639686681,0.0
M_040,SMB Malapouya,Guinea,,,,,1007.8131694736801,1170.7204610950998,3957.01044386423,0.0,1520.6863214736802,1106.85878962536,4346.34268929504,0.0,1640.03399052632,1014.4092219020199,2951.5313315926896,0.0,1421.2089052631602,1030.17305321276,1878.19973890339,0.0
M_041,Ashapura Guinea,Guinea,,,,,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M_042,SMB Kaboye,Guinea,,,,,3065.04713378292,146.34005763688802,0.0,0.0,4624.84058771521,138.35734870317,0.0,0.0,4987.81087033662,126.801152737752,0.0,0.0,4322.30140816526,128.771631651595,0.0,0.0
M_043,SMB Dabiss S,Guinea,,,,,714.2522517434002,4249.0,4827.55274151436,0.0,1077.7331178111099,4206.0,5302.53808093995,0.0,1162.31659413707,3855.0,3600.86822454308,0.0,1007.23198657158,3914.9063655878094,2291.40368146214,0.0
M_044,Eurasian - 3rd Party Mines,Guinea,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M_045,Dynamic,Guinea,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M_046,AMC,Guinea,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M_047,Chalco Boffa,Guinea,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M_048,Axis,Guinea,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M_049,Guinea Other,Guinea,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M_050,Aroaima,Guyana,,,,,283.0,355.55555555555605,227.7,72.9,276.0,373.3333333333329,358.2,0.0,161.0,436.6666666666671,322.2,0.0,324.0,383.3333333333329,363.6,0.0
M_051,Kurubuka,Guyana,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M_052,Guyana Others,Guyana,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M_053,Bakony,Hungary,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M_054,Chhattisgarh,India,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M_055,Goa,India,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M_056,Gujarat & Maharashtra,India,,,,,0.0,0.0,461.0,0.0,0.0,0.0,393.0,0.0,0.0,0.0,386.0,0.0,0.0,0.0,276.0,0.0
M_057,Jharkhand,India,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M_058,Karnataka,India,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M_059,Madhya Pradesh,India,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M_060,Odisha,India,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M_061,Andhra Pradesh,India,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M_062,Tamil Nadu,India,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M_063,Bintan,Indonesia,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M_064,West Kalimantan,Indonesia,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M_065,Indonesia Other,Indonesia,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M_066,Jajarm,Iran,,,,,214.0,214.0,0.0,0.0,218.0,218.0,0.0,0.0,218.0,218.0,0.0,0.0,216.0,218.0,0.0,0.0
M_067,Discovery Bay,Jamaica,,,,,650.0,870.0,786.4760000000001,0.0,950.0,1000.0,763.5239999999999,0.0,975.0,913.0,769.0,0.0,950.0,958.0,633.0,0.0
M_068,Windalco,Jamaica,,,,,488.5,425.0,441.9,429.3,488.5,429.0,423.0,0.0,476.0,457.0,420.3,0.0,471.0,480.0,386.1,0.0
M_069,Jamalco,Jamaica,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M_070,Alpart,Jamaica,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M_071,Krasnogorsky,Kazakhstan,,,,,1250.0,1250.0,1483.33333333333,1483.33333333333,1250.0,1483.33333333333,1483.33333333333,0.0,1250.0,1483.33333333333,1483.33333333333,0.0,1250.0,1483.33333333333,1483.33333333333,0.0
