output_lebel
48
Anthracite/Gas
17.2
Maintenance - Portion Of Capex
Required Electrical Energy
Usage Rate
22.1
Cash Cost - Faw 1
Production Kt
Customization Multiplier 2
Calorific Value Conversion Factor
Utilization - Sub Module
Gas Calorific Value
Final Price - All Up Costs
Final Freight To Refinery 2
Dsp Aa:Sio2
Bauxite Use
List Price Custom Mul
Maintenance - Maintenance Cost
Grid Electricity Final Price
Count In Current Capacity Totals
38.1
Customization Multiplier 1
62
Custom Multiplier 1
68.2
03
19
Packaging
69
Show
Steam Raising Fuel - Final Price
Final Price
Cost To Be Apportioned To Naoh
Cost Rmb/T
41.1
Steam Energy
Final Caustic Use Rate
Customisation Multiplier 2
22.2
Lig. Coal Calorific Value2
Capacity - For Maintenance And Labour
Loading + Unloading Fee
107
22.3
32
Electricity For Prod
Transport Distance
Final Frieght To Refinery 1
Customised List Price
18
Anthracite List Price
53
% From Natural Gas / Coal Seam Gas / Coke Oven Gas
Total Freight
Final Sodium Carbonate Use Rate
110
Flocculent
Self-Supplied Electricity Final Price
Cost - Caustic
24.2
Labour
Domestic Purchased
Custom Multiplier 2
Natural Gas Customization Multiplier
Cost - Energy
Item
If Natural Gas/Coal Steam
Final Freight To Refinery
1.1
Other Costs
A/S Ratio(Reacting/Reacting)
Caustic Strenght
27
Mining Dressing (Faw)
13
Self-Supplied Electricity List Price
23.1
55.1
Mining-Dressing (Faw)
31
21.2
Silica Grade (Reacting)
Electricity Final Price
Natural Gas Final Price
58
Customed Limestone Rate
Electrical Energy - Final
47.1
Source
Cost - Opex
Production - Sub Module
Bauxite Cost
Alumina Produced
Customisation Multiplier 1
Required Steam Raising Energy
45.2
154
Alumina Calcining Energy - Final Price
Labor General List Price
47.2
Total Lime Cost
158
Domestic Self Supply
45.1
Lime List Price
30
"Soe=1, Private=2"
C&M Formulae Capital Rmb/T
37
159
No.
28.2
52
Digestion Technology Code
Total Caustic Cosr
Lime
46
% From Lignitous Coal
Grid Electricity List Price
Natural Gas Final Price 2
Alumina Grade(Reacting)
55.2
Bauxite Now
Import Purchased
Handling Losses
Customisation Multiplier 3
11
44.3
Final Limestone Rate
Groups
Final Lime Rate
16
Total Freight - Before Cus
21.1
Operaing Cash Costs
43
33
Capacity -Sub Module
Energy - Lignitous Coal - Customization Multiplier 2
Base Capacity Splits
56.2
Production Mt
63
14
Lime Rate
% From Anthracite Coal
57.2
160
Dsp Na:Si
Total Delivered 2
Lignitous Coal List Price Faw
04
Flocculent List Price
157
A/S Ratio (Reacting/Reacting)
Lignitious Coal
20
Caustic Strength
Total Energy Cost
Limestone 2 Rate
Cash Cost - Faw
54.2
Final Price - Purchased Caustic
Tonnes Pure Naoh
38.2
105
Final Freight To Refinery 1
Hours Worked Per Year
Final Before Cusmising
15
56.1
40.2
"Soe=1,Private=2"
156
10
155
24.1
02
Capacity -Kt
Alumina Grade (Reacting)
Cost $/T
40.1
Refinery Digestion Technology
68.1
34
Final Price2
Final Frieght To Refinery 2
Final Freight
65.2
Freight Rate(Trucking)
Red Mud Disposal
Ref. No.
Final Multiplier To All Up Costs
A'Cite Calorific Value
70
153
Extrcation Efficiency
49
Total Manufacturing Cost
44.2
Total Transport Fee
Red Mud Quantity
Mine / Product
Electricity Customisation Multiplier
51.1
Gas Price Delivered
104
Chlorine Price
Energy - Lignitous Coal - Customization Multiplier 1
26
Total Freight - Before Customisation
50.2
59
Final Workforce Productivity
8
Bauxite Previous
Limestone
Red Mud Make - Scaling Factor
101
Labor Multiplier To All Up Costs For Soe
Caustic Use
Consumables
60
Caustic Soda List Price
Electricity Cost 1 Ecu
57.1
Total Delivered
109
Total Delivered 1
List Price Customisation Multiplier
66
Other Cost Allowance
Final Price - Self-Supplied Caustic
103
Total Electricity Naoh
65.1
Customised Price
12
67
Customised Usage Rate
Final Bauxite
C&M Formulae Capital Us$/T
Workforce Productivity
Operating Cash Cost
Final Price Faw
Customisation Multiplier
41.2
Delivered Price
50.1
Price - Domestic Bx Faw
Alumina Qaulity
Freight Rate (Trucking)
106
Sodium Carbonate Cost
Red Mud Disposal Cost 2
Red Mud Disposal Cost 1
Limestone 1 Rate
17.1
Cost Per Tonne Pure Naoh
Customise Multiplier
A'Cite Calorific Value 2
Labor Multiplier To All Up Costs For Private Co.
Calcining Energy
Limestone List Price
[Loading + Unloading] Total Fee
Total Consumable Cost
05
If Anthracite
36
108
54.1
29
Base Production Splits
Lig. Coal Calorific Value
61
Cash Cost - Faw 2
A/S Ratio (Reacting / Reacting)
35
25
51.2
64
Purchase - Cfr
Regional
23.2
Prov - Category
42
152
39
Customise
Allowance For Other Consumables
9
44.1
102
28.1
151
Cost - Bx
Caustic Wash Loss
Production -Kt
71
Custom Multiplier
Caustic
Provincial
Silica Grade(Reacting)
