Province,County,minable_shallow_inventory,refractory_allocation,remaining_inventory_available_to_mining_for_SGA000t,remaining_inventory_available_to_mining_for_SGA_AA,remaining_inventory_available_to_mining_for_SGA_SiO2,remaining_inventory_available_to_mining_for_SGA_AS,extractable_to_SGA,working_stock_prior_to_AA_and_AS_de_rating000t,working_stock_prior_to_AA_and_AS_de_rating_AA,working_stock_prior_to_AA_and_AS_de_rating_AS,de_rated_Al2O3,de_rated_AS,de_rated_SiO2,province_county_000twstockprior,refractory_depletion_end_2009,refractory_depletion_end_2009_000t,SGA_depletion_end_2009,SGA_depletion_end_2009_000t,endowment_end_2009_prov_totals,geol_endowment_end_2009,endowment_end_2009_all,max_extr_inventory_end_2009_1,AA_end_2009_1,SiO2_end_2009_1,AS_end_2009_1,max_extr_inventory_end_2009_2,AA_end_2009_2,SiO2_end_2009_2,AS_end_2009_2,max_extr_inventory_end_2009_3,AA_end_2009_3,SiO2_end_2009_3,AS_end_2009_3,unallocated,check_sum,deposit,deep bauxite,Include Inventory in Allocations Further Processed?,correction_factor
Henan,Sanmenxia,14398.0,0.0,14398.0,0.6468,0.11347368421052632,5.7,0.7,10078.599999999991,0.6468,5.7,0.61446,4.5600000000000005,0.13474999999999998,Henan-Sanmenxia-10078.599999999991,0,0.0,0.0,0.0,14398.0,,something,10078.599999999991,0.61446,0.13474999999999998,4.5600000000000005,0.0,0.7,0.07777777777777778,9,10078.599999999991,0.61446,0.13474999999999998,4.5600000000000005,0,1.0,,0.0,Yes,1.0
Henan,Shaan,81672.6,0.0,81672.6,0.648222396,0.08859892875882516,7.316368325,0.7,57170.82000000006,0.648222396,7.316368325,0.6256757262662748,5.848516369356948,0.10698024708359817,Henan-Shaan-57170.82000000006,0,0.0,0.0,0.0,81672.6,,something,57170.82000000006,0.6256757262662748,0.10698024708359817,5.848516369356948,0.0,0.7,0.07777777777777778,9,57170.82000000006,0.6256757262662748,0.10698024708359817,5.848516369356948,0,1.01,,0.0,Yes,1.0
Guangxi,Shanglin,136740.0,0.0,136740.0,0.447965116,0.1284883720264861,3.486425339,0.7,7086.2656252165025,0.447965116,3.486425339,0.41324999975621957,2.623999999848582,0.15748856698935448,Guangxi-Shanglin-7086.2656252165025,0,0.0,0.0,0.0,423780.0,,something,7086.2656252165025,0.41324999975621957,0.15748856698935448,2.623999999848582,0.0,0.7,0.07777777777777778,9,7086.2656252165025,0.41324999975621957,0.15748856698935448,2.623999999848582,7086.2656252165025,0.0,,0.0,Yes,1.0
Shanxi,Shenchi,3727.4,0.0,3727.4,0.620212942,0.09116808320189383,6.802961302,0.7,2609.179999999999,0.620212942,6.802961302,0.5877517414914633,5.37433942858,0.10936260154427167,Shanxi-Shenchi-2609.179999999999,0,0.0,0.0,0.0,6378.2,,something,2609.179999999999,0.5877517414914633,0.10936260154427169,5.374339428579999,0.0,0.7,0.07777777777777778,9,2609.179999999999,0.5877517414914633,0.10936260154427169,5.374339428579999,0,1.0,,0.0,Yes,1.0
Shanxi,Shuozhou,4586.0,0.0,4586.0,0.6083,0.09387345679012345,6.48,0.7,3210.2000000000025,0.6083,6.48,0.577885,5.1192,0.1128858024691358,Shanxi-Shuozhou-3210.2000000000025,0,0.0,0.0,0.0,7323.8,,something,3210.2000000000025,0.577885,0.1128858024691358,5.1192,0.0,0.7,0.07777777777777778,9,3210.2000000000025,0.577885,0.1128858024691358,5.1192,0,1.0,,0.0,Yes,1.0
Yunnan,Songming,1141.0,0.0,1141.0,0.5787,0.11690909090909091,4.95,0.7,457.7073958359483,0.5787,4.95,0.549765,3.9600000000000004,0.13882954545454543,Yunnan-Songming-457.7073958359483,0,0.0,0.0,0.0,1141.0,,something,457.7073958359483,0.549765,0.13882954545454543,3.9600000000000004,0.0,0.7,0.07777777777777778,9,457.7073958359483,0.549765,0.13882954545454543,3.9600000000000004,457.7073958359483,0.0,,0.0,Yes,1.0
Shandong,Tai'an,3615.0,0.0,3615.0,0.55,0.1375,4.0,1.0,2573.858482174316,0.55,4.0,0.5225,3.4,0.15367647058823528,Shandong-Tai'an-2573.858482174316,0,0.0,0.0,0.0,,,something,2573.858482174316,0.5225,0.15367647058823528,3.4000000000000004,0.0,0.7,0.07777777777777778,9,2573.858482174316,0.5225,0.15367647058823528,3.4000000000000004,0,0.0,,0.0,Yes,1.0
Hebei,Tangshan,23869.0,0.0,23869.0,0.611195831,0.1222391662,5.0,0.7,16708.300000000017,0.611195831,5.0,0.5583660680906857,4.0,0.13959151702267142,Hebei-Tangshan-16708.300000000017,0,0.0,0.0,0.0,23869.0,,something,16708.300000000017,0.5583660680906857,0.13959151702267142,4.0,0.0,0.7,0.07777777777777778,9,16708.300000000017,0.5583660680906857,0.13959151702267142,4.0,16708.300000000017,0.0,,0.0,Yes,1.0
Guangxi,Tian'e,580.0,0.0,580.0,0.4948000000000001,0.10056910569105693,4.92,0.7,226.53229166803814,0.4948000000000001,4.92,0.47006000000000003,3.936,0.11942581300813009,Guangxi-Tian'e-226.53229166803814,0,0.0,0.0,0.0,46230.0,,something,226.53229166803814,0.47006000000000003,0.11942581300813009,3.936,0.0,0.7,0.07777777777777778,9,226.53229166803814,0.47006000000000003,0.11942581300813009,3.936,226.53229166803814,0.0,,0.0,Yes,1.0
Guangxi,Tiandong,16327.85,0.0,16327.85,0.513836569,0.09471314250097432,5.425187629,0.7,11429.495000000008,0.513836569,5.425187629,0.5016000002024262,6.0199999978886245,0.0833222591990616,Guangxi-Tiandong-11429.495000000008,0,0.0,0.0,0.0,214257.46,,something,11429.495000000008,0.5016000002024262,0.0833222591990616,6.0199999978886245,0.0,0.7,0.07777777777777778,9,11429.495000000008,0.5016000002024262,0.0833222591990616,6.0199999978886245,0,1.0,,0.0,Yes,1.0
Guangxi,Tianlin,1080.0,0.0,1080.0,0.4947814810000001,0.06550264544201366,7.553610662,0.7,360.81562500143957,0.4947814810000001,7.553610662,0.4493499997247474,4.000000000468797,0.11233749991802099,Guangxi-Tianlin-360.81562500143957,0,0.0,0.0,0.0,30450.0,,something,360.81562500143957,0.4493499997247474,0.11233749991802099,4.000000000468797,0.0,0.7,0.07777777777777778,9,360.81562500143957,0.4493499997247474,0.11233749991802099,4.000000000468797,360.81562500143957,0.0,,0.0,Yes,1.0
Sichuan,Tianquan,4540.0,0.0,4540.0,0.59,0.17002881844380402,3.47,0.7,873.95,0.59,3.47,0.5605,2.9495,0.19003220884895744,Sichuan-Tianquan-873.95,0,0.0,0.0,0.0,4540.0,,something,873.95,0.5605,0.19003220884895744,2.9495,0.0,0.7,0.07777777777777778,9,873.95,0.5605,0.19003220884895744,2.9495,873.95,0.0,,0.0,Yes,1.0
Guangxi,Tianyang,121130.0,0.0,121130.0,0.539432263,0.09488029365479488,5.685398328999999,0.7,84791.00000000038,0.539432263,5.685398328999999,0.4940637872207765,6.439263118397192,0.07672675865802402,Guangxi-Tianyang-84791.00000000038,0,0.0,0.0,0.0,707740.0,,something,84791.00000000038,0.4940637872207765,0.07672675865802402,6.439263118397192,0.0,0.7,0.07777777777777778,9,84791.00000000038,0.4940637872207765,0.07672675865802402,6.439263118397192,0,1.0,,0.0,Yes,1.0
Shaanxi,Tongchuan,943.0,0.0,943.0,0.55,0.11000000000000001,5.0,0.7,441.8347916640339,0.55,5.0,0.5225,4.25,0.12294117647058822,Shaanxi-Tongchuan-441.8347916640339,0,0.0,0.0,0.0,943.0,,something,441.8347916640339,0.5225,0.12294117647058822,4.25,0.0,0.7,0.07777777777777778,9,441.8347916640339,0.5225,0.12294117647058822,4.25,441.8347916640339,0.0,,0.0,Yes,1.0
Guizhou,Tongzi,0.0,0.0,0.0,,,,0.6,0.0,,,,,0,Guizhou-Tongzi-0.0,0,0.0,0.0,0.0,,,something,0.0,0,0,0,0.0,0.7,0.07777777777777778,9,0.0,,0,0,0,1.0,,0.0,Yes,1.0
Vietnam,Vietnam,,,,,,,0.7,0.0,,,0.5,,0.05,Vietnam-Vietnam-0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0
Hainan,Wenchang,,,,,,,,0.0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0.0,NO,
Guizhou,Weng'an,5803.8,0.0,5803.8,0.6041,0.08629999999999999,7.000000000000001,0.6,3482.2800000000075,0.6041,7.000000000000001,0.5738949999999999,5.600000000000001,0.10248124999999997,Guizhou-Weng'an-3482.2800000000075,0,0.0,0.0,0.0,14337.3,,something,3482.2800000000075,0.5738949999999999,0.10248124999999997,5.600000000000001,0.0,0.7,0.07777777777777778,9,3482.2800000000075,0.5738949999999999,0.10248124999999997,5.600000000000001,0,1.0,,0.0,Yes,1.0
Yunnan,Wenshan,78143.3,0.0,78143.3,0.519891091,0.07714545723118876,6.739101817,0.7,43857.92712441392,0.519891091,6.739101817,0.49495000008595075,5.404771720226253,0.0915764856883227,Yunnan-Wenshan-43857.92712441392,0,0.0,0.0,0.0,82951.3,,something,43857.92712441392,0.49495000008595075,0.0915764856883227,5.404771720226253,0.0,0.7,0.07777777777777778,9,43857.92712441392,0.49495000008595075,0.0915764856883227,5.404771720226253,0,1.0,,0.0,Yes,1.0
