bauxite,owner,ownership,technology,category,province,refinery,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,Alumina Grade
Domestic,Chalco,Chalco,H-B,Guangxi,Guangxi,Chalco Pingguo,1894.8278645128323,2048.766746792142,1976.4581209266312,2758.001415991467,4434.102982239323,3790.5219094739427,4476.431800259179,5616.567737691339,5638.92196222152,5658.323667796851,5675.630851627199,5691.368852865318,5705.88457300249,5490.643286808352,5731.656565630595,5743.741455335121,5755.2539661485125,5766.276004427437,5776.873578588391,5787.100772797956,5797.002544764829,5806.616744235128,5815.975600513209,5825.106839356667,5133.95039134321,5140.731230254133,5147.39896671371,0.06327922749922107
Domestic,Chalco,Chalco,H-B,Guizhou,Guangxi,Chalco Pingguo,1894.8278645128323,2048.766746792142,1976.4581209266312,2758.001415991467,4434.102982239323,3790.5219094739427,4476.431800259179,5616.567737691339,5638.92196222152,5658.323667796851,5675.630851627199,5691.368852865318,5705.88457300249,5490.643286808352,5731.656565630595,5743.741455335121,5755.2539661485125,5766.276004427437,5776.873578588391,5787.100772797956,5797.002544764829,5806.616744235128,5815.975600513209,5825.106839356667,5133.95039134321,5140.731230254133,5147.39896671371,0.06327922749922107
Domestic,Chalco,Chalco,H-B,Henan,Guangxi,Chalco Pingguo,1894.8278645128323,2048.766746792142,1976.4581209266312,2758.001415991467,4434.102982239323,3790.5219094739427,4476.431800259179,5616.567737691339,5638.92196222152,5658.323667796851,5675.630851627199,5691.368852865318,5705.88457300249,5490.643286808352,5731.656565630595,5743.741455335121,5755.2539661485125,5766.276004427437,5776.873578588391,5787.100772797956,5797.002544764829,5806.616744235128,5815.975600513209,5825.106839356667,5133.95039134321,5140.731230254133,5147.39896671371,0.06327922749922107
Domestic,Chalco,Chalco,H-B,Other,Guangxi,Chalco Pingguo,1894.8278645128323,2048.766746792142,1976.4581209266312,2758.001415991467,4434.102982239323,3790.5219094739427,4476.431800259179,5616.567737691339,5638.92196222152,5658.323667796851,5675.630851627199,5691.368852865318,5705.88457300249,5490.643286808352,5731.656565630595,5743.741455335121,5755.2539661485125,5766.276004427437,5776.873578588391,5787.100772797956,5797.002544764829,5806.616744235128,5815.975600513209,5825.106839356667,5133.95039134321,5140.731230254133,5147.39896671371,0.06327922749922107
Domestic,Chalco,Chalco,H-B,Shanxi,Guangxi,Chalco Pingguo,1894.8278645128323,2048.766746792142,1976.4581209266312,2758.001415991467,4434.102982239323,3790.5219094739427,4476.431800259179,5616.567737691339,5638.92196222152,5658.323667796851,5675.630851627199,5691.368852865318,5705.88457300249,5490.643286808352,5731.656565630595,5743.741455335121,5755.2539661485125,5766.276004427437,5776.873578588391,5787.100772797956,5797.002544764829,5806.616744235128,5815.975600513209,5825.106839356667,5133.95039134321,5140.731230254133,5147.39896671371,0.06327922749922107
Domestic,Chalco,Chalco,H-B,Guangxi,Guizhou,Chalco Zunyi,0.0,0.0,0.0,0.0,0.0,547.6280475600632,1456.005536626119,1793.2601655581464,1823.8904883081182,1846.4896568198635,2331.4930051521437,2618.5671186771256,2646.0812152423628,2671.124014551537,2694.4817746618746,2716.6530620513895,2737.981479671244,2758.720280887914,2779.0673611911584,2799.1859220477904,2255.374142971034,2268.22333811355,1710.859014635638,0.0,0.0,0.0,0.0,0.11386653909567998
Domestic,Chalco,Chalco,H-B,Guizhou,Guizhou,Chalco Zunyi,0.0,0.0,0.0,0.0,0.0,547.6280475600632,1456.005536626119,1793.2601655581464,1823.8904883081182,1846.4896568198635,2331.4930051521437,2618.5671186771256,2646.0812152423628,2671.124014551537,2694.4817746618746,2716.6530620513895,2737.981479671244,2758.720280887914,2779.0673611911584,2799.1859220477904,2255.374142971034,2268.22333811355,1710.859014635638,0.0,0.0,0.0,0.0,0.11386653909567998
Domestic,Chalco,Chalco,H-B,Henan,Guizhou,Chalco Zunyi,0.0,0.0,0.0,0.0,0.0,547.6280475600632,1456.005536626119,1793.2601655581464,1823.8904883081182,1846.4896568198635,2331.4930051521437,2618.5671186771256,2646.0812152423628,2671.124014551537,2694.4817746618746,2716.6530620513895,2737.981479671244,2758.720280887914,2779.0673611911584,2799.1859220477904,2255.374142971034,2268.22333811355,1710.859014635638,0.0,0.0,0.0,0.0,0.11386653909567998
Domestic,Chalco,Chalco,H-B,Other,Guizhou,Chalco Zunyi,0.0,0.0,0.0,0.0,0.0,547.6280475600632,1456.005536626119,1793.2601655581464,1823.8904883081182,1846.4896568198635,2331.4930051521437,2618.5671186771256,2646.0812152423628,2671.124014551537,2694.4817746618746,2716.6530620513895,2737.981479671244,2758.720280887914,2779.0673611911584,2799.1859220477904,2255.374142971034,2268.22333811355,1710.859014635638,0.0,0.0,0.0,0.0,0.11386653909567998
Domestic,Chalco,Chalco,H-B,Shanxi,Guizhou,Chalco Zunyi,0.0,0.0,0.0,0.0,0.0,547.6280475600632,1456.005536626119,1793.2601655581464,1823.8904883081182,1846.4896568198635,2331.4930051521437,2618.5671186771256,2646.0812152423628,2671.124014551537,2694.4817746618746,2716.6530620513895,2737.981479671244,2758.720280887914,2779.0673611911584,2799.1859220477904,2255.374142971034,2268.22333811355,1710.859014635638,0.0,0.0,0.0,0.0,0.11386653909567998
