bauxite,owner,ownership,technology,category,province,refinery,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Domestic,Other,Bosai,H-B,Other,Chongqing,Bosai Xianfeng domestic,0.08,0.15,0.175,0.15,0.2,0.114,0.1,0.255,0.255,0.26,0.27,0.27,0.5,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.0,0.0,0.0
Domestic,Other,Bosai,H-B,Other,Chongqing,Shuijiang,0.0,0.0,0.0,0.0,0.0,0.04,0.16,0.4,0.6,0.72,0.0,0.0,0.0,0.0,0.244,0.3,0.6,0.6,0.6,0.7,0.7,0.6,0.6,0.5,0.5,0.5,0.5
Domestic,Other,Guangdong Guang Al Group Co.Ltd,H-B,Guizhou,Guizhou,Qingzhen Guanglv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.45,0.45,0.45,0.45,0.5,0.55,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Domestic,Other,Private,H-B,Guizhou,Guizhou,Kaisheng,0.0,0.052227,0.172,0.19,0.1914,0.0735,0.057576159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Domestic,Other,Private,H-B,Henan,Henan,Jingxin,0.0,0.035,0.1,0.09,0.075,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Domestic,Other,Private,H-B,Henan,Henan,Shaoxing,0.0,0.03,0.14,0.2,0.076917431,0.079683944,0.076638037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Domestic,Other,Private,H-B,Henan,Henan,Weilai,0.0,0.06,0.085,0.1,0.076917431,0.103589128,0.12,0.12,0.09,0.12,0.12,0.12,0.12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Domestic,Other,Private,H-B,Henan,Henan,Yifeng Gongyi (Yulian Xinya),0.0,0.0,0.05,0.07,0.115376147,0.119525917,0.114957055,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Domestic,Other,Private,H-B,Henan,Henan,Zhongchao,0.0,0.04204,0.045,0.05,0.023075229,0.023905183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Domestic,Other,Private,H-B,Other,Hubei,Jialu Xianfeng,0.0,0.0,0.0,0.05,0.03,0.036,0.096,0.06,0.0,0.108,0.108,0.108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
