Handysize,Supramax loading rates,Panamax loading rates,NeoPanamax loading rate,Suezmax loading rate,Capesize loading rates,VLOC loading rates
15000,15000,15000,15000,15000,15000,15000
15000,15000,15000,15000,15000,15000,15000
15000,15000,15000,15000,15000,15000,15000
15000,15000,15000,15000,15000,15000,15000
15000,15000,15000,15000,15000,15000,15000
15000,15000,15000,15000,15000,15000,15000
15000,15000,15000,15000,15000,15000,15000
15000,15000,15000,15000,15000,15000,15000
