,Province,County,minable_shallow_inventory,refractory_allocation,remaining_inventory_available_to_mining_for_SGA000t,remaining_inventory_available_to_mining_for_SGA_AA,remaining_inventory_available_to_mining_for_SGA_SiO2,remaining_inventory_available_to_mining_for_SGA_AS,extractable_to_SGA,working_stock_prior_to_AA_and_AS_de_rating000t,working_stock_prior_to_AA_and_AS_de_rating_AA,working_stock_prior_to_AA_and_AS_de_rating_AS,de_rated_Al2O3,de_rated_AS,de_rated_SiO2,province_county_000twstockprior,refractory_depletion_end_2009,refractory_depletion_end_2009_000t,SGA_depletion_end_2009,SGA_depletion_end_2009_000t,endowment_end_2009_prov_totals,geol_endowment_end_2009,endowment_end_2009_all,max_extr_inventory_end_2009_1,AA_end_2009_1,SiO2_end_2009_1,AS_end_2009_1,max_extr_inventory_end_2009_2,AA_end_2009_2,SiO2_end_2009_2,AS_end_2009_2,max_extr_inventory_end_2009_3,AA_end_2009_3,SiO2_end_2009_3,AS_end_2009_3,unallocated,check_sum,deposit,deep bauxite,Include Inventory in Allocations Further Processed?,correction_factor
0,Yunnan,Annin,5539.0,0.0,5539.0,0.594489908,0.1010579887404962,5.882661187,0.7,3877.3000000000043,0.594489908,5.882661187,0.5647654126,4.7061289496,0.12000636162933924,Yunnan-Annin-3877.3000000000043,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
1,Shanxi,Baode,130827.0,0.0,130827.0,0.591764273,0.07043685336378565,8.401344534,0.7,91578.8999999999,0.591764273,8.401344534,0.5628119662789445,6.80508907254,0.08270457010621829,Shanxi-Baode-91578.8999999999,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
2,Henan,Baofeng,23864.86,0.0,23864.86,0.614699404,0.12409355565443014,4.953515924,0.7,16705.40200000001,0.614699404,4.953515924,0.582991643102298,4.065868047309992,0.14338675931404352,Henan-Baofeng-16705.40200000001,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
3,Guangxi,Binyang,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,NO,
4,Guinea,CBG,,,,,,,0.7,99000000.0,,,0.483,,0.015,Guinea-CBG-99000000.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0
5,Shaanxi,Chencheng,341.0,0.0,341.0,0.4956,0.09912,5.0,0.7,238.69999999999962,0.4956,5.0,0.47081999999999996,4.25,0.11078117647058823,Shaanxi-Chencheng-238.69999999999962,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
6,Yunnan,Chengong,969.0,0.0,969.0,0.5389,0.09657706093189965,5.58,0.7,583.8224999987888,0.5389,5.58,0.511955,4.464,0.11468525985663082,Yunnan-Chengong-583.8224999987888,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
7,Hunan,Chenxi,4815.0,0.0,4815.0,0.6219,0.12437999999999998,5.000000000000001,0.7,3370.500000000007,0.6219,5.000000000000001,0.590805,4.250000000000001,0.13901294117647056,Hunan-Chenxi-3370.500000000007,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
8,Fly Ash,China,,,,,,,0.7,99000000.0,,,0.42,,0.012,Fly Ash-China-99000000.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0
9,Guangxi,Chongzuo,87771.0,0.0,87771.0,0.477,0.11925,4.0,0.7,61439.700000000106,0.477,4.0,0.45314999999999994,3.9,0.11619230769230768,Guangxi-Chongzuo-61439.700000000106,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
10,Guizhou,Daozhen,182982.15,0.0,182982.15,0.582525314,0.15114688404759255,3.854034555,0.6,109789.2899999998,0.582525314,3.854034555,0.6096599996321489,6.087999997665442,0.10014126147600765,Guizhou-Daozhen-109789.2899999998,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
11,Guangxi,Debao,185222.0,0.0,185222.0,0.513519647,0.07090048457627525,7.242822810999999,0.7,129655.40000000002,0.513519647,7.242822810999999,0.48784366464999995,6.156399389349999,0.07924171805583705,Guangxi-Debao-129655.40000000002,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
