,Province,County,minable_shallow_inventory,refractory_allocation,remaining_inventory_available_to_mining_for_SGA000t,remaining_inventory_available_to_mining_for_SGA_AA,remaining_inventory_available_to_mining_for_SGA_SiO2,remaining_inventory_available_to_mining_for_SGA_AS,extractable_to_SGA,working_stock_prior_to_AA_and_AS_de_rating000t,working_stock_prior_to_AA_and_AS_de_rating_AA,working_stock_prior_to_AA_and_AS_de_rating_AS,de_rated_Al2O3,de_rated_AS,de_rated_SiO2,province_county_000twstockprior,refractory_depletion_end_2009,refractory_depletion_end_2009_000t,SGA_depletion_end_2009,SGA_depletion_end_2009_000t,endowment_end_2009_prov_totals,geol_endowment_end_2009,endowment_end_2009_all,max_extr_inventory_end_2009_1,AA_end_2009_1,SiO2_end_2009_1,AS_end_2009_1,max_extr_inventory_end_2009_2,AA_end_2009_2,SiO2_end_2009_2,AS_end_2009_2,max_extr_inventory_end_2009_3,AA_end_2009_3,SiO2_end_2009_3,AS_end_2009_3,unallocated,check_sum,deposit,deep bauxite,Include Inventory in Allocations Further Processed?,correction_factor
12,Henan,Dengfeng,76438.2,15287.64,61150.56,0.6363546400000001,0.12120047803172544,5.250430116566272,0.7,42805.391999999985,0.6363546400000001,5.250430116566272,0.6127500007068756,4.7681465342729386,0.1285090540532873,Henan-Dengfeng-42805.391999999985,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.25
13,Guangxi,Donglan,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,NO,
14,Shanxi,Fangshan,0.0,0.0,0.0,,,,0.7,0.0,,,,,0,Shanxi-Fangshan-0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
15,Chongqing,Fengdu,1346.0,0.0,1346.0,0.5653,0.18843333333333334,3.0,0.7,942.1999999999972,0.5653,3.0,0.537035,2.4000000000000004,0.22376458333333332,Chongqing-Fengdu-942.1999999999972,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
16,Hebei,Fengfeng,0.0,0.0,0.0,,,,0.7,0.0,,,,,0,Hebei-Fengfeng-0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
17,Shanxi,Fenxi,5509.8,0.0,5509.8,0.629698791,0.14654129172254782,4.297074112,0.7,3856.8600000000047,0.629698791,4.297074112,0.5982138514500001,3.39468854848,0.1762205406790132,Shanxi-Fenxi-3856.8600000000047,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
18,Shanxi,Fenyang,8674.2,0.0,8674.2,0.6458,0.10530000000492422,6.132953466,0.7,6071.9399999999905,0.6458,6.132953466,0.61351,4.84503323814,0.12662658228440254,Shanxi-Fenyang-6071.9399999999905,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
19,Fiji,Fiji,,,,,,,0.7,99000000.0,,,0.39,,0.03,Fiji-Fiji-99000000.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0
20,Shaanxi,Fugu,33646.0,0.0,33646.0,0.49559999999999993,0.09911999999999999,5.0,0.7,23552.2,0.49559999999999993,5.0,0.4708199999999999,4.25,0.11078117647058822,Shaanxi-Fugu-23552.2,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
21,Yunnan,Fumin,3344.0,0.0,3344.0,0.564147907,0.10595113025528961,5.324604897,0.7,1845.469999958202,0.564147907,5.324604897,0.5359405116499999,4.2596839176,0.1258169671781564,Yunnan-Fumin-1845.469999958202,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
22,Guizhou,Fuquan,7220.0,0.0,7220.0,0.6658000000000001,0.11096666666666667,6.0,0.6,3956.8178571737926,0.6658000000000001,6.0,0.5992200000000001,4.5,0.13316000000000003,Guizhou-Fuquan-3956.8178571737926,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
23,Ghana,Ghana,,,,,,,0.7,99000000.0,,,0.51,,0.02,Ghana-Ghana-99000000.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0
24,Henan,Gongyi,180433.0,27064.95,153368.05,0.6469791976470588,0.1399032711954045,4.624475125698924,0.7,94369.27826504977,0.6469791976470588,4.624475125698924,0.6073291687433257,3.700381387988644,0.16412610081617604,Henan-Gongyi-94369.27826504977,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.1764705882352942
25,Australia,Gove,,,,,,,0.7,99000000.0,,,0.46,,0.047,Australia-Gove-99000000.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0
26,Shanxi,Gu,7350.0,0.0,7350.0,0.6,0.125,4.8,0.7,5145.000000000014,0.6,4.8,0.57,3.552,0.16047297297297294,Shanxi-Gu-5145.000000000014,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
27,Yunnan,Guangnan,8023.0,0.0,8023.0,0.5325,0.07304526748971193,7.289999999999999,0.7,5616.099999999995,0.5325,7.289999999999999,0.505875,5.832,0.08674125514403291,Yunnan-Guangnan-5616.099999999995,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
28,Sichuan,Guangyuan,0.0,0.0,0.0,,,,0.7,0.0,,,,,0,Sichuan-Guangyuan-0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
29,Yunnan,Gudu,3654.0,0.0,3654.0,0.58,0.14871794871794872,3.9,0.7,831.2850000000003,0.58,3.9,0.5509999999999999,3.12,0.17660256410256409,Yunnan-Gudu-831.2850000000003,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
30,Guangxi,Guigang,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,NO,
31,Guizhou,Guiyang,9512.0,951.2,8560.8,0.6594862166666666,0.10070489968002368,6.548700398511847,0.6,5136.479999999986,0.6594862166666666,6.548700398511847,0.5935375119047367,5.238968026629847,0.11329282959692939,Guizhou-Guiyang-5136.479999999986,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.1111111111111112
32,India,Gujarat,,,,,,,0.7,99000000.0,,,0.43,,0.04,India-Gujarat-99000000.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0
33,Shanxi,Gujiao,0.0,0.0,0.0,,,,0.7,0.0,,,,,0,Shanxi-Gujiao-0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
34,Guyana,Guyana,,,,,,,0.7,99000000.0,,,0.5,,0.03,Guyana-Guyana-99000000.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0
35,Shaanxi,Hancheng,,,,,,,0.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,NO,
36,Guangxi,Heng,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,NO,
37,Yunnan,Heqing,239.0,0.0,239.0,0.5142,0.0985057471264368,5.219999999999999,0.7,118.62864583356249,0.5142,5.219999999999999,0.48849,4.175999999999999,0.11697557471264369,Yunnan-Heqing-118.62864583356249,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
38,Shanxi,Hequ,0.0,0.0,0.0,,,,0.7,0.0,,,,,0,Shanxi-Hequ-0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
39,Shanxi,Heshun,3888.6,388.86,3499.74,0.5888888888888888,0.13024691358024693,4.521327014218008,0.7,2449.8180000000075,0.5888888888888888,4.521327014218008,0.5594444444444443,3.5718483412322266,0.15662603531801844,Shanxi-Heshun-2449.8180000000075,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.1111111111111112
40,Yunnan,Hongta,147.0,0.0,147.0,0.6049,0.13442222222222222,4.5,0.7,102.89999999999986,0.6049,4.5,0.5746549999999999,3.6,0.15962638888888886,Yunnan-Hongta-102.89999999999986,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
41,Shanxi,Huairen,5886.0,588.6,5297.4,0.543888888888889,0.15582010582010586,3.490492359932088,0.7,735.0142499841078,0.543888888888889,3.490492359932088,0.5166944444444445,2.7574889643463494,0.18737860826468425,Shanxi-Huairen-735.0142499841078,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.1111111111111112
42,Guizhou,Huangping,14915.2,0.0,14915.2,0.656217237,0.07769801823670862,8.445739697,0.6,8949.120000000017,0.656217237,8.445739697,0.6129899994278075,5.099999999514052,0.12019411754631677,Guizhou-Huangping-8949.120000000017,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
43,Henan,Hubin,2791.2,0.0,2791.2,0.697,0.05881856540084388,11.85,0.7,1953.8400000000024,0.697,11.85,0.5700000001069999,4.0000000045499995,0.14249999986465625,Henan-Hubin-1953.8400000000024,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
44,Shanxi,Huozhou,20810.0,0.0,20810.0,0.575,0.18253968253968253,3.15,0.7,3910.5458334006203,0.575,3.15,0.5462499999999999,2.4885,0.21950974482620048,Shanxi-Huozhou-3910.5458334006203,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
45,Shanxi,Jiaokou,144749.74,0.0,144749.74,0.648700225,0.11314300275061794,5.733454206,0.7,101324.81799999904,0.648700225,5.733454206,0.6141154406653567,4.35742519656,0.14093539486350207,Shanxi-Jiaokou-101324.81799999904,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
46,Henan,Jiaxian,4900.0,0.0,4900.0,0.6,0.15,4.0,0.7,2592.406250030624,0.6,4.0,0.57,3.8,0.15,Henan-Jiaxian-2592.406250030624,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
47,Shanxi,Jiexiu,4323.0,0.0,4323.0,0.6524,0.09253900709219857,7.050000000000001,0.7,3026.099999999993,0.6524,7.050000000000001,0.6184561381768,4.3005,0.14381028675195906,Shanxi-Jiexiu-3026.099999999993,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
48,Shanxi,Jincheng,2926.0,0.0,2926.0,0.6502,0.13489626556016598,4.819999999999999,0.7,2048.199999999997,0.6502,4.819999999999999,0.5699999997174,5.687599999999999,0.1002180180950489,Shanxi-Jincheng-2048.199999999997,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
49,Shanxi,Jingle,0.0,0.0,0.0,,,,0.7,0.0,,,,,0,Shanxi-Jingle-0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
50,Guangxi,Jingxi,406000.0,0.0,406000.0,0.494257065,0.08171096238603759,6.048846453000001,0.7,284200.0000000014,0.494257065,6.048846453000001,0.5239688416192659,6.144343856390261,0.08527661437344951,Guangxi-Jingxi-284200.0000000014,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
51,Hebei,Jingxing,694.0,0.0,694.0,0.6019,0.12037999999999997,5.000000000000001,0.7,485.799999999999,0.6019,5.000000000000001,0.5897685760915,4.000000000000001,0.14744214402287498,Hebei-Jingxing-485.799999999999,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
52,Yunnan,Jinnin,259.0,0.0,259.0,0.5242,0.16964401294498382,3.09,0.7,11.33125,0.5242,3.09,0.49799,2.472,0.2014522653721683,Yunnan-Jinnin-11.33125,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
53,Guizhou,Jinsha,21958.8,0.0,21958.8,0.6224,0.1686720867208672,3.69,0.6,2617.410535737813,0.6224,3.69,0.56016,2.952,0.1897560975609756,Guizhou-Jinsha-2617.410535737813,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
54,Henan,Jiyuan,6335.4,0.0,6335.4,0.6,0.15,4.0,0.7,3322.125375023753,0.6,4.0,0.57,3.6,0.15833333333333333,Henan-Jiyuan-3322.125375023753,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
55,Guizhou,Kaili,58277.3,0.0,58277.3,0.633358857,0.09525539308509454,6.649060347,0.6,34966.380000000005,0.633358857,6.649060347,0.60169091415,5.3192482776,0.11311577928854975,Guizhou-Kaili-34966.380000000005,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
56,Guizhou,Kaiyang,7769.2,0.0,7769.2,0.687108932,0.09008989931504373,7.626925295999999,0.6,4661.5199999999895,0.687108932,7.626925295999999,0.6224315434436176,6.141337571129153,0.10135113665949756,Guizhou-Kaiyang-4661.5199999999895,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
57,Guangxi,Laibin,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,NO,
58,Shanxi,Lin,53325.5,5332.55,47992.95,0.6230000000000001,0.0954854805275806,6.52455217859064,0.7,31255.40868759605,0.6230000000000001,6.52455217859064,0.5921666665390001,4.240958916083916,0.13963037092700825,Shanxi-Lin-31255.40868759605,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.1111111111111112
59,Shanxi,Lingshi,51706.1,0.0,51706.1,0.637352803,0.14230221739627033,4.478867685,0.7,26887.171999741444,0.637352803,4.478867685,0.6009053603955365,3.44872811745,0.17423970227025254,Shanxi-Lingshi-26887.171999741444,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
60,Guangxi,Lingyun,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,NO,
61,Shanxi,Liulin,40156.0,4015.6000000000004,36140.4,0.6567604877777777,0.09964603432346457,6.590934523754793,0.7,25298.279999999933,0.6567604877777777,6.590934523754793,0.6226450734348079,5.536384999954026,0.11246419341140082,Shanxi-Liulin-25298.279999999933,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.1111111111111112
62,Guangxi,Long'an,0.0,0.0,0.0,,,,0.7,0.0,,,,,0,Guangxi-Long'an-0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
63,Guizhou,Longli,396.0,0.0,396.0,0.687568182,0.13751363640000003,4.999999999999999,0.6,139.55464285537494,0.687568182,4.999999999999999,0.5699999999082062,3.9999999999999996,0.14249999997705157,Guizhou-Longli-139.55464285537494,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
64,Guangxi,Longzhou,51192.0,0.0,51192.0,0.5,0.1,5.0,0.7,35834.39999999993,0.5,5.0,0.475,5.0,0.095,Guangxi-Longzhou-35834.39999999993,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
65,Shanxi,Loufan,58418.0,0.0,58418.0,0.620526423,0.08812885331529562,7.04112671,0.7,40892.59999999993,0.620526423,7.04112671,0.6173943859993933,5.9145464364,0.10438575343660367,Shanxi-Loufan-40892.59999999993,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
66,Yunnan,Ludian,0.0,0.0,0.0,,,,0.7,0.0,,,,,0,Yunnan-Ludian-0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
67,Henan,Lushan,7828.7,0.0,7828.7,0.666213971,0.12022946761129441,5.541187067,0.7,5480.0900000000065,0.666213971,5.541187067,0.6365828168481691,4.985997924864771,0.1276741038486161,Henan-Lushan-5480.0900000000065,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
68,Sichuan,Lushan,14520.0,0.0,14520.0,0.55,0.11000000000000001,5.0,0.7,10163.999999999969,0.55,5.0,0.5225,4.25,0.12294117647058822,Sichuan-Lushan-10163.999999999969,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
69,Shanxi,Lvliang,,,,,,,0.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,NO,
70,Brazil,MRN,,,,,,,0.7,99000000.0,,,0.545,,0.045,Brazil-MRN-99000000.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0
71,Malaysia,Malaysia,,,,,,,0.7,99000000.0,,,0.395,,0.03,Malaysia-Malaysia-99000000.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0
72,Yunnan,Malipo,1686.9,0.0,1686.9,0.5663,0.09329489291598023,6.07,0.7,1180.8299999999986,0.5663,6.07,0.49588895188910004,5.09285503593,0.09736953995167984,Yunnan-Malipo-1180.8299999999986,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
73,Guangxi,Mashan,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,NO,
74,Henan,Mianchi,150034.8,15003.48,135031.31999999998,0.6694289555555556,0.10377920802761297,6.450511314149149,0.7,94521.92400000038,0.6694289555555556,6.450511314149149,0.6354177431943396,5.903439882463403,0.10763516794367538,Henan-Mianchi-94521.92400000038,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.1111111111111112
75,Sichuan,Miyi,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,NO,
76,Chongqing,Nanchuan,94536.0,0.0,94536.0,0.616214108,0.0955416717021546,6.449689408000001,0.7,26529.164999810873,0.616214108,6.449689408000001,0.5854034026,5.158592710704065,0.11348122161016698,Chongqing-Nanchuan-26529.164999810873,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
77,Guangxi,Napo,69970.0,0.0,69970.0,0.5608,0.08574923547400612,6.539999999999999,0.7,48978.999999999935,0.5608,6.539999999999999,0.5327599999999999,6.539999999999999,0.0814617737003058,Guangxi-Napo-48978.999999999935,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
78,Guangxi,Ningming,0.0,0.0,0.0,,,,0.7,0.0,,,,,0,Guangxi-Ningming-0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
79,Shanxi,Ningwu,37071.4,3707.1400000000003,33364.26,0.5711003988888887,0.12020728630113633,4.750963244093216,0.7,15973.139474566276,0.5711003988888887,4.750963244093216,0.5425564725696927,3.7532609628336413,0.14455602153495686,Shanxi-Ningwu-15973.139474566276,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.1111111111111112
80,Beijing,Not Applicable,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,NO,
81,China Total,Not Applicable,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
82,Chongqing,Not Applicable,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,NO,
83,Fujian,Not Applicable,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,NO,
84,Guangdong,Not Applicable,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,NO,
85,Guangxi,Not Applicable,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,NO,
86,Guizhou,Not Applicable,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,NO,
87,Hainan,Not Applicable,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,NO,
88,Hebei,Not Applicable,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,NO,
89,Henan,Not Applicable,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,NO,
90,Hubei,Not Applicable,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,NO,
91,Hunan,Not Applicable,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,NO,
92,Inner Mongolia,Not Applicable,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,NO,
93,Jiangxi,Not Applicable,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,NO,
94,Liaoning,Not Applicable,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,NO,
95,Shaanxi,Not Applicable,,,,,,,0.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,NO,
96,Shandong,Not Applicable,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,NO,
97,Shanxi,Not Applicable,,,,,,,0.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,NO,
98,Sichuan,Not Applicable,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,NO,
99,Xinjiang,Not Applicable,,,,,,,,3143.0000000000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,NO,
100,Yunnan,Not Applicable,,,,,,,,253406.4820000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,NO,
101,Henan,Pingdingshan,4490.0,0.0,4490.0,0.664,0.12296296296296295,5.4,0.7,70423.47155316811,0.664,5.4,0.6308,4.59,0.13742919389978214,Henan-Pingdingshan-70423.47155316811,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
102,Guangxi,Pingguo,362009.26,0.0,362009.26,0.601202635,0.08269609527744017,7.270024455000001,0.7,0.0,0.601202635,7.270024455000001,0.5687991783046841,8.319559565269449,0.0683689050895403,Guangxi-Pingguo-0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
103,Shanxi,Pinglu,123712.73,12371.273000000001,111341.457,0.6182535477777776,0.12639226819622504,4.891545634879611,0.7,0.0,0.6182535477777776,4.891545634879611,0.5836905604809999,4.059982876950077,0.1437667542380074,Shanxi-Pinglu-0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.1111111111111112
104,Guangxi,Pingxiang,0.0,0.0,0.0,,,,0.7,0.0,,,,,0,Guangxi-Pingxiang-0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
105,Shaanxi,Pucheng,,,,,,,0.7,149551.4082000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,NO,
106,Inner Mongolia,Qingshuihe,,,,,,,,2057.3437499983397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,NO,
107,Guizhou,Qingzhen,315509.3,66256.953,249252.347,0.6678237139240505,0.08161733888829284,8.18237549790836,0.6,5138.098958366051,0.6678237139240505,8.18237549790836,0.5844056354394429,5.141313083941944,0.1136685562419334,Guizhou-Qingzhen-5138.098958366051,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.2658227848101264
108,Chongqing,Qinjiang,9500.0,0.0,9500.0,0.6436,0.13693617021276594,4.7,0.7,18508.325708396562,0.6436,4.7,0.61142,3.7600000000000002,0.16261170212765955,Chongqing-Qinjiang-18508.325708396562,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
109,Henan,Qinyang,10330.0,0.0,10330.0,0.6,0.15,4.0,0.7,99000000.0,0.6,4.0,0.57,3.4,0.1676470588235294,Henan-Qinyang-99000000.0,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
110,Shanxi,Qinyuan,35793.7,0.0,35793.7,0.596445692,0.14399444632694122,4.142143723,0.7,0.0,0.596445692,4.142143723,0.5666234074,3.8521936623900004,0.14709110108666038,Shanxi-Qinyuan-0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
111,Australia,Queensland,,,,,,,0.7,4337.199999999988,,,0.54,,0.09,Australia-Queensland-4337.199999999988,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0
