output_lebel
Chalco Xinghua Closed
Chalco Huaxing Avg A/S
Jinjiang Longzhou Avg A/S
Jinjiang Longzhou Purchased
Chalco Xinghua Import Avg %Sio2
Chalco Huaxing Avg %Sio2
Chalco Xinghua Import Avg A/S
Chalco Huaxing Purchased
Chalco Xinghua Avg A/S
Huasheng Avg %Sio2
Chalco Xinghua Avg %Sio2
Huasheng Allocation
Chalco Xinghua Purchased
Chalco Xinghua Import Avg %Al2O3
Huasheng Avg Distance
Chalco Xinghua Import Newcal
Chalco Xinghua Avg %Al2O3
Huasheng Closed
Huasheng Avg A/S
Chalco Huaxing Closed
Huasheng Purchased
Jinjiang Longzhou Newcal
Chalco Huaxing Allocation
Chalco Xinghua Import Avg Distance
Jinjiang Longzhou Avg %Al2O3
Chalco Xinghua Import Purchased
Chalco Xinghua Import Closed
Chalco Huaxing Newcal
Chalco Xinghua Allocation
Jinjiang Longzhou Allocation
Huasheng Newcal
Chalco Huaxing Avg Distance
Chalco Xinghua Avg Distance
Jinjiang Longzhou Closed
Chalco Xinghua Import Allocation
Huasheng Avg %Al2O3
Chalco Huaxing Avg %Al2O3
Jinjiang Longzhou Avg Distance
Jinjiang Longzhou Avg %Sio2
Chalco Xinghua Newcal
