Ref. No.,Refinery,Refinery Province,Refinery Province Category,Technology,Refinery Ownership,Owner,Bauxite Source,% Bauxite Allocation Self Supply,Bauxite Origin Province Category,Bauxite Origin County,"Economic Inventory at CBIX = US$55/dmt, (kt)",,,,,,,,,,,,
11,Tiangui,Guangxi,Guangxi,H-B,Zengshi,Other,Domestic,0,Guangxi,Jingxi,28419.89972,28419.89972,27296.67964,26089.64943,24360.88785,22340.21925,20276.30729,16160.94686,11747.08026,7139.613862,7139.613862,7139.613862,7139.613862
14,Chalco Guizhou,Guizhou,Guizhou,Series & Sinter (95:25),Chalco,Chalco,Domestic,1,Guizhou,Guiyang,93.01324845,93.01324845,93.01324845,93.01324845,93.01324845,93.01324845,93.01324845,93.01324845,93.01324845,93.01324845,93.01324845,93.01324845,93.01324845
14,Chalco Guizhou,Guizhou,Guizhou,Series & Sinter (95:25),Chalco,Chalco,Domestic,1,Guizhou,Qingzhen,2901.063778,2901.063778,2901.063778,2901.063778,2901.063778,2901.063778,2901.063778,2901.063778,2901.063778,2901.063778,2901.063778,2901.063778,2901.063778
14,Chalco Guizhou,Guizhou,Guizhou,Series & Sinter (95:25),Chalco,Chalco,Domestic,0.5,Guizhou,Xiuwen,180.3923612,180.3923612,180.3923612,180.3923612,180.3923612,180.3923612,180.3923612,180.3923612,180.3923612,180.3923612,180.3923612,180.3923612,180.3923612
14,Chalco Guizhou,Guizhou,Guizhou,Series & Sinter (95:25),Chalco,Chalco,Domestic,0,Guizhou,Zhijin,45.31741893,45.31741893,45.31741893,45.31741893,45.31741893,45.31741893,45.31741893,45.31741893,45.31741893,45.31741893,45.31741893,45.31741893,45.31741893
15,Chalco Zunyi,Guizhou,Guizhou,H-B,Chalco,Chalco,Domestic,1,Guizhou,Kaiyang,515.8047926,259.1976768,259.1976768,259.1976768,259.1976768,259.1976768,259.1976768,259.1976768,259.1976768,259.1976768,259.1976768,259.1976768,259.1976768
15,Chalco Zunyi,Guizhou,Guizhou,H-B,Chalco,Chalco,Domestic,1,Guizhou,Jinsha,179.7539139,90.32835199,90.32835199,90.32835199,90.32835199,90.32835199,90.32835199,90.32835199,90.32835199,90.32835199,90.32835199,90.32835199,90.32835199
15,Chalco Zunyi,Guizhou,Guizhou,H-B,Chalco,Chalco,Domestic,0,Guizhou,Weng'an,646.9977146,325.1235872,325.1235872,325.1235872,325.1235872,325.1235872,325.1235872,325.1235872,325.1235872,325.1235872,325.1235872,325.1235872,325.1235872
15,Chalco Zunyi,Guizhou,Guizhou,H-B,Chalco,Chalco,Domestic,0,Guizhou,Xifeng,11.62692582,5.842660255,5.842660255,5.842660255,5.842660255,5.842660255,5.842660255,5.842660255,5.842660255,5.842660255,5.842660255,5.842660255,5.842660255
15,Chalco Zunyi,Guizhou,Guizhou,H-B,Chalco,Chalco,Domestic,1,Guizhou,Zunyi,4705.03709,2364.333756,2364.333756,2364.333756,2364.333756,2364.333756,2364.333756,2364.333756,2364.333756,2364.333756,2364.333756,2364.333756,2364.333756
16,Xian,Guizhou,Guizhou,H-B,Zengshi Group,Other,Domestic,0.6,Guizhou,Kaiyang,94.8570783,94.8570783,94.8570783,94.8570783,94.8570783,94.8570783,94.8570783,94.8570783,94.8570783,94.8570783,94.8570783,94.8570783,94.8570783
16,Xian,Guizhou,Guizhou,H-B,Zengshi Group,Other,Domestic,0.3,Guizhou,Xifeng,1.469240245,1.469240245,1.469240245,1.469240245,1.469240245,1.469240245,1.469240245,1.469240245,1.469240245,1.469240245,1.469240245,1.469240245,1.469240245
17,Huafei,Guizhou,Guizhou,H-B,Shanghai Huafei Investment Co.Ltd,Other,Domestic,0.6,Guizhou,Xiuwen,3724.098495,3645.139143,3399.627112,3152.948368,2894.552824,2624.269757,2351.255681,2089.232712,1788.316804,1453.151536,1080.877958,783.7235292,562.016024
17,Huafei,Guizhou,Guizhou,H-B,Shanghai Huafei Investment Co.Ltd,Other,Domestic,0,Guizhou,Zhijin,1169.440675,1144.645875,1067.550235,990.0882242,908.9469066,824.0726712,738.3408451,656.0604441,561.5668898,456.3183585,339.4170832,246.104708,176.4841609
18,Qingzhen Guanglv,Guizhou,Guizhou,H-B,Guangdong Guang Al Group Co.Ltd,Other,Domestic,0,Guizhou,Longli,19.03903486,17.8394848,16.33178014,14.81608786,13.22562501,10.55405131,7.841573176,5.223748565,1.421434935,1.421434935,1.421434935,1.421434935,1.421434935
18,Qingzhen Guanglv,Guizhou,Guizhou,H-B,Guangdong Guang Al Group Co.Ltd,Other,Domestic,0.6,Guizhou,Qingzhen,17157.22434,16076.23732,14717.55359,13351.67172,11918.40957,9510.893137,7066.515249,4707.435366,1280.94088,1280.94088,1280.94088,1280.94088,1280.94088
18,Qingzhen Guanglv,Guizhou,Guizhou,H-B,Guangdong Guang Al Group Co.Ltd,Other,Domestic,0,Guizhou,Zhijin,2562.868764,2401.3958,2198.441754,1994.412483,1780.31825,1420.694307,1055.564166,703.1754564,191.3411694,191.3411694,191.3411694,191.3411694,191.3411694
19.1,Qizheng Chemical,Guizhou,Guizhou,H-B,Qiya,Qiya,Domestic,0.2,Guizhou,Fuquan,1522.205467,1382.304505,1185.615828,987.2542632,778.2298864,558.2248123,334.5435174,139.7697323,139.7697323,139.7697323,139.7697323,139.7697323,139.7697323
19.1,Qizheng Chemical,Guizhou,Guizhou,H-B,Qiya,Qiya,Domestic,0.5,Guizhou,Huangping,4342.289122,3943.203428,3382.123388,2816.271219,2220.001992,1592.408897,954.3289048,398.7113443,398.7113443,398.7113443,398.7113443,398.7113443,398.7113443
19.1,Qizheng Chemical,Guizhou,Guizhou,H-B,Qiya,Qiya,Domestic,0.7,Guizhou,Kaili,17973.94745,16322.0203,13999.55331,11657.33315,9189.20828,6591.425178,3950.233876,1650.377612,1650.377612,1650.377612,1650.377612,1650.377612,1650.377612
20,SPIC - Wuchuan,Guizhou,Guizhou,H-B,SPIC,SPIC,Domestic,1,Guizhou,Daozhen,81979.20452,81979.20452,80773.97247,79313.40496,77769.48397,76145.67166,74507.30001,72950.49596,71133.65051,69090.58109,66805.07749,65054.48043,63846.90281
20,SPIC - Wuchuan,Guizhou,Guizhou,H-B,SPIC,SPIC,Domestic,1,Guizhou,Wuchuan,39018.57027,39018.57027,38444.93173,37749.7645,37014.92461,36242.0599,35462.26556,34721.29389,33856.55371,32884.14067,31796.3394,30963.1306,30388.37567
20,SPIC - Wuchuan,Guizhou,Guizhou,H-B,SPIC,SPIC,Domestic,1,Guizhou,Zheng'an,4362.89466,4362.89466,4298.752777,4221.022062,4138.855314,4052.436788,3965.24342,3882.391042,3785.699382,3676.96819,3555.334765,3462.168813,3397.902101
21,Kaisheng,Guizhou,Guizhou,H-B,Private,Other,Domestic,0.7,Guizhou,Kaili,555.0129356,555.0129356,555.0129356,555.0129356,555.0129356,555.0129356,555.0129356,555.0129356,555.0129356,555.0129356,555.0129356,555.0129356,555.0129356
21,Kaisheng,Guizhou,Guizhou,H-B,Private,Other,Domestic,0,Guizhou,Kaiyang,88.39480262,88.39480262,88.39480262,88.39480262,88.39480262,88.39480262,88.39480262,88.39480262,88.39480262,88.39480262,88.39480262,88.39480262,88.39480262
22,Huajin,Guizhou,Guizhou,H-B,"Chalco, Jinjiang",Chalco,Domestic,1,Guizhou,Guiyang,2765.436179,2567.065681,2317.34923,2065.637453,1800.907109,1522.958716,1241.220247,969.7836896,656.3388815,304.8839678,304.8839678,304.8839678,304.8839678
22,Huajin,Guizhou,Guizhou,H-B,"Chalco, Jinjiang",Chalco,Domestic,1,Guizhou,Jinsha,269.7033414,250.3569588,226.0029847,201.4544134,175.6361866,148.5288497,121.0518799,94.57961949,64.01044102,29.73426958,29.73426958,29.73426958,29.73426958
22,Huajin,Guizhou,Guizhou,H-B,"Chalco, Jinjiang",Chalco,Domestic,0,Guizhou,Longli,32.31890414,30.00060182,27.08223325,24.14054584,21.04671396,17.79840632,14.50580509,11.3335995,7.670454868,3.563096414,3.563096414,3.563096414,3.563096414
22,Huajin,Guizhou,Guizhou,H-B,"Chalco, Jinjiang",Chalco,Domestic,1,Guizhou,Qingzhen,42715.95784,39651.85319,35794.63983,31906.60592,27817.48236,23524.18791,19172.35052,14979.64029,10138.05497,4709.351391,4709.351391,4709.351391,4709.351391
22,Huajin,Guizhou,Guizhou,H-B,"Chalco, Jinjiang",Chalco,Domestic,0.5,Guizhou,Xiuwen,8873.923366,8237.378357,7436.070895,6628.360692,5778.875607,4886.975532,3982.913596,3111.909149,2106.105714,978.3328168,978.3328168,978.3328168,978.3328168
22,Huajin,Guizhou,Guizhou,H-B,"Chalco, Jinjiang",Chalco,Domestic,0,Guizhou,Zhijin,1137.38272,1055.795888,953.0912307,849.5659251,740.6862766,626.3702417,510.4954048,398.8575905,269.9424085,125.3942359,125.3942359,125.3942359,125.3942359
23.1,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,0.5,Henan,Baofeng,1408.700514,1320.719089,1230.158828,1135.814871,1035.09967,900.0834274,733.8355162,628.1341478,539.4580541,468.431855,411.1909313,353.5965079,295.6197863
23.1,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,0.3,Henan,Dengfeng,4876.793925,4572.21018,4258.698737,3932.08848,3583.421552,3116.007517,2540.472266,2174.543677,1867.555051,1621.668766,1423.505859,1224.119168,1023.408995
23.1,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,0.85,Henan,Gongyi,8377.866344,7854.620551,7316.037824,6754.952587,6155.976095,5353.003408,4364.288798,3735.658419,3208.28127,2785.872109,2445.447155,2102.919856,1758.118943
23.1,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,0.8,Henan,Jiaxian,145.7442237,136.6416612,127.2722922,117.5114618,107.0914622,93.12267519,75.92265821,64.98678948,55.81235652,48.4639825,42.54183375,36.58311191,30.58483747
23.1,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,0.8,Henan,Lushan,1052.146268,986.4337005,918.7950222,848.3303341,773.1070189,672.2645513,548.0954198,469.1479791,402.9165693,349.8677136,307.1149612,264.098183,220.7958695
