Ref. No.,Refinery,Refinery Province,Refinery Province Category,Technology,Refinery Ownership,Owner,Bauxite Source,% Bauxite Allocation Self Supply,Bauxite Origin Province Category,Bauxite Origin County,"Economic Inventory at CBIX = US$55/dmt, (kt)",,,,,,,,,,,,
24.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,H-B-ODT-Sweet,Chalco,Chalco,Domestic,0.8,Henan,Yanshi,1518.437518,1518.437518,1518.437518,1518.437518,1518.437518,1518.437518,1518.437518,1518.437518,1518.437518,1518.437518,1518.437518,1518.437518,1518.437518
25.1,Kaiman,Henan,Henan,"H-B, ODT, Sweetening",Jinjiang,Jinjiang,Domestic,1,Henan,Hubin,410.6035419,311.5170823,240.1829875,174.7996936,104.6096254,0,0,0,0,0,0,0,0
25.1,Kaiman,Henan,Henan,"H-B, ODT, Sweetening",Jinjiang,Jinjiang,Domestic,1,Henan,Mianchi,3201.331968,2428.789555,1872.622609,1362.851973,815.604601,0,0,0,0,0,0,0,0
25.1,Kaiman,Henan,Henan,"H-B, ODT, Sweetening",Jinjiang,Jinjiang,Domestic,0,Henan,Ruzhou,122.4082955,92.86884103,71.60286531,52.11093029,31.18600945,-2.84217E-14,-2.84217E-14,-2.84217E-14,-2.84217E-14,-2.84217E-14,-2.84217E-14,-2.84217E-14,-2.84217E-14
25.1,Kaiman,Henan,Henan,"H-B, ODT, Sweetening",Jinjiang,Jinjiang,Domestic,1,Henan,Sanmenxia,1401.663468,1063.415362,819.9045671,596.7078211,357.1023516,0,0,0,0,0,0,0,0
25.1,Kaiman,Henan,Henan,"H-B, ODT, Sweetening",Jinjiang,Jinjiang,Domestic,1,Henan,Shaan,15684.02762,11899.17286,9174.388981,6676.910799,3995.825869,0,0,0,0,0,0,0,0
25.1,Kaiman,Henan,Henan,"H-B, ODT, Sweetening",Jinjiang,Jinjiang,Domestic,0,Henan,Xin'an,538.4915769,408.5432972,314.9912324,229.243426,137.1917103,0,0,0,0,0,0,0,0
26.1,East Hope Mianchi,Henan,Henan,"H-B, ODT",East Hope,East Hope,Domestic,0.7,Henan,Mianchi,16462.09627,12711.47055,8728.201953,4774.716225,495.5221245,495.5221245,495.5221245,495.5221245,495.5221245,495.5221245,495.5221245,495.5221245,495.5221245
26.1,East Hope Mianchi,Henan,Henan,"H-B, ODT",East Hope,East Hope,Domestic,0,Henan,Ruzhou,104.9093088,81.00739833,55.62290606,30.42821345,3.157853213,3.157853213,3.157853213,3.157853213,3.157853213,3.157853213,3.157853213,3.157853213,3.157853213
26.1,East Hope Mianchi,Henan,Henan,"H-B, ODT",East Hope,East Hope,Domestic,1,Henan,Sanmenxia,864.9269434,667.8671532,458.5841872,250.8660285,26.03498543,26.03498543,26.03498543,26.03498543,26.03498543,26.03498543,26.03498543,26.03498543,26.03498543
26.1,East Hope Mianchi,Henan,Henan,"H-B, ODT",East Hope,East Hope,Domestic,0,Henan,Xin'an,3692.088279,2850.904932,1957.544872,1070.864459,111.1347789,111.1347789,111.1347789,111.1347789,111.1347789,111.1347789,111.1347789,111.1347789,111.1347789
26.1,East Hope Mianchi,Henan,Henan,"H-B, ODT",East Hope,East Hope,Domestic,0,Henan,Xinmi,785.4438845,606.4930399,416.4422766,227.8125215,23.64248246,23.64248246,23.64248246,23.64248246,23.64248246,23.64248246,23.64248246,23.64248246,23.64248246
27,Huiyuan Lushan,Henan,Henan,"H-B, ODT","Shenhuo, Huiyuan",Shenhuo,Domestic,0.5,Henan,Baofeng,582.6343545,582.6343545,582.6343545,582.6343545,582.6343545,582.6343545,582.6343545,582.6343545,582.6343545,582.6343545,582.6343545,582.6343545,582.6343545
27,Huiyuan Lushan,Henan,Henan,"H-B, ODT","Shenhuo, Huiyuan",Shenhuo,Domestic,0.2,Henan,Jiaxian,98.41531211,98.41531211,98.41531211,98.41531211,98.41531211,98.41531211,98.41531211,98.41531211,98.41531211,98.41531211,98.41531211,98.41531211,98.41531211
27,Huiyuan Lushan,Henan,Henan,"H-B, ODT","Shenhuo, Huiyuan",Shenhuo,Domestic,0,Henan,Jiyuan,32.68159193,32.68159193,32.68159193,32.68159193,32.68159193,32.68159193,32.68159193,32.68159193,32.68159193,32.68159193,32.68159193,32.68159193,32.68159193
27,Huiyuan Lushan,Henan,Henan,"H-B, ODT","Shenhuo, Huiyuan",Shenhuo,Domestic,0,Henan,Lushan,355.2363885,355.2363885,355.2363885,355.2363885,355.2363885,355.2363885,355.2363885,355.2363885,355.2363885,355.2363885,355.2363885,355.2363885,355.2363885
27,Huiyuan Lushan,Henan,Henan,"H-B, ODT","Shenhuo, Huiyuan",Shenhuo,Domestic,0.8,Henan,Pingdingshan,414.5098313,414.5098313,414.5098313,414.5098313,414.5098313,414.5098313,414.5098313,414.5098313,414.5098313,414.5098313,414.5098313,414.5098313,414.5098313
27,Huiyuan Lushan,Henan,Henan,"H-B, ODT","Shenhuo, Huiyuan",Shenhuo,Domestic,0.8,Henan,Ruzhou,198.6057898,198.6057898,198.6057898,198.6057898,198.6057898,198.6057898,198.6057898,198.6057898,198.6057898,198.6057898,198.6057898,198.6057898,198.6057898
27,Huiyuan Lushan,Henan,Henan,"H-B, ODT","Shenhuo, Huiyuan",Shenhuo,Domestic,0,Henan,Yuzhou,389.9460594,389.9460594,389.9460594,389.9460594,389.9460594,389.9460594,389.9460594,389.9460594,389.9460594,389.9460594,389.9460594,389.9460594,389.9460594
28,Jingxin,Henan,Henan,H-B,Private,Other,Domestic,0,Henan,Dengfeng,1425.736943,1300.666453,1300.666453,1300.666453,1300.666453,1300.666453,1300.666453,1300.666453,1300.666453,1300.666453,1300.666453,1300.666453,1300.666453
28,Jingxin,Henan,Henan,H-B,Private,Other,Domestic,0.75,Henan,Gongyi,1853.509146,1690.913025,1690.913025,1690.913025,1690.913025,1690.913025,1690.913025,1690.913025,1690.913025,1690.913025,1690.913025,1690.913025,1690.913025
29,Shenhuo,Henan,Henan,Sintering,Shenhuo,Shenhuo,Domestic,0.8,Henan,Ruzhou,120.4633151,120.4633151,120.4633151,120.4633151,120.4633151,120.4633151,120.4633151,120.4633151,120.4633151,120.4633151,120.4633151,120.4633151,120.4633151
29,Shenhuo,Henan,Henan,Sintering,Shenhuo,Shenhuo,Domestic,0,Henan,Yuzhou,354.7796496,354.7796496,354.7796496,354.7796496,354.7796496,354.7796496,354.7796496,354.7796496,354.7796496,354.7796496,354.7796496,354.7796496,354.7796496
30.1,Wanji,Henan,Henan,H-B,Wanji Holdings,Other,Domestic,1,Henan,Xin'an,29254.91777,27264.27218,26719.37822,26190.96048,25635.28131,25635.28131,25635.28131,25635.28131,25635.28131,25635.28131,25635.28131,25635.28131,25635.28131
30.1,Wanji,Henan,Henan,H-B,Wanji Holdings,Other,Domestic,0.5,Henan,Yichuan,169.3915585,157.8653405,154.7103005,151.6506609,148.4331724,148.4331724,148.4331724,148.4331724,148.4331724,148.4331724,148.4331724,148.4331724,148.4331724
31,Weilai,Henan,Henan,H-B,Private,Other,Domestic,0,Shanxi,Jiaokou,187.1242045,187.1242045,187.1242045,187.1242045,187.1242045,187.1242045,187.1242045,187.1242045,187.1242045,187.1242045,187.1242045,187.1242045,187.1242045
31,Weilai,Henan,Henan,H-B,Private,Other,Domestic,0,Shanxi,Jincheng,227.7755696,227.7755696,227.7755696,227.7755696,227.7755696,227.7755696,227.7755696,227.7755696,227.7755696,227.7755696,227.7755696,227.7755696,227.7755696
32,Yifeng Gongyi (Yulian Xinya),Henan,Henan,H-B,Private,Other,Domestic,0,Henan,Gongyi,2915.66106,2915.66106,2915.66106,2915.66106,2915.66106,2915.66106,2915.66106,2915.66106,2915.66106,2915.66106,2915.66106,2915.66106,2915.66106
32,Yifeng Gongyi (Yulian Xinya),Henan,Henan,H-B,Private,Other,Domestic,0,Henan,Xin'an,3702.384044,3702.384044,3702.384044,3702.384044,3702.384044,3702.384044,3702.384044,3702.384044,3702.384044,3702.384044,3702.384044,3702.384044,3702.384044
33,Yima Yixiang,Henan,Henan,"H-B, CGA","Jinjiang, Yima Coal Group",Jinjiang,Domestic,0.85,Henan,Mianchi,2495.49184,1353.791967,683.3810696,16.36977442,16.36977442,16.36977442,16.36977442,16.36977442,16.36977442,16.36977442,16.36977442,16.36977442,16.36977442
33,Yima Yixiang,Henan,Henan,"H-B, CGA","Jinjiang, Yima Coal Group",Jinjiang,Domestic,0,Henan,Ruzhou,79.5160956,43.13708813,21.77518419,0.52160481,0.52160481,0.52160481,0.52160481,0.52160481,0.52160481,0.52160481,0.52160481,0.52160481,0.52160481
33,Yima Yixiang,Henan,Henan,"H-B, CGA","Jinjiang, Yima Coal Group",Jinjiang,Domestic,0,Henan,Xinmi,416.72948,226.0736794,114.1198032,2.733636501,2.733636501,2.733636501,2.733636501,2.733636501,2.733636501,2.733636501,2.733636501,2.733636501,2.733636501
34,Zhongmei,Henan,Henan,"H-B, Sweetening","Yongmei Group, Wuzhou Aluminium, Dengfeng Electric Power Corporation",Other,Domestic,0,Henan,Baofeng,1379.53843,1330.781853,1299.7046,1269.556049,1269.556049,1269.556049,1269.556049,1269.556049,1269.556049,1269.556049,1269.556049,1269.556049,1269.556049
34,Zhongmei,Henan,Henan,"H-B, Sweetening","Yongmei Group, Wuzhou Aluminium, Dengfeng Electric Power Corporation",Other,Domestic,0.7,Henan,Dengfeng,17178.39481,16571.26441,16184.28184,15808.86373,15808.86373,15808.86373,15808.86373,15808.86373,15808.86373,15808.86373,15808.86373,15808.86373,15808.86373
34,Zhongmei,Henan,Henan,"H-B, Sweetening","Yongmei Group, Wuzhou Aluminium, Dengfeng Electric Power Corporation",Other,Domestic,0,Henan,Ruzhou,274.3130148,264.6180595,258.4385324,252.4436722,252.4436722,252.4436722,252.4436722,252.4436722,252.4436722,252.4436722,252.4436722,252.4436722,252.4436722
34,Zhongmei,Henan,Henan,"H-B, Sweetening","Yongmei Group, Wuzhou Aluminium, Dengfeng Electric Power Corporation",Other,Domestic,0,Henan,Xinmi,1026.874938,990.5824321,967.4497292,945.0083161,945.0083161,945.0083161,945.0083161,945.0083161,945.0083161,945.0083161,945.0083161,945.0083161,945.0083161
34,Zhongmei,Henan,Henan,"H-B, Sweetening","Yongmei Group, Wuzhou Aluminium, Dengfeng Electric Power Corporation",Other,Domestic,0,Henan,Yuzhou,2423.659233,2338.000636,2283.402177,2230.43532,2230.43532,2230.43532,2230.43532,2230.43532,2230.43532,2230.43532,2230.43532,2230.43532,2230.43532
35,Shaoxing,Henan,Henan,H-B,Private,Other,Domestic,0.7,Henan,Mianchi,237.1582192,237.1582192,237.1582192,237.1582192,237.1582192,237.1582192,237.1582192,237.1582192,237.1582192,237.1582192,237.1582192,237.1582192,237.1582192
36,Zhongchao,Henan,Henan,H-B,Private,Other,Domestic,0,Henan,Xin'an,446.5417456,446.5417456,446.5417456,446.5417456,446.5417456,446.5417456,446.5417456,446.5417456,446.5417456,446.5417456,446.5417456,446.5417456,446.5417456
37,Jialu Xianfeng,Hubei,Other,H-B,Private,Other,Domestic,0.5,Hubei,Yicheng,3688.590027,3688.590027,3688.590027,3688.590027,3688.590027,3688.590027,3688.590027,3688.590027,3688.590027,3688.590027,3688.590027,3688.590027,3688.590027
38,Jinshi,Hubei,Other,H-B,Private,Other,Domestic,1,Hubei,Yicheng,4040.289422,4040.289422,4040.289422,4040.289422,4040.289422,4040.289422,4040.289422,4040.289422,4040.289422,4040.289422,4040.289422,4040.289422,4040.289422
39,Huixiang,Hunan,Other,H-B,Private,Other,Domestic,0.5,Hunan,Chenxi,255.6044286,255.6044286,255.6044286,255.6044286,255.6044286,255.6044286,255.6044286,255.6044286,255.6044286,255.6044286,255.6044286,255.6044286,255.6044286
40.2,Xinwang H-B,Inner Mongolia,Other,H-B,BXG,Other,Domestic,0,Shanxi,Huairen,11.45422355,11.45422355,11.45422355,11.45422355,11.45422355,11.45422355,11.45422355,11.45422355,11.45422355,11.45422355,11.45422355,11.45422355,11.45422355
40.2,Xinwang H-B,Inner Mongolia,Other,H-B,BXG,Other,Domestic,0,Shanxi,Loufan,960.6504034,960.6504034,960.6504034,960.6504034,960.6504034,960.6504034,960.6504034,960.6504034,960.6504034,960.6504034,960.6504034,960.6504034,960.6504034
40.2,Xinwang H-B,Inner Mongolia,Other,H-B,BXG,Other,Domestic,0,Shanxi,Ningwu,316.4911709,316.4911709,316.4911709,316.4911709,316.4911709,316.4911709,316.4911709,316.4911709,316.4911709,316.4911709,316.4911709,316.4911709,316.4911709
40.2,Xinwang H-B,Inner Mongolia,Other,H-B,BXG,Other,Domestic,0,Shanxi,Shenchi,62.89541232,62.89541232,62.89541232,62.89541232,62.89541232,62.89541232,62.89541232,62.89541232,62.89541232,62.89541232,62.89541232,62.89541232,62.89541232
40.2,Xinwang H-B,Inner Mongolia,Other,H-B,BXG,Other,Domestic,0,Shanxi,Shuozhou,75.48322397,75.48322397,75.48322397,75.48322397,75.48322397,75.48322397,75.48322397,75.48322397,75.48322397,75.48322397,75.48322397,75.48322397,75.48322397
40.2,Xinwang H-B,Inner Mongolia,Other,H-B,BXG,Other,Domestic,0,Shanxi,Wutai,485.8297471,485.8297471,485.8297471,485.8297471,485.8297471,485.8297471,485.8297471,485.8297471,485.8297471,485.8297471,485.8297471,485.8297471,485.8297471
46.2,Chalco Shandong sinter,Shandong,Other,Sintering,Chalco,Chalco,Domestic,1,Shanxi,Yangquan,721.9167,721.9167,721.9167,721.9167,721.9167,721.9167,721.9167,721.9167,721.9167,721.9167,721.9167,721.9167,721.9167
54,Aokaida,Shanxi,Shanxi,H-B,Aokaida,Other,Domestic,0,Shanxi,Lin,1851.234979,1484.83436,1247.727112,951.5165673,951.5165673,951.5165673,951.5165673,951.5165673,951.5165673,951.5165673,951.5165673,951.5165673,951.5165673
54,Aokaida,Shanxi,Shanxi,H-B,Aokaida,Other,Domestic,1,Shanxi,Xing,2718.861393,2180.73819,1832.504848,1397.468009,1397.468009,1397.468009,1397.468009,1397.468009,1397.468009,1397.468009,1397.468009,1397.468009,1397.468009
55,Chalco Lvliang (Xing),Shanxi,Shanxi,H-B,Chalco,Chalco,Domestic,1,Shanxi,Xing,9784.692362,7052.408883,4051.178569,4051.178569,4051.178569,4051.178569,4051.178569,4051.178569,4051.178569,4051.178569,4051.178569,4051.178569,4051.178569
55,Chalco Lvliang (Xing),Shanxi,Shanxi,H-B,Chalco,Chalco,Domestic,0.8,Shanxi,Yuanping,2103.753091,1516.299792,871.0217065,871.0217065,871.0217065,871.0217065,871.0217065,871.0217065,871.0217065,871.0217065,871.0217065,871.0217065,871.0217065
56.1,Chalco Shanxi,Shanxi,Shanxi,"H-B (Lime), sinter",Chalco,Chalco,Domestic,1,Shanxi,Gu,561.2171466,408.1118366,294.8579533,153.9855545,153.9855545,153.9855545,153.9855545,153.9855545,153.9855545,153.9855545,153.9855545,153.9855545,153.9855545
56.1,Chalco Shanxi,Shanxi,Shanxi,"H-B (Lime), sinter",Chalco,Chalco,Domestic,0.8,Shanxi,Jiaokou,2355.133837,1712.631201,1237.364088,646.1965604,646.1965604,646.1965604,646.1965604,646.1965604,646.1965604,646.1965604,646.1965604,646.1965604,646.1965604
56.1,Chalco Shanxi,Shanxi,Shanxi,"H-B (Lime), sinter",Chalco,Chalco,Domestic,0.5,Shanxi,Loufan,1593.686163,1158.913606,837.3069911,437.2721843,437.2721843,437.2721843,437.2721843,437.2721843,437.2721843,437.2721843,437.2721843,437.2721843,437.2721843
56.1,Chalco Shanxi,Shanxi,Shanxi,"H-B (Lime), sinter",Chalco,Chalco,Domestic,0,Shanxi,Ningwu,525.0480281,381.8099934,275.8550552,144.0615495,144.0615495,144.0615495,144.0615495,144.0615495,144.0615495,144.0615495,144.0615495,144.0615495,144.0615495
56.1,Chalco Shanxi,Shanxi,Shanxi,"H-B (Lime), sinter",Chalco,Chalco,Domestic,1,Shanxi,Pinglu,1971.314469,1433.521362,1035.709178,540.885027,540.885027,540.885027,540.885027,540.885027,540.885027,540.885027,540.885027,540.885027,540.885027
56.1,Chalco Shanxi,Shanxi,Shanxi,"H-B (Lime), sinter",Chalco,Chalco,Domestic,1,Shanxi,Qinyuan,1140.641468,829.4637595,599.2817766,312.9667544,312.9667544,312.9667544,312.9667544,312.9667544,312.9667544,312.9667544,312.9667544,312.9667544,312.9667544
56.1,Chalco Shanxi,Shanxi,Shanxi,"H-B (Lime), sinter",Chalco,Chalco,Domestic,1,Shanxi,Xia,78.38159731,56.9983612,41.18091812,21.50617421,21.50617421,21.50617421,21.50617421,21.50617421,21.50617421,21.50617421,21.50617421,21.50617421,21.50617421
56.1,Chalco Shanxi,Shanxi,Shanxi,"H-B (Lime), sinter",Chalco,Chalco,Domestic,1,Shanxi,Xiaoyi,2668.81275,1940.735559,1402.167895,732.2631064,732.2631064,732.2631064,732.2631064,732.2631064,732.2631064,732.2631064,732.2631064,732.2631064,732.2631064
56.1,Chalco Shanxi,Shanxi,Shanxi,"H-B (Lime), sinter",Chalco,Chalco,Domestic,1,Shanxi,Xing,3730.017797,2712.4339,1959.71456,1023.434266,1023.434266,1023.434266,1023.434266,1023.434266,1023.434266,1023.434266,1023.434266,1023.434266,1023.434266
57.1,SPIC Shanxi,Shanxi,Shanxi,H-B & Sinter,SPIC,SPIC,Domestic,0.9,Shanxi,Huairen,149.9896987,122.3322392,105.8430022,85.54767417,63.6786306,29.60443157,9.110995769,9.110995769,9.110995769,9.110995769,9.110995769,9.110995769,9.110995769
57.1,SPIC Shanxi,Shanxi,Shanxi,H-B & Sinter,SPIC,SPIC,Domestic,0,Shanxi,Loufan,4439.800709,3621.120431,3133.027404,2532.271401,1884.93231,876.3120228,269.691891,269.691891,269.691891,269.691891,269.691891,269.691891,269.691891
57.1,SPIC Shanxi,Shanxi,Shanxi,H-B & Sinter,SPIC,SPIC,Domestic,1,Shanxi,Ningwu,2437.858282,1988.327633,1720.31974,1390.44953,1035.000926,481.1757695,148.0856131,148.0856131,148.0856131,148.0856131,148.0856131,148.0856131,148.0856131
57.1,SPIC Shanxi,Shanxi,Shanxi,H-B & Sinter,SPIC,SPIC,Domestic,0,Shanxi,Shenchi,920.4907442,750.7561846,649.5613014,525.0083369,390.7974387,181.6831788,55.91442179,55.91442179,55.91442179,55.91442179,55.91442179,55.91442179,55.91442179
57.1,SPIC Shanxi,Shanxi,Shanxi,H-B & Sinter,SPIC,SPIC,Domestic,0,Shanxi,Shuozhou,1104.716647,901.0116181,779.5637135,630.0828696,469.0111647,218.0450301,67.10506644,67.10506644,67.10506644,67.10506644,67.10506644,67.10506644,67.10506644
57.1,SPIC Shanxi,Shanxi,Shanxi,H-B & Sinter,SPIC,SPIC,Domestic,0.8,Shanxi,Wutai,4490.680997,3662.618612,3168.932019,2561.291329,1906.533708,886.3545925,272.7825706,272.7825706,272.7825706,272.7825706,272.7825706,272.7825706,272.7825706
57.1,SPIC Shanxi,Shanxi,Shanxi,H-B & Sinter,SPIC,SPIC,Domestic,1,Shanxi,Xing,15834.4237,12914.62364,11173.85365,9031.274355,6722.557791,3125.342053,961.8485042,961.8485042,961.8485042,961.8485042,961.8485042,961.8485042,961.8485042
57.1,SPIC Shanxi,Shanxi,Shanxi,H-B & Sinter,SPIC,SPIC,Domestic,1,Shanxi,Yuanping,2305.111709,1880.05896,1626.644668,1314.736593,978.642922,454.9747245,140.0220362,140.0220362,140.0220362,140.0220362,140.0220362,140.0220362,140.0220362
58.1,Dongxu Tianyuan,Shanxi,Shanxi,H-B,Tianyuan Chemical,Other,Domestic,0,Shanxi,Lin,2294.461683,2113.476649,2113.476649,2113.476649,2113.476649,2113.476649,2113.476649,2113.476649,2113.476649,2113.476649,2113.476649,2113.476649,2113.476649
58.1,Dongxu Tianyuan,Shanxi,Shanxi,H-B,Tianyuan Chemical,Other,Domestic,0.7,Shanxi,Qinyuan,4702.096369,4331.19932,4331.19932,4331.19932,4331.19932,4331.19932,4331.19932,4331.19932,4331.19932,4331.19932,4331.19932,4331.19932,4331.19932
58.1,Dongxu Tianyuan,Shanxi,Shanxi,H-B,Tianyuan Chemical,Other,Domestic,0,Shanxi,Xiaoyi,5250.819526,4836.639697,4836.639697,4836.639697,4836.639697,4836.639697,4836.639697,4836.639697,4836.639697,4836.639697,4836.639697,4836.639697,4836.639697
59.1,East Hope Lingshi,Shanxi,Shanxi,H-B,East Hope,East Hope,Domestic,0,Shanxi,Jiaokou,5489.756489,3754.700462,2011.174742,2011.174742,2011.174742,2011.174742,2011.174742,2011.174742,2011.174742,2011.174742,2011.174742,2011.174742,2011.174742
59.1,East Hope Lingshi,Shanxi,Shanxi,H-B,East Hope,East Hope,Domestic,1,Shanxi,Lingshi,10307.20432,7049.577684,3776.048908,3776.048908,3776.048908,3776.048908,3776.048908,3776.048908,3776.048908,3776.048908,3776.048908,3776.048908,3776.048908
59.1,East Hope Lingshi,Shanxi,Shanxi,H-B,East Hope,East Hope,Domestic,0.5,Shanxi,Wuxiang,1108.821935,758.3750281,406.2174112,406.2174112,406.2174112,406.2174112,406.2174112,406.2174112,406.2174112,406.2174112,406.2174112,406.2174112,406.2174112
59.1,East Hope Lingshi,Shanxi,Shanxi,H-B,East Hope,East Hope,Domestic,0.5,Shanxi,Xiangyuan,2709.871707,1853.407628,992.7627107,992.7627107,992.7627107,992.7627107,992.7627107,992.7627107,992.7627107,992.7627107,992.7627107,992.7627107,992.7627107
60,Huaqing,Shanxi,Shanxi,H-B,Private,Other,Domestic,0,Shanxi,Lin,767.7574587,644.8858696,494.1958642,303.2589313,64.16540603,64.16540603,64.16540603,64.16540603,64.16540603,64.16540603,64.16540603,64.16540603,64.16540603
60,Huaqing,Shanxi,Shanxi,H-B,Private,Other,Domestic,0.5,Shanxi,Xiaoyi,5082.733204,4269.294665,3271.69173,2007.644761,424.7899335,424.7899335,424.7899335,424.7899335,424.7899335,424.7899335,424.7899335,424.7899335,424.7899335
61,Qiangjin Alumimium,Shanxi,Shanxi,H-B,Private,Other,Domestic,1,Shanxi,Fenxi,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Qiangjin Alumimium,Shanxi,Shanxi,H-B,Private,Other,Domestic,1,Shanxi,Jiaokou,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Qiangjin Alumimium,Shanxi,Shanxi,H-B,Private,Other,Domestic,0,Shanxi,Xiaoyi,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Senze,Shanxi,Shanxi,H-B & Sinter (1.2:0.1),Senze,Other,Domestic,1,Shanxi,Jiaokou,2176.105505,1815.575372,1362.342915,773.2673907,26.29880713,26.29880713,26.29880713,26.29880713,26.29880713,26.29880713,26.29880713,26.29880713,26.29880713
62,Senze,Shanxi,Shanxi,H-B & Sinter (1.2:0.1),Senze,Other,Domestic,1,Shanxi,Liulin,16358.58593,13648.34824,10241.23306,5812.935551,197.6978116,197.6978116,197.6978116,197.6978116,197.6978116,197.6978116,197.6978116,197.6978116,197.6978116
63,Taixing,Shanxi,Shanxi,H-B,Private,Other,Domestic,0,Shanxi,Lin,859.2383204,609.3377413,343.0972122,343.0972122,343.0972122,343.0972122,343.0972122,343.0972122,343.0972122,343.0972122,343.0972122,343.0972122,343.0972122
63,Taixing,Shanxi,Shanxi,H-B,Private,Other,Domestic,0.5,Shanxi,Xiaoyi,3033.790836,2151.444147,1211.404512,1211.404512,1211.404512,1211.404512,1211.404512,1211.404512,1211.404512,1211.404512,1211.404512,1211.404512,1211.404512
64,Wusheng,Shanxi,Shanxi,H-B,Private,Other,Domestic,0,Shanxi,Pinglu,5078.795686,5078.795686,5078.795686,5078.795686,5078.795686,5078.795686,5078.795686,5078.795686,5078.795686,5078.795686,5078.795686,5078.795686,5078.795686
64,Wusheng,Shanxi,Shanxi,H-B,Private,Other,Domestic,0,Shanxi,Xia,171.6476523,171.6476523,171.6476523,171.6476523,171.6476523,171.6476523,171.6476523,171.6476523,171.6476523,171.6476523,171.6476523,171.6476523,171.6476523
65,Xinfa - Jiaokou,Shanxi,Shanxi,H-B,Xinfa,Xinfa,Domestic,0,Shanxi,Fenyang,546.0440104,456.420337,339.5554401,70.41576779,70.41576779,70.41576779,70.41576779,70.41576779,70.41576779,70.41576779,70.41576779,70.41576779,70.41576779
65,Xinfa - Jiaokou,Shanxi,Shanxi,H-B,Xinfa,Xinfa,Domestic,0,Shanxi,Heshun,40.92926498,34.21143454,25.45171143,5.278083019,5.278083019,5.278083019,5.278083019,5.278083019,5.278083019,5.278083019,5.278083019,5.278083019,5.278083019
65,Xinfa - Jiaokou,Shanxi,Shanxi,H-B,Xinfa,Xinfa,Domestic,0,Shanxi,Jiaokou,13618.76962,11383.4843,8468.781312,1756.224958,1756.224958,1756.224958,1756.224958,1756.224958,1756.224958,1756.224958,1756.224958,1756.224958,1756.224958
65,Xinfa - Jiaokou,Shanxi,Shanxi,H-B,Xinfa,Xinfa,Domestic,0,Shanxi,Jiexiu,253.7896305,212.1344552,157.8181392,32.72774969,32.72774969,32.72774969,32.72774969,32.72774969,32.72774969,32.72774969,32.72774969,32.72774969,32.72774969
65,Xinfa - Jiaokou,Shanxi,Shanxi,H-B,Xinfa,Xinfa,Domestic,0,Shanxi,Lin,1359.82778,1136.635586,845.603855,175.358241,175.358241,175.358241,175.358241,175.358241,175.358241,175.358241,175.358241,175.358241,175.358241
65,Xinfa - Jiaokou,Shanxi,Shanxi,H-B,Xinfa,Xinfa,Domestic,0,Shanxi,Loufan,1433.54262,1198.251411,891.4431547,184.8642277,184.8642277,184.8642277,184.8642277,184.8642277,184.8642277,184.8642277,184.8642277,184.8642277,184.8642277
65,Xinfa - Jiaokou,Shanxi,Shanxi,H-B,Xinfa,Xinfa,Domestic,0,Shanxi,Wutai,362.4927685,302.9958546,225.4147819,46.74569472,46.74569472,46.74569472,46.74569472,46.74569472,46.74569472,46.74569472,46.74569472,46.74569472,46.74569472
65,Xinfa - Jiaokou,Shanxi,Shanxi,H-B,Xinfa,Xinfa,Domestic,0,Shanxi,Xiaoyi,2000.528141,1672.176072,1244.020996,257.9805334,257.9805334,257.9805334,257.9805334,257.9805334,257.9805334,257.9805334,257.9805334,257.9805334,257.9805334
65,Xinfa - Jiaokou,Shanxi,Shanxi,H-B,Xinfa,Xinfa,Domestic,0,Shanxi,Zhongyang,461.7408886,385.9541136,287.1318569,59.54435646,59.54435646,59.54435646,59.54435646,59.54435646,59.54435646,59.54435646,59.54435646,59.54435646,59.54435646
66,Xinfa - Xiaoyi,Shanxi,Shanxi,H-B,Xinfa,Xinfa,Domestic,0,Shanxi,Fenyang,569.3636491,97.57633726,97.57633726,97.57633726,97.57633726,97.57633726,97.57633726,97.57633726,97.57633726,97.57633726,97.57633726,97.57633726,97.57633726
66,Xinfa - Xiaoyi,Shanxi,Shanxi,H-B,Xinfa,Xinfa,Domestic,0,Shanxi,Heshun,42.6772114,7.313930174,7.313930174,7.313930174,7.313930174,7.313930174,7.313930174,7.313930174,7.313930174,7.313930174,7.313930174,7.313930174,7.313930174
66,Xinfa - Xiaoyi,Shanxi,Shanxi,H-B,Xinfa,Xinfa,Domestic,0,Shanxi,Jiexiu,264.6281021,45.35140411,45.35140411,45.35140411,45.35140411,45.35140411,45.35140411,45.35140411,45.35140411,45.35140411,45.35140411,45.35140411,45.35140411
66,Xinfa - Xiaoyi,Shanxi,Shanxi,H-B,Xinfa,Xinfa,Domestic,0,Shanxi,Lin,1465.164667,251.0968199,251.0968199,251.0968199,251.0968199,251.0968199,251.0968199,251.0968199,251.0968199,251.0968199,251.0968199,251.0968199,251.0968199
66,Xinfa - Xiaoyi,Shanxi,Shanxi,H-B,Xinfa,Xinfa,Domestic,1,Shanxi,Lingshi,1481.205313,253.8458319,253.8458319,253.8458319,253.8458319,253.8458319,253.8458319,253.8458319,253.8458319,253.8458319,253.8458319,253.8458319,253.8458319
