1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ref cell column =>,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE
tonnage,Ref. No.,Refinery,Province,Province category,Technology,Ownership,Owner,Bauxite,ref cell,ref cell row,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
nan,1.1,Chalco Pingguo,Guangxi,Guangxi,H-B,Chalco,Chalco,Domestic,,,0.91,0.94,0.9,1.25,2.0,1.7,2.0,2.5,2.5,2.5,2.5,2.5,2.5,2.4,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.2,2.2,2.2
nan,1.2,Chalco Zunyi,Guizhou,Guizhou,H-B,Chalco,Chalco,Domestic,,,0.0,0.0,0.0,0.0,0.0,0.24,0.6,0.72,0.72,0.72,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.6,0.5,0.5,0.5,0.5
nan,2,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,,,1.68,2.3,2.0,1.89,1.273,1.65,1.67,1.9,1.9,1.9,1.9,0.95,1.6,1.6,1.2,1.2,1.2,1.2,1.2,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.8
nan,3,Chalco Huaxing,Shanxi,Shanxi,H-B,Chalco,Chalco,Domestic,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.9,1.6,1.9,1.9,1.05,1.15,1.3,1.3,1.3,1.3,1.25,1.25,1.25,1.2,1.2,1.2,1.2
nan,4,Chalco Xinghua,Shanxi,Shanxi,H-B,Chalco,Chalco,Domestic,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.315,0.55,0.9,0.65,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nan,5,Chalco Shanxi,Shanxi,Shanxi,"H-B (Lime), sinter",Chalco,Chalco,Domestic,,,1.5,2.2,2.1,1.98,1.3,1.2,1.3,1.89,2.16,2.16,2.16,1.8,2.0,2.0,1.3,1.0,0.8,0.8,0.8,0.8,0.8,0.5,0.2,0.0,0.0,0.0,0.0
nan,6.1,Chalco Zhongzhou Dom. Bayer,Henan,Henan,H-B-ODT-Sweet,Chalco,Chalco,Domestic,,,0.0,0.7,0.9,1.0,1.0,1.0,1.7,1.7,1.7,1.75,2.05,1.92,1.65,1.65,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nan,6.2,Chalco Guizhou,Guizhou,Guizhou,Series & Sinter (95:25),Chalco,Chalco,Domestic,,,0.9,1.05,1.11,1.1526,1.18,0.9925,1.02,1.08,1.02,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nan,7,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Sinter,Chalco,Chalco,Domestic,,,1.54,1.0,1.0,1.0,0.65,0.6,0.6,0.55,0.55,0.5,0.45,0.45,0.4,0.45,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
nan,8,Chalco Shandong sinter,Shandong,Other,Sintering,Chalco,Chalco,Domestic,,,0.3,0.25,0.3,0.3,0.2,0.2,0.4,0.5,0.5,0.5,0.7,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nan,9,Huayin,Guangxi,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Domestic,,,0.0,0.0,0.065,0.514,1.61,1.7,1.5,1.5,1.9,1.9,2.0,2.2,2.2,2.16,2.3,2.2,2.2,2.2,2.2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
nan,10,Huajin,Guizhou,Guizhou,H-B,"Chalco, Jinjiang",Chalco,Domestic,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.44,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
nan,11,YMG - Wenshan,Yunnan,Other,H-B,Yunnan Aluminium Companuy,Chalco,Domestic,,,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.2,0.6,0.6,0.6,1.0,0.85,1.45,1.6,1.6,1.6,1.6,1.6,1.4,1.4,1.2,1.2,1.2,1.2,1.2,1.2
nan,12,East Hope Lingshi,Shanxi,Shanxi,H-B,East Hope,East Hope,Domestic,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,1.8,1.9,1.85,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
nan,13,East Hope Mianchi,Henan,Henan,"H-B, ODT",East Hope,East Hope,Domestic,,,0.0,0.24,0.9,1.203,1.875,1.992098609,1.91595092,2.0,2.25,2.25,2.45,2.45,2.82,2.63,1.95,1.7,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.5,1.5,1.5,1.5
nan,14,Jinjiang Longzhou,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
nan,15,Jinjiang Tiandong,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.5,0.8,0.7,1.0,0.95,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.8,0.8,0.8,0.8,0.8
nan,16,Fusheng,Shanxi,Shanxi,H-B,Jinjiang,Jinjiang,Domestic,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.6,0.7,0.8,0.8,0.8,0.8,0.8,0.7,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5
