Rank,ROW Importer,ROW Tonnage,ROW % World Exports
1.0,Guinea,3.9169850309166665,0.48820883727633935
2.0,Brazil,1.6266664038333338,0.20274596593648603
3.0,Jamaica,0.918032,0.11442252951311
4.0,Guyana,0.4223025724166667,0.05263534229287031
5.0,Australia,0.3138704375,0.039120476626235794
6.0,Turkey,0.2271029835833334,0.028305873696754906
7.0,Ghana,0.14582928041666665,0.01817600600235246
8.0,Greece,0.11499354166666667,0.014332672407030704
9.0,India,0.11396021691666666,0.014203879912102963
10.0,China,0.07384756591666665,0.009204281866613718
11.0,Trinidad & Tobago,0.026966166666666666,0.003361034257272197
12.0,Montenegro,0.023225037125000004,0.002894743860647982
13.0,Germany,0.016354906625000002,0.0020384581212672553
14.0,France,0.013652458333333334,0.001701627848018738
15.0,Canada,0.013361443499999997,0.0016653560695231771
