Rank,ROW Importer,ROW Tonnage,ROW % World Imports
1.0,United States,1.3684655702500002,0.17056408937771836
2.0,Ukraine,1.3063409198333333,0.162820939197994
3.0,Ireland,1.1645394583333333,0.14514695625024723
4.0,Spain,0.9888356936666668,0.12324742638839471
5.0,Canada,0.9415328816666667,0.11735165434327745
6.0,Germany,0.6557306920833333,0.08172957420608133
7.0,India,0.5361045837916668,0.06681950363496648
8.0,France,0.26308071266666666,0.03279009948393049
9.0,Greece,0.19797918362500003,0.024675914326856785
10.0,"Korea, South",0.13069685000000003,0.016289916012073125
11.0,United Arab Emirates,0.07585951166666668,0.009455048639403944
12.0,Brazil,0.05194064358333334,0.006473826427993672
13.0,Kuwait,0.04976716666666666,0.006202926582843006
14.0,Peru,0.0383695,0.004782333563702871
15.0,Nepal,0.03636713666666666,0.004532761133107529
