Exporter,Importer,Mln t,Last Quarter
Guinea,China,39.52641361157609,9.962822061
Australia,China,38.00702046403261,9.5798517334
Indonesia,China,13.913819460054349,3.5070449050000003
Brazil,China,1.7157264745652177,0.43245708400000005
Solomon Islands,China,1.4885169183695652,0.375187826
Malaysia,China,0.9281560005434784,0.23394617
Other,China,1.3957563023913195,0.35180706800000383
Guinea,Spain,3.9775445199275365,1.0025591666666667
Guinea,Ukraine,3.586683653990036,0.9040408114166666
Guinea,Ireland,3.34337388134058,0.8427134166666667
Guinea,Germany,2.4060654528985506,0.6064603333333334
Guinea,Other,3.31444667916667,0.8354221766666674
Jamaica,United States,3.268831888586956,0.8239247499999999
Brazil,Canada,2.600350258152174,0.6554307500000001
Brazil,Ireland,1.5113596988224638,0.3809454583333333
Other,,8.557584521200182,2.1569802080833336
Seaborne,,129.5416497856178,32.651593918566675
China Portion,,96.97540923153262,24.443116847400006
