index,Exporter.Importer Combination,Exporter,Importer,Total,Rank,Sum,% of total,Annualised
1,Australia_China,Australia,China,10.507915,1.0,10.507915,34.34445450934397,41.68901059782609
161,Guinea_China,Guinea,China,6.841499,2.0,17.349414,56.70546058725973,27.142903641304347
227,Indonesia_China,Indonesia,China,4.139552,3.0,21.488965999999998,70.2353240618942,16.423222608695653
297,Solomon Islands_China,Solomon Islands,China,0.34501,13.0,27.75978369591666,90.73109444962564,1.3687896739130434
24,Brazil_China,Brazil,China,0.29518,14.0,28.05496369591666,91.69587158020465,1.1710945652173914
252,Montenegro_China,Montenegro,China,0.197497,16.0,28.50036155491666,93.15162626674186,0.7835478804347826
336,Turkey_China,Turkey,China,0.125617,21.0,29.25687288824999,95.62423563534351,0.49837179347826094
248,Malaysia_China,Malaysia,China,0.098952,23.0,29.45682280491666,96.27775927129846,0.39258130434782607
237,Jamaica_China,Jamaica,China,0.02127,44.0,30.24782567349999,98.86310203785307,0.08438641304347827
173,Guyana_China,Guyana,China,0.0,358.0,30.59566719029166,99.99999999999997,0.0
140,Ghana_China,Ghana,China,0.0,358.0,30.59566719029166,99.99999999999997,0.0
190,India_China,India,China,0.0,361.0,30.59566719029166,99.99999999999997,0.0
0,Other_China,Other,China,0.0,375.0,30.59566719029166,99.99999999999997,0.0
287,Saudi Arabia_China,Saudi Arabia,China,0.0,386.0,30.59566719029166,99.99999999999997,0.0
289,Sierra Leone_China,Sierra Leone,China,0.0,386.0,30.59566719029166,99.99999999999997,0.0
398,Vietnam_China,Vietnam,China,0.0,392.0,30.59566719029166,99.99999999999997,0.0
305,Spain_China,Spain,China,0.0,399.0,30.59566719029166,99.99999999999997,0.0
377,United States_China,United States,China,0.0,399.0,30.59566719029166,99.99999999999997,0.0
278,Philippines_China,Philippines,China,0.0,399.0,30.59566719029166,99.99999999999997,0.0
276,Pakistan_China,Pakistan,China,0.0,399.0,30.59566719029166,99.99999999999997,0.0
245,Madagascar_China,Madagascar,China,0.0,399.0,30.59566719029166,99.99999999999997,0.0
230,Ireland_China,Ireland,China,0.0,399.0,30.59566719029166,99.99999999999997,0.0
105,Germany_China,Germany,China,0.0,399.0,30.59566719029166,99.99999999999997,0.0
