Exporter,Importer,Mln t
Australia,China,67
Guinea,China,27.142903641304347
Indonesia,China,16.423222608695653
Solomon Islands,China,1.3687896739130434
Brazil,China,1.1710945652173914
Montenegro,China,0.7835478804347826
Other,China,0.97533951086956
Guinea,Spain,3.7303743885869562
Guinea,Ukraine,3.4823897025498187
Guinea,Ireland,3.0281927445652177
Guinea,Germany,2.3728405344202903
Guinea,Other,2.9264149807971034
Jamaica,United States,3.642192173913043
Brazil,Canada,2.7200077717391307
Brazil,Ireland,1.4935514017210145
Other,0,8.435111784929802
Seaborne,0,121.38498396148323
China Portion,0,89.55390847826087
