Name,Value
,0.55
portion capital to port,0.5
portion capital to roads n rail,0.25
portion capital to mine,0.25
Port Life (years),35
Road Life (Years),10
Mine Equip Life (Years),7.5
Sust. Capital Factor,0.039940476190476186
Build Quality,2. Intermediate
Infrastructure Included,3. Mine+Roads/Rail+Port
