Name,Value
,0.75
portion capital to port,0.0
portion capital to roads n rail,0.0
portion capital to mine,1.0
Port Life (years),20
Road Life (Years),5
Mine Equip Life (Years),5
Sust. Capital Factor,0.15000000000000002
Build Quality,3. Cheap n Nasty
Infrastructure Included,1. Mine only
