Name,Value
,0.55
portion capital to port,0.0
portion capital to roads n rail,0.5
portion capital to mine,0.5
Port Life (years),35
Road Life (Years),10
Mine Equip Life (Years),7.5
Sust. Capital Factor,0.06416666666666668
Build Quality,2. Intermediate
Infrastructure Included,2. Mine+Roads/Rail
