,mine_status,creation_date_x,updation_date_x,Mine,creation_date_y,updation_date_y,County,creation_date_x,updation_date_x,Province,creation_date_y,updation_date_y,index,rsdatabase_id,tonnesproduced,gradeal2o3,asa,miningscale,mineautolevel,minetypeopenpit,minetypeunderground,depthopenpit,depthunderground,StrippingRatioOpenPit,strippingratiounderground,dressingautolevel,distanceopenpit,distanceunderground,localtaxandfees,distance,dressingratio,empty
0,Operational,,2020-08-12 00:39:04.160,Xiaoguan Bx mine,,,Gongyi,,,Henan,,,0,2,1137.16698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0
1,Operational,,2020-08-12 00:39:04.160,Hejiagetai Bx mine,,,Xing,,,Shanxi,,,9,11,1081.832527,0.6616,8.74,3,3,0.12,0.88,110.0917884,215.0917884,1.865444193,0.7,3,20,20,21,100,0,0
2,Operational,,2020-08-12 00:39:04.160,Chaichang Bx mine,,,Xiaoyi,,,Shanxi,,,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
3,Operational,,2020-08-12 00:39:04.160,Xiangwang Bx mine,,,Xiaoyi,,,Shanxi,,,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
4,Operational,,2020-08-12 00:39:04.160,Ke'e Bx mine,,,Xiaoyi,,,Shanxi,,,13,15,601.0180703,0.6449,4.79,3,2,1,0,115.0917884,0,9.207343073,0,2,20,0,21,50,0,0
5,Operational,,2020-08-12 00:39:04.160,CPI Wutai Tianhe Bx mine,,,Wutai,,,Shanxi,,,14,16,1202.036141,0.632,5.85,3,3,1,0,95.09178842,0,9.509178842,0,3,20,0,21,95,0,0
6,Operational,,2020-08-12 00:39:04.160,Houwucheng Bx mine,,,Jiaokou,,,Shanxi,,,15,17,240.4072281,0.6463,6.39,2,3,1,0,95.09178842,0,9.509178842,0,3,20,0,21,20,0,0
7,Operational,,2020-08-12 00:39:04.160,Chaclo Niucaogou Bx mine,,,Jiaokou,,,Shanxi,,,16,18,0,0.682,5.5,2,3,1,0,85.09178842,0,12.76376826,0,3,20,0,21,20,0,0
8,Operational,,2020-08-12 00:39:04.160,Gu County Jindui Bauxite mine,,,Gu,,,Shanxi,,,17,19,480.8144562,0.6,4.8,2,3,1,0,105.0917884,0,9.195531487,0,3,20,0,21,20,0,0
9,Operational,,2020-08-12 00:39:04.160,Qianmuping Bx mine,,,Yangquan,,,Shanxi,,,18,20,0,0.591,3.58,2,2,1,0,80.09178842,0,26.69726281,0,2,15,0,21,20,0,0
10,Operational,,2020-08-12 00:39:04.160,Chenlou Bx mine,,,Dengfeng,,,Henan,,,1,3,113.716698,0.6009,4.91,1,2,1,0,77.66867585,0,5.825150689,0,2,20,0,27.25,27,0,0
11,Operational,,2020-08-12 00:39:04.160,Caoping Bx mine,,,Ningwu,,,Shanxi,,,19,21,1322.239755,0.5853,5.24,3,3,1,0,80.09178842,0,26.69726281,0,3,20,0,21,70,0,0
12,Operational,,2020-08-12 00:39:04.160,Caochuan Bx mine,,,Pinglu,,,Shanxi,,,20,22,0,0.648,5.8,3,3,1,0,77.09178842,0,32.12157851,0,3,20,0,21,50,0,0
13,Operational,,2020-08-12 00:39:04.160,Dongling Bx mine,,,Debao,,,Guangxi,,2020-08-13 10:46:45.210,21,23,986.3351217,0.5033,8.85,3,3,1,0,45.6753034,0,0,0,3,15,0,25,40,2,0
14,Operational,,2020-08-12 00:39:04.160,Lutong East and Sanhe East Bx mine,,,Jingxi,,,Guangxi,,2020-08-13 10:46:45.210,22,24,3205.589145,0.5701,9.61,3,3,1,0,20.1753034,0,0,0,3,15,0,25,60,2,0
15,Operational,,2020-08-12 00:39:04.160,Jiaomei Bx mine,,,Pingguo,,,Guangxi,,2020-08-13 10:46:45.210,23,25,493.1675608,0.5227,13.76,2,3,1,0,20.6753034,0,0,0,3,20,0,25,20,2,0
16,Operational,,2020-08-12 00:39:04.160,Nadou Bx mine,,,Pingguo,,,Guangxi,,2020-08-13 10:46:45.210,24,26,1335.251171,0.5962,9.93,3,3,1,0,16.2353034,0,0,0,3,20,0,25,20,2,0
17,Operational,,2020-08-12 00:39:04.160,Maijiuping Bx mine,,,Qingzhen,,,Yunnan,,,25,27,706.5107665,0.519,6.55,3,2,1,0,37.21640946,0,37.21640946,0,2,15,0,28,130,0,0
18,Operational,,2020-08-12 00:39:04.160,Hongsheke Bx mine,,,Qingzhen,,,Yunnan,,,26,28,321.1412575,0.523,6.8,3,2,1,0,37.21640946,0,59.54625513,0,2,15,0,28,75,0,0
19,Operational,,2020-08-12 00:39:04.160,Banmao Bx mine,,,Qingzhen,,,Yunnan,,,27,29,695.8060579,0.5268,8.26,3,2,1,0,38.21640946,0,25.47760631,0,2,15,0,28,160,0,0
20,Operational,,2020-08-12 00:39:04.160,Maiba Bx mine,,,Wuchuan,,,Guizhou,,,28,30,494.2555128,0.662,6.12,3,3,0,1,0,143.657875,0,2.3,2,20,20,30,32,0,0
21,Operational,,2020-08-12 00:39:04.160,Yangtai Bx mine,,,Xinmi,,,Henan,,,2,4,0,0.689,8.3,3,1,1,0,77.66867585,0,9.708584481,0,1,20,0,27.25,50,0,0
22,Operational,,2020-08-12 00:39:04.160,Maochang Bx mine,,,Wuchuan,,,Guizhou,,,29,31,1186.213231,0.68,9.47,3,3,0,1,0,131.657875,0,2.1,3,8,8,30,50,0,0
23,Operational,,2020-08-12 00:39:04.160,Chenqian 213 Bx mine,,,Nanchuan,,,Guizhou,,,33,35,494.2555128,0.686,6,3,3,0.5,0.5,43.65787504,73.65787504,6.548681256,3.2,2,20,20,30,35,0,0
24,Operational,,2020-08-12 00:39:04.160,Xianrenyan Bx mine,,,Nanchuan,,,Guizhou,,,34,36,296.5533077,0.575,6.95,2,2,1,0,43.65787504,0,6.985260007,0,2,20,0,30,26,0,0
25,Operational,,2020-08-12 00:39:04.160,County Total,,,Wenshan,,,Guangxi,,2020-08-13 10:46:45.210,45,47,885.7161183,0.503952124,5.312981628,1,2,1,0,22.6753034,0,0,0,2,18,0,25,0,2,0
26,Operational,,2020-08-12 00:39:04.160,County Total,,,Wenshan,,,Guangxi,,2020-08-13 10:46:45.210,46,48,979.2197602,0.520067144,8.0490789,1,2,1,0,20.6753034,0,0,0,2,10,0,25,0,2,0
27,Operational,,2020-08-12 00:39:04.160,County Total,,,Wulong,,,Chongqing,,,35,37,347.9696257,0.616214108,6.448240886,3,2,0,1,0,110.6712755,0,0.5,2,0,20,30,0,0,0
28,Operational,,2020-08-12 00:39:04.160,County Total,,,Chongzuo,,,Chongqing,,,36,38,218.0360176,0.563709812,5.228765189,1,2,0,1,0,110.6712755,0,0.5,2,0,20,30,0,0,0
29,Operational,,2020-08-12 00:39:04.160,County Total,,,Tianyang,,,Guizhou,,,42,44,242.3846949,0.664,6.9,1,1,1,0,43.65787504,0,0,0,1,5,0,30,0,0,0
30,Operational,,2020-08-12 00:39:04.160,County Total,,,Longli,,,Guangxi,,2020-08-13 10:46:45.210,43,45,886.7134065,0.5,5,3,2,1,0,22.6753034,0,0,0,2,26,0,25,0,2,0
31,Operational,,2020-08-12 00:39:04.160,County Total,,,Guiyang,,,Guizhou,,,47,49,201.6440541,0.65,6.7,1,1,1,0,53.65787504,0,7.154383339,0,1,5,0,30,0,0,0
32,Operational,,2020-08-12 00:39:04.160,County Total,,,Huangping,,,Guizhou,,,48,50,617.882999,0.663537512,6.742442304,1,1,0,1,0,133.657875,0,2.6,1,15,15,30,0,0,0
33,Operational,,2020-08-12 00:39:04.160,County Total,,,Kaili,,,Guizhou,,,49,51,493.2649734,0.6811,6.8,1,1,1,0,53.65787504,0,7.154383339,0,1,5,0,30,0,0,0
34,Operational,,2020-08-12 00:39:04.160,County Total,,,Kaiyang,,,Guizhou,,,50,52,799.7092209,0.633358857,6.649060347,1,1,1,0,53.65787504,0,8.942979174,0,1,5,0,30,0,0,0
35,Operational,,2020-08-12 00:39:04.160,County Total,,,Weng'an,,,Guizhou,,,51,53,396.3401987,0.691590604,7.67667196,1,1,0.5,0.5,53.65787504,133.657875,5.365787504,2.1,1,5,5,30,0,0,0
36,Operational,,2020-08-12 00:39:04.160,County Total,,,Xifeng,,,Guizhou,,,53,55,165.901262,0.6041,7,1,1,1,0,53.65787504,0,7.154383339,0,1,0,0,30,0,0,0
37,Operational,,2020-08-12 00:39:04.160,County Total,,,Tongzi,,,Guizhou,,,55,57,63.43211347,0.6241,4.4,1,1,0.5,0.5,33.65787504,133.657875,6.731575008,2.4,1,0,0,30,0,0,0
38,Operational,,2020-08-12 00:39:04.160,County Total,,,Zhijin,,,Guizhou,,,56,58,1724.504934,0.645132763,5.66291595,1,1,1,0,33.65787504,0,16.82893752,0,1,5,0,30,8,0,0
39,Operational,,2020-08-12 00:39:04.160,County Total,,,Baofeng,,,Guizhou,,,57,59,5.640642908,0.591172029,5.984797468,1,1,1,0,38.65787504,0,11.59736251,0,1,5,0,30,0,0,0
40,Operational,,2020-08-12 00:39:04.160,County Total,,,Hubin,,,Guizhou,,,58,60,153.9304012,0.6578,8.06,1,1,0,1,0,0,0,0,1,0,0,30,0,0,0
41,Operational,,2020-08-12 00:39:04.160,County Total,,,Jiyuan,,,Henan,,,60,62,727.0377984,0.613675413,4.783374175,1,2,1,0,87.66867585,0,11.68915678,0,2,12,0,27.25,0,0,0
42,Operational,,2020-08-12 00:39:04.160,County Total,,,Ruyang,,,Henan,,,63,65,145.6149543,0.6,4,1,2,1,0,77.66867585,0,23.30060275,0,2,0,0,27.25,0,0,0
43,Operational,,2020-08-12 00:39:04.160,County Total,,,Ruzhou,,,Henan,,,64,66,1067.012209,0.6,4,1,2,1,0,77.66867585,0,23.30060275,0,2,0,0,27.25,0,0,0
44,Operational,,2020-08-12 00:39:04.160,County Total,,,Sanmenxia,,,Henan,,,65,67,163.2607866,0.6,4,1,2,1,0,77.66867585,0,23.30060275,0,2,0,0,27.25,0,0,0
45,Operational,,2020-08-12 00:39:04.160,County Total,,,Xingyang,,,Henan,,,66,68,299.5121989,0.670087176,5.86587991,1,2,1,0,77.66867585,0,11.65030138,0,2,12,0,27.25,0,0,0
46,Operational,,2020-08-12 00:39:04.160,County Total,,,Yuzhou City,,,Henan,,,68,70,302.1211943,0.6,4,1,2,1,0,77.66867585,0,15.53373517,0,2,0,0,27.25,0,0,0
47,Operational,,2020-08-12 00:39:04.160,County Total,,,Yicheng,,,Henan,,,69,71,469.7705793,0.6,4,1,2,1,0,77.66867585,0,15.53373517,0,2,0,0,27.25,0,0,0
48,Operational,,2020-08-12 00:39:04.160,County Total,,,Chenxi,,,Henan,,,70,72,268.6256117,0.635274425,6.128702067,1,2,1,0,77.66867585,0,15.53373517,0,2,0,0,27.25,0,0,0
49,Operational,,2020-08-12 00:39:04.160,County Total,,,Baode,,,Henan,,,71,73,280.1305905,0.6468,5.7,1,2,1,0,77.66867585,0,15.53373517,0,2,15,0,27.25,0,0,0
50,Operational,,2020-08-12 00:39:04.160,County Total,,,Fenyang,,,Henan,,,74,76,833.593523,0.6672,4,1,2,1,0,77.66867585,0,15.74568894,0,2,10,0,27.25,0,0,0
51,Operational,,2020-08-12 00:39:04.160,County Total,,,Heshun,,,Henan,,,78,80,908.288303,0.64,5,1,2,1,0,90.67346586,0,9.067346586,0,2,10,0,27.25,0,0,0
52,Operational,,2020-08-12 00:39:04.160,County Total,,,Huairen,,,Hubei,,,79,81,421.0738222,0.643608944,5.25,1,1,0,1,0,156.0856057,0,1,1,0,20,30,0,0,0
53,Operational,,2020-08-12 00:39:04.160,County Total,,,Jiexiu,,,Henan,,,80,82,193.411105,0.6219,5,1,1,0,1,0,176.3664199,0,1,1,0,20,30,0,0,0
54,Operational,,2020-08-12 00:39:04.160,County Total,,,Jincheng,,,Shanxi,,,81,83,2939.539812,0.592433648,8.633615685,1,2,1,0,95.09178842,0,12.67890512,0,2,10,0,21,0,0,0
55,Operational,,2020-08-12 00:39:04.160,County Total,,,Lingshi,,,Shanxi,,,84,86,542.9092518,0.6458,6.132953466,1,2,1,0,95.09178842,0,12.67890512,0,2,0,0,21,0,0,0
56,Operational,,2020-08-12 00:39:04.160,County Total,,,Yu,,,Shanxi,,,87,89,197.1894378,0.6,4.8,1,2,1,0,80.09178842,0,21.35781024,0,2,0,0,21,0,0,0
