label_regardless,linear_order,rank,mine_id,prodn_capacity,series_1,series_2,series_3,series_4,series_5,series_6,series_7,series_8,series_9,series_10,total_cost
,1,,mine_154,0,0,0,0,0,0,0,0,0,0,0,
,2,,mine_213,0,0,0,0,0,0,0,0,0,0,0,
,3,,mine_214,0,0,0,0,0,0,0,0,0,0,0,
1,4,,mine_152,1,22.23696303,0,0,0,0,0,0,0,0,0,
,5,,mine_56,8.6,23.25931928,0,0,0,0,0,0,0,0,0,
,6,,mine_146,2.8,32.93129375,0,0,0,0,0,0,0,0,0,
,7,,mine_50,4.2,34.06173177,0,0,0,0,0,0,0,0,0,
,8,,mine_103,3,34.36529686,0,0,0,0,0,0,0,0,0,
,9,,mine_126,9,35.05316578,0,0,0,0,0,0,0,0,0,
,10,,mine_58,7,36.80947881,0,0,0,0,0,0,0,0,0,
,11,,mine_70,0,38.09874868,0,0,0,0,0,0,0,0,0,
,12,,mine_69,0,38.78096731,0,0,0,0,0,0,0,0,0,
,13,,mine_215,0,38.78096731,0,0,0,0,0,0,0,0,0,
,14,,mine_37,0.5,40,0,0,0,0,0,0,0,0,0,
,15,,mine_99,5.56,40.15104228,0,0,0,0,0,0,0,0,0,
,16,,mine_100,9,40.66062485,0,0,0,0,0,0,0,0,0,
,17,,mine_105,10,41.67233966,0,0,0,0,0,0,0,0,0,
,18,,mine_216,0,0,41.67233966,0,0,0,0,0,0,0,0,
,19,,mine_75,0,41.782499,0,0,0,0,0,0,0,0,0,
,20,,mine_75,22.8,41.782499,0,0,0,0,0,0,0,0,0,
,21,,mine_97,8.65,43.10650493,0,0,0,0,0,0,0,0,0,
,22,,mine_71,6,43.18924573,0,0,0,0,0,0,0,0,0,
,23,,mine_101,9,43.26388006,0,0,0,0,0,0,0,0,0,
,24,,mine_111,5.598438994,44.61228172,0,0,0,0,0,0,0,0,0,
,25,,mine_110,0,45.82582872,0,0,0,0,0,0,0,0,0,
,26,,mine_217,0,46.19089083,0,0,0,0,0,0,0,0,0,
,27,,mine_228,7,0,46.19089083,0,0,0,0,0,0,0,0,
,28,,mine_53,0,46.59111881,0,0,0,0,0,0,0,0,0,
,29,,mine_108,0,46.73237702,0,0,0,0,0,0,0,0,0,
,30,,mine_218,2.960090316,0,46.73237702,0,0,0,0,0,0,0,0,
,31,,mine_155,0,47.50551135,0,0,0,0,0,0,0,0,0,
,32,,mine_219,26.4,0,47.50551135,0,0,0,0,0,0,0,0,
,33,,mine_52,0,47.78133815,0,0,0,0,0,0,0,0,0,
,34,,mine_220,10.8,0,48.16825339,0,0,0,0,0,0,0,0,
,35,,mine_221,0,0,48.37500407,0,0,0,0,0,0,0,0,
,36,,mine_222,0,0,49.49918761,0,0,0,0,0,0,0,0,
,37,,mine_118,0,49.66662188,0,0,0,0,0,0,0,0,0,
,38,,mine_104,0,50.00286218,0,0,0,0,0,0,0,0,0,
,39,,mine_223,0,0,50.00286218,0,0,0,0,0,0,0,0,
,40,,mine_94,0,51.38632167,0,0,0,0,0,0,0,0,0,
,41,,mine_224,0,0,51.38632167,0,0,0,0,0,0,0,0,
,42,,mine_225,0,51.59333104,0,0,0,0,0,0,0,0,0,
,43,,mine_109,0,51.90709735,0,0,0,0,0,0,0,0,0,
,44,,mine_63,0,52.02479945,0,0,0,0,0,0,0,0,0,
,45,,mine_95,0,52.31608248,0,0,0,0,0,0,0,0,0,
1,46,,mine_226,1.120642947,0,52.31608248,0,0,0,0,0,0,0,0,
,47,,mine_107,0,52.55354986,0,0,0,0,0,0,0,0,0,
,48,,mine_106,0,54.98061112,0,0,0,0,0,0,0,0,0,
,49,,mine_227,0,0,54.98061112,0,0,0,0,0,0,0,0,
,50,,mine_74,0,57.06558465,0,0,0,0,0,0,0,0,0,
,51,,mine_72,0,62.26113509,0,0,0,0,0,0,0,0,0,
,52,,mine_87,0,66.9091472,0,0,0,0,0,0,0,0,0,
,53,,mine_81,0,74.25698773,0,0,0,0,0,0,0,0,0,
,54,,mine_82,0,84.70834808,0,0,0,0,0,0,0,0,0,
