refinery,province,category,technology,ownership,owner,bauxite,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Bosai Xianfeng domestic,Chongqing,Other,H-B,Bosai,Other,Domestic,0.08,0.22999999999999998,0.40499999999999997,0.5549999999999999,0.7549999999999999,0.8689999999999999,0.9689999999999999,1.2239999999999998,1.4789999999999996,1.7389999999999997,2.0089999999999995,2.2789999999999995,2.7789999999999995,3.3789999999999996,3.9789999999999996,4.478999999999999,4.978999999999999,5.478999999999999,6.005666666666666,6.517666666666665,7.010999999999998,7.472249999999998,7.8984999999999985,8.205062499999999,8.405062499999998,8.405062499999998,8.405062499999998
Bosai Xianfeng import,Chongqing,Other,L-B,Bosai,Other,Imported,0.0,0.0,0.0,0.0,0.0,0.015,0.115,0.315,0.515,0.7150000000000001,1.09,1.465,1.695,1.905,2.205,2.605,2.905,3.2049999999999996,3.5049999999999994,3.8049999999999993,4.1049999999999995,4.1049999999999995,4.1049999999999995,4.1049999999999995,4.1049999999999995,4.1049999999999995,4.1049999999999995
Bosai Wanzhou,Chongqing,Other,L-B,Bosai,Other,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.7,2.9,5.3,7.699999999999999,10.6,14.2,17.8,21.400000000000002
Shuijiang,Chongqing,Other,H-B,Bosai,Other,Domestic,0.0,0.0,0.0,0.0,0.0,0.04,0.2,0.6000000000000001,1.2000000000000002,1.9200000000000002,1.9200000000000002,1.9200000000000002,1.9200000000000002,1.9200000000000002,2.164,2.864,3.564,4.264,5.185666666666667,6.081666666666667,6.945,7.7521875,8.498125,9.0090625,9.5090625,10.0090625,10.5090625
Tuoyuan,Chongqing,Other,H-B,SPIC,SPIC,Domestic,0.07,0.15000000000000002,0.271,0.42100000000000004,0.42100000000000004,0.42100000000000004,0.42100000000000004,0.42100000000000004,0.42100000000000004,0.42100000000000004,0.42100000000000004,0.42100000000000004,0.42100000000000004,0.42100000000000004,0.42100000000000004,0.42100000000000004,0.42100000000000004,0.42100000000000004,0.42100000000000004,0.42100000000000004,0.42100000000000004,0.42100000000000004,0.42100000000000004,0.42100000000000004,0.42100000000000004,0.42100000000000004,0.42100000000000004
Chalco Pingguo ,Guangxi,Guangxi,H-B,Chalco,Chalco,Domestic,0.91,1.85,2.75,4.0,6.0,7.7,9.7,12.2,14.7,17.2,19.7,22.2,24.7,27.099999999999998,29.599999999999998,32.099999999999994,34.599999999999994,37.099999999999994,39.599999999999994,42.099999999999994,44.599999999999994,47.099999999999994,49.599999999999994,52.099999999999994,54.52105263157894,56.97175685693105,59.422461082283164
Jinjiang Chongzuo domestic,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.8,1.3,1.7000000000000002,2.1,2.4,2.6999999999999997,3.063157894736842,3.430763528539659,3.7983691623424756
Jinjiang Chongzuo import,Guangxi,Guangxi,L-B,Jinjiang,Jinjiang,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.9,1.4,1.9,2.4,2.9,3.4,3.9,4.4
Huayin,Guangxi,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Domestic,0.0,0.0,0.065,0.579,2.189,3.8890000000000002,5.389,6.889,8.789,10.689,12.689,14.889,17.089,19.249,21.549,23.749,25.948999999999998,28.148999999999997,30.348999999999997,32.349,34.349,36.349,38.349,40.349,42.77005263157894,45.220756856931054,47.671461082283166
Jinjiang Tiandong,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.95,1.75,2.45,3.45,4.4,5.28,6.28,7.28,8.280000000000001,9.280000000000001,10.280000000000001,11.280000000000001,12.280000000000001,13.080000000000002,13.880000000000003,14.848421052631581,15.828702742772427,16.80898443291327
Xinfa Jingxi,Guangxi,Guangxi,H-B,Xinfa,Xinfa,Domestic,0.0,0.0,0.0,0.64,1.573539394,3.373539394,5.173539394,7.213539394,9.253539394,11.413539394,13.593539394,15.393539394000001,17.793539394,19.993539394,22.345539394,24.845539394,27.345539394,29.845539394,31.845539394,33.845539394,35.845539394,37.845539394,39.845539394,41.845539394,44.266592025578944,46.71729625093106,49.16800047628317
Fangcheng,Guangxi,Guangxi,L-B,Chalco,Chalco,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,2.85,4.85,6.85,9.85,12.85,15.85,18.85,22.85,26.85,30.85,34.85
Tiangui,Guangxi,Guangxi,H-B,Zengshi,Other,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.4,2.0999999999999996,2.8999999999999995,3.6999999999999993,5.249999999999999,6.85,8.45,10.049999999999999,11.986842105263158,13.947405485544849,15.90796886582654
Beihai_GIG,Guangxi,Guangxi,L-B,GIG,Other,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.1
Baise Mining,Guangxi,Guangxi,H-B,Baise Mining,Other,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.6,2.4000000000000004,3.2,4.0,4.8,5.7,6.7,7.7
Chalco Guizhou,Guizhou,Guizhou,Series & Sinter (95:25),Chalco,Chalco,Domestic,0.9,1.9500000000000002,3.0600000000000005,4.2126,5.3926,6.3850999999999996,7.405099999999999,8.4851,9.505099999999999,10.585099999999999,10.585099999999999,10.585099999999999,10.585099999999999,10.585099999999999,10.585099999999999,10.585099999999999,10.585099999999999,10.585099999999999,10.585099999999999,10.585099999999999,10.585099999999999,10.585099999999999,10.585099999999999,10.585099999999999,10.585099999999999,10.585099999999999,10.585099999999999
Chalco Zunyi,Guizhou,Guizhou,H-B,Chalco,Chalco,Domestic,0.0,0.0,0.0,0.0,0.0,0.24,0.84,1.56,2.2800000000000002,3.0,3.9,4.9,5.9,6.9,7.9,8.9,9.9,10.9,11.940000000000001,13.034339622641511,13.909811320754718,14.789811320754719,15.459042089985488,16.019042089985486,16.519042089985486,16.969042089985486,17.419042089985485
Xian,Guizhou,Guizhou,H-B,Zengshi Group,Other,Domestic,0.0,0.0,0.0,0.0,0.1,0.2,0.30000000000000004,0.38000000000000006,0.4600000000000001,0.54,0.62,0.7,0.7799999999999999,0.8599999999999999,0.8599999999999999,0.8599999999999999,0.8599999999999999,1.0599999999999998,1.5799999999999998,2.1271698113207544,2.6743396226415093,3.3343396226415094,4.0035703918722785,4.0035703918722785,4.0035703918722785,4.0035703918722785,4.0035703918722785
Huafei,Guizhou,Guizhou,H-B,Shanghai Huafei Investment Co.Ltd,Other,Domestic,0.0,0.0,0.0,0.1,0.1,0.14,0.167417219,0.207417219,0.237417219,0.357417219,0.517417219,0.6774172190000001,0.8374172190000001,0.9874172190000001,1.0274172190000002,1.1274172190000002,1.2274172190000003,1.3274172190000004,1.4314172190000005,1.5408511812641514,1.6502851435283024,1.7602851435283025,1.871823605066764,1.983823605066764,2.083823605066764,2.183823605066764,2.283823605066764
Qingzhen Guanglv,Guizhou,Guizhou,H-B,Guangdong Guang Al Group Co.Ltd,Other,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.65,1.1,1.55,2.0,2.5,3.05,3.55,4.05,4.55,5.05,5.882,6.757471698113207,7.632943396226414,8.732943396226414,9.848328011611029,10.968328011611028,11.968328011611028,12.968328011611028,13.968328011611028
Qizheng Chemical,Guizhou,Guizhou,H-B,Qiya,Qiya,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.25,0.7,1.45,1.95,2.55,3.55,4.55,5.45,6.45,7.45,8.45,9.489999999999998,10.584339622641508,11.569245283018866,12.559245283018866,13.563091436865019,14.571091436865018,15.471091436865018,16.37109143686502,17.271091436865017
Qizheng Chemical Added LT,Guizhou,Guizhou,L-B,Qiya,Qiya,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.25,0.45,0.65,0.8500000000000001,1.05,1.25,1.45,1.65,1.8499999999999999,2.05,2.25,2.45
