refinery,province,category,technology,ownership,owner,bauxite,Factor X,Alumina Grade,A/S,open stock,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Shuijiang,Guangxi,Chongqing,H-B,Bosai,Other,Domestic,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shuijiang,Guizhou,Chongqing,H-B,Bosai,Other,Domestic,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shuijiang,Henan,Chongqing,H-B,Bosai,Other,Domestic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shuijiang,Shanxi,Chongqing,H-B,Bosai,Other,Domestic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shuijiang,Other,Chongqing,H-B,Bosai,Other,Domestic,20.0,0.5854034022076462,5.158592709060215,9926.279999999999,0.9999899257323992,0.9999899257323992,0.9999899257323992,0.9999899257323992,0.9999899257323992,0.9919357633791751,0.9591073252024471,0.8766009775712846,0.752271225219405,0.6024665474320529,0.6024665474320529,0.6024665474320529,0.6024665474320529,0.6024665474320529,0.5516025685991199,0.40524561403726983,0.25835367400683573,0.25835367400683573,0.25835367400683573,0.25835367400683573,0.25835367400683573,0.25835367400683573,0.25835367400683573,0.25835367400683573,0.25835367400683573,0.25835367400683573,0.25835367400683573
Tuoyuan,Guangxi,Chongqing,H-B,SPIC,SPIC,Domestic,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tuoyuan,Guizhou,Chongqing,H-B,SPIC,SPIC,Domestic,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tuoyuan,Henan,Chongqing,H-B,SPIC,SPIC,Domestic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tuoyuan,Shanxi,Chongqing,H-B,SPIC,SPIC,Domestic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tuoyuan,Other,Chongqing,H-B,SPIC,SPIC,Domestic,1.0,0.5637098124098119,4.183012151094008,8499.96,0.9818858899951372,0.9598089576248859,0.9256094684813717,0.8821691688374211,0.8821691688374211,0.8821691688374211,0.8821691688374211,0.8821691688374211,0.8821691688374211,0.8821691688374211,0.8821691688374211,0.8821691688374211,0.8821691688374211,0.8821691688374211,0.8821691688374211,0.8821691688374211,0.8821691688374211,0.8821691688374211,0.8821691688374211,0.8821691688374211,0.8821691688374211,0.8821691688374211,0.8821691688374211,0.8821691688374211,0.8821691688374211,0.8821691688374211,0.8821691688374211
Chalco Pingguo ,Guangxi,Guangxi,H-B,Chalco,Chalco,Domestic,3.0,0.5633819301769838,8.062053364706543,269454.66625,0.9929476570216725,0.9852303348549224,0.9777896807384832,0.9673972524178327,0.9506636644932792,0.9363601667379743,0.919454511068648,0.8982207127011024,0.8768881685658476,0.8554672603185259,0.8339654979869126,0.8123885327970781,0.7907407435046148,0.769895459900216,0.7481182576808096,0.7262786317924999,0.7043784115008213,0.6824190757545243,0.6604018076192928,0.6383275357451594,0.6161969650177596,0.594010599075212,0.5717687564909782,0.5494715818303957,0.5278257670562986,0.5058618044889059,0.4838441521643504
Chalco Pingguo ,Guizhou,Guangxi,H-B,Chalco,Chalco,Domestic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chalco Pingguo ,Henan,Guangxi,H-B,Chalco,Chalco,Domestic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chalco Pingguo ,Shanxi,Guangxi,H-B,Chalco,Chalco,Domestic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chalco Pingguo ,Other,Guangxi,H-B,Chalco,Chalco,Domestic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jinjiang Chongzuo domestic,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,5.0,0.4675812427093581,4.369861405816599,86592.17,0.9999988451611618,0.9999988451611618,0.9999988451611618,0.9999988451611618,0.9999988451611618,0.9999988451611618,0.9999988451611618,0.9999988451611618,0.9999988451611618,0.9999988451611618,0.9999988451611618,0.9999988451611618,0.9999988451611618,0.9999988451611618,0.9999988451611618,0.9999988451611618,0.9999988451611618,0.9902639756289061,0.972473221761207,0.954425308591584,0.9398636728794463,0.9252131564413264,0.9141743853238333,0.9030960169644017,0.8896364211665639,0.8759612976104465,0.8622384988424555
Jinjiang Chongzuo domestic,Guizhou,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jinjiang Chongzuo domestic,Henan,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jinjiang Chongzuo domestic,Shanxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jinjiang Chongzuo domestic,Other,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jinjiang Chongzuo import,Guangxi,Guangxi,L-B,Jinjiang,Jinjiang,Imported,5.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jinjiang Chongzuo import,Guizhou,Guangxi,L-B,Jinjiang,Jinjiang,Imported,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jinjiang Chongzuo import,Henan,Guangxi,L-B,Jinjiang,Jinjiang,Imported,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jinjiang Chongzuo import,Shanxi,Guangxi,L-B,Jinjiang,Jinjiang,Imported,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jinjiang Chongzuo import,Other,Guangxi,L-B,Jinjiang,Jinjiang,Imported,1.0,0.54,6.000000000000001,,0.999999797979796,0.999999797979796,0.999999797979796,0.999999797979796,0.999999797979796,0.999999797979796,0.999999797979796,0.999999797979796,0.999999797979796,0.999999797979796,0.999999797979796,0.999999797979796,0.999999797979796,0.999999797979796,0.999999797979796,0.999999797979796,0.999999797979796,0.999999797979796,0.9991187669808849,0.997996960461393,0.9968703163437854,0.9957400431055707,0.9946067599277554,0.9934708605306217,0.9923326218494769,0.9911922514349399,0.9900499118057386
Huayin,Guangxi,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Domestic,1.8,0.5048711444066158,6.169867995345129,280457.57425,0.9999996434398277,0.9999996434398277,0.9994551827460008,0.9949631148648955,0.9806082311658748,0.96522656488148,0.9515242333612283,0.9377238521465994,0.9201232567666223,0.9024050028001628,0.883640211517376,0.8628755697224841,0.8419911876475079,0.8213771455859732,0.7993139342387201,0.7781054896757974,0.7567984349036451,0.7353955875886625,0.7138991847940327,0.6942772987690746,0.6745805762235265,0.654809812278352,0.6349655763277526,0.615048237792754,0.5908402521091143,0.5662269509888093,0.5415037289611723
Huayin,Guizhou,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Domestic,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Huayin,Henan,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Domestic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Huayin,Shanxi,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Domestic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Huayin,Other,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Domestic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
