refinery,province,Province,technology,ownership,owner,bauxite,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,Alumina Grade
Bosai Wanzhou,Other,Chongqing,L-B,Bosai,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011111627764543362
Shuijiang,Guangxi,Chongqing,H-B,Bosai,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Shuijiang,Guizhou,Chongqing,H-B,Bosai,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Shuijiang,Henan,Chongqing,H-B,Bosai,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Shuijiang,Shanxi,Chongqing,H-B,Bosai,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Shuijiang,Other,Chongqing,H-B,Bosai,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11704542404914994
Tuoyuan,Guangxi,Chongqing,H-B,SPIC,SPIC,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Tuoyuan,Guizhou,Chongqing,H-B,SPIC,SPIC,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Tuoyuan,Henan,Chongqing,H-B,SPIC,SPIC,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Tuoyuan,Shanxi,Chongqing,H-B,SPIC,SPIC,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Tuoyuan,Other,Chongqing,H-B,SPIC,SPIC,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09776059146022446
Chalco Pingguo ,Guangxi,Guangxi,H-B,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0700405217246699
Chalco Pingguo ,Guizhou,Guangxi,H-B,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Chalco Pingguo ,Henan,Guangxi,H-B,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Chalco Pingguo ,Shanxi,Guangxi,H-B,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
