refinery,province,Province,technology,ownership,owner,bauxite,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Bosai Xianfeng domestic,Guangxi,Chongqing,H-B,Bosai,Other,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosai Xianfeng domestic,Guizhou,Chongqing,H-B,Bosai,Other,Domestic,59.34376238845998,113.31247704064589,132.90652957877785,114.35214401766315,152.97434328588514,87.42001165091487,76.80753938739885,196.34400281969462,196.98525685068654,201.4643330028627,209.84401370286633,210.47469926953175,391.452958708592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosai Xianfeng domestic,Henan,Chongqing,H-B,Bosai,Other,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosai Xianfeng domestic,Shanxi,Chongqing,H-B,Bosai,Other,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosai Xianfeng domestic,Other,Chongqing,H-B,Bosai,Other,Domestic,96.89458306132954,185.76762704370836,218.29033369572016,188.0866424459303,251.95237135791612,144.14263622647596,126.7353499236041,324.3468271455902,325.92287706137887,333.8571809207475,348.3056808491245,349.9399737794463,652.4876945245904,1179.9420150705907,1185.458940183989,991.0820753851207,993.7633132714211,996.2785215809286,1051.9880803589185,1025.1060287427042,989.8928849037741,927.369310599564,858.5466225292215,618.3718280586439,403.82160504917454,0.0,0.0
Bosai Xianfeng import,Guangxi,Chongqing,L-B,Bosai,Other,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosai Xianfeng import,Guizhou,Chongqing,L-B,Bosai,Other,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosai Xianfeng import,Henan,Chongqing,L-B,Bosai,Other,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosai Xianfeng import,Shanxi,Chongqing,L-B,Bosai,Other,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosai Xianfeng import,Other,Chongqing,L-B,Bosai,Other,Imported,0.0,0.0,0.0,0.0,0.0,33.34739509494491,225.16464531470683,451.65059156853334,452.4326842985519,452.92322292082997,850.1615029067731,851.036043841282,522.3065344439843,477.08117908499236,681.8281361894736,909.560254207572,682.470624848532,682.7023146445995,682.9146820367461,683.1108983094116,683.2933973762579,0.0,0.0,0.0,0.0,0.0,0.0
