refinery,province,Province,technology,ownership,owner,bauxite,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Bosai Xianfeng domestic,Guangxi,Chongqing,H-B,Bosai,Other,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosai Xianfeng domestic,Guizhou,Chongqing,H-B,Bosai,Other,Domestic,0.05496874610917674,0.07044523923215487,0.07709590234638397,0.0822054542229125,0.08690521054589952,0.09070551686220135,0.09313911905783448,0.09697068779108611,0.10217564434250054,0.10721514105381957,0.11229308313427203,0.11746209060301083,0.12503989179708913,0.13720995727674026,0.13029706888659323,0.13029706888659323,0.13029706888659323,0.13029706888659323,0.13029706888659323,0.13029706888659323,0.13029706888659323,0.13029706888659323,0.13029706888659323,0.13029706888659323,0.13029706888659323,0.13029706888659323,0.13029706888659323
Bosai Xianfeng domestic,Henan,Chongqing,H-B,Bosai,Other,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosai Xianfeng domestic,Shanxi,Chongqing,H-B,Bosai,Other,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosai Xianfeng domestic,Other,Chongqing,H-B,Bosai,Other,Domestic,0.05769339443779455,0.06244005138070366,0.06434674349472938,0.06575656200860255,0.06700905557755896,0.06798979986853303,0.06860188680057591,0.06953883366169056,0.07075807981248368,0.07187631633064032,0.07293680172045555,0.07394361444221478,0.07527619096831603,0.07702354451512347,0.0799726668405195,0.08204732686202115,0.08379607518002676,0.08544278078588363,0.08704718851734217,0.08859687608697168,0.09003750733627879,0.0913590969047838,0.0925525001893596,0.09351525532026582,0.09416980992274318,0.09442601509061921,0.09442601509061921
Bosai Xianfeng import,Guangxi,Chongqing,L-B,Bosai,Other,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosai Xianfeng import,Guizhou,Chongqing,L-B,Bosai,Other,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosai Xianfeng import,Henan,Chongqing,L-B,Bosai,Other,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosai Xianfeng import,Shanxi,Chongqing,L-B,Bosai,Other,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosai Xianfeng import,Other,Chongqing,L-B,Bosai,Other,Imported,0.013367475211257402,0.013367475211257402,0.013367475211257402,0.013367475211257402,0.013367475211257402,0.013367475211257402,0.014805256251289142,0.0151399059820388,0.01533783088013347,0.015461872642781042,0.015587259762385026,0.015705007470104195,0.015779095427574864,0.015825342523116865,0.015872988707297885,0.015930427800906345,0.015980850831338034,0.016019718342809283,0.016055330316517607,0.016088221648807747,0.016118802803315447,0.016133333451289446,0.016133333451289446,0.016133333451289446,0.016133333451289446,0.016133333451289446,0.016133333451289446
Bosai Wanzhou,Guangxi,Chongqing,L-B,Bosai,Other,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosai Wanzhou,Guizhou,Chongqing,L-B,Bosai,Other,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosai Wanzhou,Henan,Chongqing,L-B,Bosai,Other,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosai Wanzhou,Shanxi,Chongqing,L-B,Bosai,Other,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosai Wanzhou,Other,Chongqing,L-B,Bosai,Other,Imported,0.009665189754000596,0.009665189754000596,0.009665189754000596,0.009665189754000596,0.009665189754000596,0.009665189754000596,0.009665189754000596,0.009665189754000596,0.009665189754000596,0.009665189754000596,0.009665189754000596,0.009665189754000596,0.009665189754000596,0.009665189754000596,0.009665189754000596,0.009665189754000596,0.009665189754000596,0.009665189754000596,0.009665189754000596,0.010061785356729504,0.010218180488792774,0.01038142632168306,0.010545611240698737,0.01069156084880737,0.010841778584908236,0.010984955499984883,0.011111627764543362
Shuijiang,Guangxi,Chongqing,H-B,Bosai,Other,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shuijiang,Guizhou,Chongqing,H-B,Bosai,Other,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shuijiang,Henan,Chongqing,H-B,Bosai,Other,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shuijiang,Shanxi,Chongqing,H-B,Bosai,Other,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shuijiang,Other,Chongqing,H-B,Bosai,Other,Domestic,0.0913044708072955,0.0913044708072955,0.0913044708072955,0.0913044708072955,0.0913044708072955,0.0913044708072955,0.10270462041272105,0.10585828064079189,0.10857330519801492,0.11095656352677,0.11206368862615172,0.11206368862615172,0.11206368862615172,0.11206368862615172,0.11206368862615172,0.11378516233134639,0.11587334994336154,0.11840046866921382,0.11704542404914994,0.11704542404914994,0.11704542404914994,0.11704542404914994,0.11704542404914994,0.11704542404914994,0.11704542404914994,0.11704542404914994,0.11704542404914994
Tuoyuan,Guangxi,Chongqing,H-B,SPIC,SPIC,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tuoyuan,Guizhou,Chongqing,H-B,SPIC,SPIC,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tuoyuan,Henan,Chongqing,H-B,SPIC,SPIC,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tuoyuan,Shanxi,Chongqing,H-B,SPIC,SPIC,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tuoyuan,Other,Chongqing,H-B,SPIC,SPIC,Domestic,0.06594523112058202,0.08186819985700482,0.08819999144105228,0.0946274867040472,0.09776059146022446,0.09776059146022446,0.09776059146022446,0.09776059146022446,0.09776059146022446,0.09776059146022446,0.09776059146022446,0.09776059146022446,0.09776059146022446,0.09776059146022446,0.09776059146022446,0.09776059146022446,0.09776059146022446,0.09776059146022446,0.09776059146022446,0.09776059146022446,0.09776059146022446,0.09776059146022446,0.09776059146022446,0.09776059146022446,0.09776059146022446,0.09776059146022446,0.09776059146022446
Chalco Pingguo ,Guangxi,Guangxi,H-B,Chalco,Chalco,Domestic,0.03790420115282304,0.050506732454759284,0.05206913546547941,0.05332420717342125,0.054736856727171906,0.055982024328280894,0.05700586036911079,0.05806498861057474,0.05908403795292981,0.05998822291180739,0.06080903901649294,0.06156680076310175,0.06227536663461015,0.06293166371937343,0.06355719921720383,0.06416947876116934,0.06476002844598043,0.06533254603936485,0.06589011949566445,0.0664353695281029,0.06697056608548946,0.06749771501851576,0.06801862453802512,0.06853495786261335,0.0690402069776253,0.06953890249106473,0.0700405217246699
Chalco Pingguo ,Guizhou,Guangxi,H-B,Chalco,Chalco,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chalco Pingguo ,Henan,Guangxi,H-B,Chalco,Chalco,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chalco Pingguo ,Shanxi,Guangxi,H-B,Chalco,Chalco,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chalco Pingguo ,Other,Guangxi,H-B,Chalco,Chalco,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jinjiang Chongzuo domestic,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,0.06592937788163866,0.06592937788163866,0.06592937788163866,0.06592937788163866,0.06592937788163866,0.06592937788163866,0.06592937788163866,0.06592937788163866,0.06592937788163866,0.06592937788163866,0.06592937788163866,0.06592937788163866,0.06592937788163866,0.06592937788163866,0.06592937788163866,0.06592937788163866,0.06592937788163866,0.06592937788163866,0.08556655049655881,0.0885132225223064,0.09024071216055897,0.09146811025661669,0.09239504417459404,0.09311043524949625,0.09383550240439847,0.0945717614970098,0.0952592315579932
Jinjiang Chongzuo domestic,Guizhou,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jinjiang Chongzuo domestic,Henan,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jinjiang Chongzuo domestic,Shanxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jinjiang Chongzuo domestic,Other,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jinjiang Chongzuo import,Guangxi,Guangxi,L-B,Jinjiang,Jinjiang,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jinjiang Chongzuo import,Guizhou,Guangxi,L-B,Jinjiang,Jinjiang,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jinjiang Chongzuo import,Henan,Guangxi,L-B,Jinjiang,Jinjiang,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jinjiang Chongzuo import,Shanxi,Guangxi,L-B,Jinjiang,Jinjiang,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jinjiang Chongzuo import,Other,Guangxi,L-B,Jinjiang,Jinjiang,Imported,0.04353043446507979,0.04353043446507979,0.04353043446507979,0.04353043446507979,0.04353043446507979,0.04353043446507979,0.04353043446507979,0.04353043446507979,0.04353043446507979,0.04353043446507979,0.04353043446507979,0.04353043446507979,0.04353043446507979,0.04353043446507979,0.04353043446507979,0.04353043446507979,0.04353043446507979,0.04353043446507979,0.04353043446507979,0.046410359125454895,0.04727544123554069,0.047944438554368696,0.04850957125627062,0.04900707927897997,0.04945616964710461,0.04986845523603555,0.050251580210290345
Huayin,Guangxi,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Domestic,0.04093416068595406,0.04093416068595406,0.04093416068595406,0.04940023905082044,0.05375277010745598,0.05697313762370909,0.059065764690606606,0.060623864177421605,0.062115632147646836,0.06356168910769885,0.06487881265493312,0.06616126025070262,0.06739295963025436,0.06852717608868963,0.06961742341654295,0.07066048662546631,0.0716353314630386,0.07257353014859245,0.07348141850965902,0.07432465077784087,0.07510973675961141,0.07588011026224695,0.07663828896494856,0.07738645304071003,0.07820380027241608,0.07909617334383488,0.07998822609555756
Huayin,Guizhou,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Huayin,Henan,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Huayin,Shanxi,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
